Office Equipment,Office Equipment,Office Equipment,Office Equipment,Office Equipment,Office Equipment
"(faxes, copiers, printers, and furniture)","(faxes, copiers, printers, and furniture)","(faxes, copiers, printers, and furniture)","(faxes, copiers, printers, and furniture)","(faxes, copiers, printers, and furniture)","(faxes, copiers, printers, and furniture)"
QTY,DESCRIPTION,MODEL #,MANUFACTURER,LEASED (enter company name),MAINTENANCE CONTRACT (enter company name)
1,Hewlett Packard Laser Jet 5m,Laser Jet 5m,HP,,
2,Fax Machines,Laser Class 7000,Canon,,IKON #Z-9659
1,Copy/fax/Printer,Image Runner 400E,Canon,Danka ,ID # 5251-6406
1,Color Printer,Phaser 560,Tektronix,,
1,Reception Desk,,,,
7,Cherry Wood Executive Desks,,,,
7,Cherry Wood Book Shelves,,,,
2,Cherry Wood Credenzas,,,,
1,Large Cherry Wood Conf. Table (seats 12),,,,
1,Round Cherry Wood Conf. Table (seats 6-7),,,,
4,Reception Area Chairs (blue leather),,,,
2,Black Reception Area tables,,,,
30,Desk/Conf. table Chairs (leather),,,,
20,Deck/Conf. table Chairs ,,,,
