Counterparty Number,Counterparty Type
77,Energy Marketer
67,Energy Marketer
43,Energy Marketer
18,Energy Marketer
80,Energy Marketer
81,Energy Marketer
22,Energy Marketer
6,LDC
44,Energy Marketer
39,End User
25,Energy Marketer
36,Energy Marketer
11,Energy Marketer
31,Energy Marketer
30,Energy Marketer
57,Energy Marketer
64,Energy Marketer
10,Energy Marketer
68,Energy Marketer
82,End User
32,Energy Marketer
7,Energy Marketer
40,Energy Marketer
1,Energy Marketer
54,Energy Marketer
34,Energy Marketer
42,Energy Marketer
46,Energy Marketer
51,Energy Marketer
52,Energy Marketer
26,Energy Marketer
58,Energy Marketer
19,Energy Marketer
12,Energy Marketer
47,Energy Marketer
70,Energy Marketer
35,Energy Marketer
76,Energy Marketer
61,Energy Marketer
78,Energy Marketer
73,Energy Marketer
13,Energy Marketer
71,End User
53,Energy Marketer
74,Energy Marketer
48,Energy Marketer
14,Energy Marketer
65,LDC
75,Energy Marketer
62,LDC
2,Energy Marketer
38,Energy Marketer
4,Energy Marketer
3,Energy Marketer
55,LDC
8,LDC
15,Energy Marketer
59,Energy Marketer
28,Energy Marketer
66,Energy Marketer
20,Energy Marketer
63,End User
41,End User
23,LDC
27,Energy Marketer
29,LDC
17,Energy Marketer
45,Energy Marketer
79,Energy Marketer
33,Energy Marketer
72,Energy Marketer
21,Energy Marketer
49,Energy Marketer
5,Energy Marketer
9,Energy Marketer
37,Energy Marketer
60,Energy Marketer
24,Energy Marketer
50,Energy Marketer
16,End User
56,Energy Marketer
