,,,,,,,,
,People's HUB Deals,People's HUB Deals,People's HUB Deals,People's HUB Deals,People's HUB Deals,People's HUB Deals,People's HUB Deals,People's HUB Deals
,,,,,,,,
,,,,,,,,
,,,Buy,Monthly,Sell,Monthly,Fee,Fee Payment
,Counterparty,Deal #,Date,Quantity,Date,Quantity,Amount,Date
,Aquila,NN1171,2001-09-01 00:00:00,150000,2000-12-01 00:00:00,150000,106500,2001-12-01 00:00:00
,Aquila,NN1205,2000-06-01 00:00:00,500000,2000-12-01 00:00:00,500000,10000,2001-12-01 00:00:00
,Aquila,NN1234,2000-06-01 00:00:00,500000,2000-12-01 00:00:00,500000,5000,2001-12-01 00:00:00
,Cargill,NN1416,2001-09-01 00:00:00,150000,2000-12-01 00:00:00,150000,101250,2001-12-01 00:00:00
,Cargill,NO1709,2000-09-01 00:00:00,150000,2000-12-01 00:00:00,150000,101250,2000-12-01 00:00:00
,Duke,NO1711,2000-03-01 00:00:00,1000000,Dec-00-Jan-01,500000,490000,2001-01-01 00:00:00
,Duke,NO1769,2000-05-01 00:00:00,1000000,2000-12-01 00:00:00,1000000,490000,2001-01-01 00:00:00
,Reliant,NO1774,2001-09-01 00:00:00,155000,2000-12-01 00:00:00,155000,111600,2001-01-01 00:00:00
,TPC,NO1780,2001-09-01 00:00:00,310000,2001-10-01 00:00:00,310000,112375,2000-10-01 00:00:00
,Southern Company,NO1787,2001-09-01 00:00:00,155000,2000-12-01 00:00:00,155000,131750,2000-12-01 00:00:00
,Enron,NO1795,2000-06-01 00:00:00,1000000,2000-07-01 00:00:00,1000000,5000,2000-07-01 00:00:00
,Duke,NO1804,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,490000,2001-01-01 00:00:00
,Sempra,NO1812,2000-05-01 00:00:00,1000000,2000-12-01 00:00:00,1000000,200000,2001-01-01 00:00:00
,Engage,NO1852,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,333000,2001-01-01 00:00:00
,PG&E,NO1858,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,300000,2001-01-01 00:00:00
,Aquila,NO1873,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,275000,2001-01-01 00:00:00
,TPC,NO1898,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,220000,2001-01-01 00:00:00
,PanCanadian,NO1933,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,160000,2001-01-01 00:00:00
,Amoco,NO1957,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,350000,2001-01-01 00:00:00
,Kinder Morgan,NO2120,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,238000,2001-01-01 00:00:00
,AEP,NO2160,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,410000,2001-01-01 00:00:00
,CXY,NO2178,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,350000,2001-01-01 00:00:00
,Coral,NO2200,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,333000,2001-01-01 00:00:00
,Dynegy,NO2227,2000-05-01 00:00:00,1000000,Dec-00-Jan-01,500000,180000,2001-01-01 00:00:00
