,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TICKER,STRIKE,STR BID,STR ASK,B VOL,A VOL,M STD/DAY,WHEN 
,,,,,,,,
,NG H2,215,26.5,28.5,66.2,71.2,9.29,2002-02-05 09:55:31
,NG J2,220,35.5,37.5,56.1,59.3,7.98,2002-02-05 09:55:31
,NG K2,225,41.5,43.5,50.2,52.6,7.27,2002-02-05 09:55:31
,NG M2,235,46,48,44.9,46.9,6.78,2002-02-05 09:55:31
,NG N2,240,52.5,54.5,45.1,46.8,6.93,2002-02-05 09:55:31
,NG Q2,245,60,62,45.9,47.4,7.19,2002-02-05 09:55:31
,NG U2,245,65.5,67.5,46.2,47.7,7.23,2002-02-05 09:55:31
,NG V2,245,70.5,72.5,46.7,48.1,7.3,2002-02-05 09:55:31
,NG X2,270,82.5,84.5,46.6,47.8,8.01,2002-02-05 09:55:31
,NG Z2,290,91,95,45.8,47.8,8.53,2002-02-05 09:55:31
,NG F3,300,100,104,46.6,48.5,8.97,2002-02-05 09:55:31
,NG G3,295,101,105,45.7,47.5,8.64,2002-02-05 09:55:31
,NG H3,,,,,,,2002-01-25 14:58:17
,NG M3,,,,,,,2002-01-25 14:58:17
,NG U3,,,,,,,
,NG Z3,,,,,,,
,NG H4,,,,,,,
,NG M4,,,,,,,
