East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List
"Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments","Origination, Mid Market, Development, Generation Investments"
11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01,11/15/01-11/21/01
Deal Type,Commercial Lead,Customer,Region,Prob.(%),Deal Description,Term,Size,Price,Status/ Follow-up,Date of Last Contact,Completion Date,Value
Done:,,,,,,,,,,,,
Mid Market,Valderrama,The Energy Authority,ECAR,Done,Buy monthly put 5X16 into Cinergy,Dec '01,50 MW,24,Completed,,2001-11-15 00:00:00,0
,,,,,,,,,,,,
Pending:,,,,,,,,,,,Week Total,0
Midwest,,,,,,,,,,,,
Mid Market,Clynes,Compressor Services,MAIN,0.2,Sale of energy ,TBD,Varies,TBD,NICOR to indicate interest level next week,2001-11-21 00:00:00,Q1,1000000
Mid Market,Clynes,MMPA,MAPP,0.2,Sale of capacity and energy,5/02-4/03,10 MW,TBD,Counterparty board to review options,2001-10-23 00:00:00,Q1,100000
