,,,
POI  8516,,,
,,,
,Measured,Scheduled,Imbal
1,-89582,-90050,-468
2,-89081,-90000,-919
3,-84203,-85000,-797
4,-85082,-86388,-1306
5,-80771,-80000,771
6,-82815,-87500,-4685
7,-88685,-87500,1185
8,-89097,-87500,1597
9,-112921,-111893,1028
10,-108354,-108062,292
11,-93600,-93858,-258
12,-122074,-121623,451
13,-111218,-112200,-982
14,-111370,-112200,-830
15,-111886,-112200,-314
16,-78363,-80000,-1637
17,-78316,-80000,-1684
18,-79900,-85100,-5200
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
,-1697318,-1711074,-13756
,,,
,2001-09-30 00:00:00,,58685
,,,
,2001-10-18 00:00:00,,44929
