Month/Year:,1997-07-01 00:00:00,,,Month/Year:,1997-08-01 00:00:00,,,Month/Year:,1997-09-01 00:00:00,,,Month/Year:,1997-10-01 00:00:00,,,Month/Year:,1997-11-01 00:00:00,,,Month/Year:,1997-12-01 00:00:00,,,Month/Year:,1998-01-01 00:00:00,,,Month/Year:,1998-02-01 00:00:00,,,Month/Year:,1998-03-01 00:00:00,,,Month/Year:,1998-04-01 00:00:00,,,Month/Year:,1998-05-01 00:00:00,,,Month/Year:,1998-06-01 00:00:00,,,Month/Year:,1998-07-01 00:00:00,,,Month/Year:,1998-08-01 00:00:00,,,Month/Year:,1998-09-01 00:00:00,,,Month/Year:,1998-10-01 00:00:00,,,Month/Year:,1998-11-01 00:00:00,,,Month/Year:,1998-12-01 00:00:00,,,Month/Year:,1999-01-01 00:00:00,,,Month/Year:,1999-02-01 00:00:00,,,Month/Year:,1999-03-01 00:00:00,,Month/Year:,1999-04-01 00:00:00,,,Month/Year:,1999-05-01 00:00:00,,,Month/Year:,1999-06-01 00:00:00,,,Month/Year:,1999-07-01 00:00:00,,,Month/Year:,1999-08-01 00:00:00,,,Month/Year:,1999-09-01 00:00:00,,,Month/Year:,1999-10-01 00:00:00,,,Month/Year:,1999-11-01 00:00:00,,,Month/Year:,1999-12-01 00:00:00,,,Month/Year:,2000-01-01 00:00:00,,,Month/Year:,2000-02-01 00:00:00,,,Month/Year:,2000-03-01 00:00:00,,,Month/Year:,2000-04-01 00:00:00,,,Month/Year:,2000-05-01 00:00:00,,,Month/Year:,2000-06-01 00:00:00,,,Month/Year:,2000-07-01 00:00:00,,,Month/Year:,2000-08-01 00:00:00,,,Month/Year:,2000-09-01 00:00:00,,,Month/Year:,2000-10-01 00:00:00,,,Month/Year:,2000-11-01 00:00:00,,,Month/Year:,2000-12-01 00:00:00,,,Month/Year:,2001-01-01 00:00:00,,,Month/Year:,2001-02-01 00:00:00,,,Month/Year:,2001-03-01 00:00:00,,,Month/Year:,2001-04-01 00:00:00,,,Month/Year:,2001-05-01 00:00:00,,,Month/Year:,2001-06-01 00:00:00,,,Month/Year:,2001-07-01 00:00:00
Maximum:,6611,,,Maximum:,6370,,,Maximum:,6700,,,Maximum:,10844,,,Maximum:,14325,,,Maximum:,20470,,,Maximum:,20522,,,Maximum:,19301,,,Maximum:,18784,,,Maximum:,16456,,,Maximum:,12743,,,Maximum:,8997,,,Maximum:,7914,,,Maximum:,7171,,,Maximum:,8032,,,Maximum:,12034,,,Maximum:,15776,,,Maximum:,27161,,,Maximum:,20836,,,Maximum:,20427,,,Maximum:,18758,,Maximum:,17496,,,Maximum:,11690,,,Maximum:,11013,,,Maximum:,7094,,,Maximum:,7450,,,Maximum:,7259,,,Maximum:,10656,,,Maximum:,16102,,,Maximum:,19545,,,Maximum:,18869,,,Maximum:,19351,,,Maximum:,19275,,,Maximum:,10931,,,Maximum:,10834,,,Maximum:,8202,,,Maximum:,7197,,,Maximum:,6784,,,Maximum:,7778,,,Maximum:,11572,,,Maximum:,18823,,,Maximum:,17554,,,Maximum:,20761,,,Maximum:,20376,,,Maximum:,15700,,,Maximum:,14574.222,,,Maximum:,7582.05,,,Maximum:,6482.878,,,Maximum:,6666.992
Minimum:,5417,,,Minimum:,5222,,,Minimum:,5165,,,Minimum:,6012,,,Minimum:,6949,,,Minimum:,11625,,,Minimum:,9409,,,Minimum:,12174,,,Minimum:,8314,,,Minimum:,6949,,,Minimum:,7251,,,Minimum:,5698,,,Minimum:,5267,,,Minimum:,5050,,,Minimum:,4649,,,Minimum:,7320,,,Minimum:,9369,,,Minimum:,13147,,,Minimum:,10774,,,Minimum:,10294,,,Minimum:,11127,,Minimum:,7032,,,Minimum:,6937,,,Minimum:,5541,,,Minimum:,5139,,,Minimum:,5043,,,Minimum:,5887,,,Minimum:,5904,,,Minimum:,8019,,,Minimum:,12714,,,Minimum:,11627,,,Minimum:,11322,,,Minimum:,8682,,,Minimum:,6496,,,Minimum:,5290,,,Minimum:,4566,,,Minimum:,5376,,,Minimum:,5232,,,Minimum:,4890,,,Minimum:,5570,,,Minimum:,9395,,,Minimum:,11706,,,Minimum:,14297,,,Minimum:,9835,,,Minimum:,6851,,,Minimum:,6907.368,,,Minimum:,4786.74,,,Minimum:,5003.29,,,Minimum:,4693.92
Average:,5842.225806451613,,,Average:,5740.387096774193,,,Average:,5915.233333333334,,,Average:,8215.161290322581,,,Average:,11023.5,,,Average:,16515.41935483871,,,Average:,14339.612903225807,,,Average:,15196.357142857143,,,Average:,11983,,,Average:,11057.433333333332,,,Average:,9714.322580645161,,,Average:,7103.133333333333,,,Average:,6379.064516129032,,,Average:,6148.096774193548,,,Average:,6519.733333333334,,,Average:,8977.612903225807,,,Average:,12737.1,,,Average:,18701.645161290322,,,Average:,16937.354838709678,,,Average:,16195.642857142857,,,Average:,14616.129032258064,,Average:,11654.7,,,Average:,9397.354838709678,,,Average:,7573.033333333334,,,Average:,6438.774193548387,,,Average:,6424.4838709677415,,,Average:,6666.366666666667,,,Average:,7704.066666666667,,,Average:,11446.366666666667,,,Average:,16343.806451612903,,,Average:,14836.387096774193,,,Average:,13924.51724137931,,,Average:,12350.354838709678,,,Average:,8838.2,,,Average:,7999.129032258064,,,Average:,6239.766666666666,,,Average:,6122.548387096775,,,Average:,5888.935483870968,,,Average:,6197.866666666667,,,Average:,8414.90322580645,,,Average:,14530.2,,,Average:,15177.225806451614,,,Average:,17493.967741935485,,,Average:,15139.42857142857,,,Average:,10645.225806451614,,,Average:,11102.015600000004,,,Average:,6301.97129032258,,,Average:,5676.441399999999,,,Average:,5625.034838709677
Total:,181109,,,Total:,177952,,,Total:,177457,,,Total:,254670,,,Total:,330705,,,Total:,511978,,,Total:,444528,,,Total:,425498,,,Total:,371473,,,Total:,331723,,,Total:,301144,,,Total:,213094,,,Total:,197751,,,Total:,190591,,,Total:,195592,,,Total:,278306,,,Total:,382113,,,Total:,579751,,,Total:,525058,,,Total:,453478,,,Total:,453100,,Total:,349641,,,Total:,291318,,,Total:,227191,,,Total:,199602,,,Total:,199159,,,Total:,199991,,,Total:,240332,,,Total:,343391,,,Total:,506658,,,Total:,459928,,,Total:,403811,,,Total:,382861,,,Total:,265146,,,Total:,247973,,,Total:,187193,,,Total:,189799,,,Total:,175780,,,Total:,185936,,,Total:,260862,,,Total:,435906,,,Total:,470494,,,Total:,542313,,,Total:,423904,,,Total:,330002,,,Total:,333060.4680000001,,,Total:,195361.11,,,Total:,170293.24199999997,,,Total:,174376.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Total Load by Date,,,Date,Total Load by Date,,,Date,Total Load by Date,,,Date,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date ,Total Load by Date,,,Date,Total Load by Date,,,Date,Total Load by Date,,,Date,Total Load by Day,,,Date,Total Load by Day
1997-07-01 00:00:00,6611,,,1997-08-01 00:00:00,6162,,,1997-09-01 00:00:00,5881,,,1997-10-01 00:00:00,6146,,,1997-11-01 00:00:00,6949,,,1997-12-01 00:00:00,15894,,,1998-01-01 00:00:00,13925,,,1998-02-01 00:00:00,12174,,,1998-03-01 00:00:00,13184,,,1998-04-01 00:00:00,13889,,,1998-05-01 00:00:00,8491,,,1998-06-01 00:00:00,7704,,,1998-07-01 00:00:00,7692,,,1998-08-01 00:00:00,5675,,,1998-09-01 00:00:00,6053,,,1998-10-01 00:00:00,8000,,,1998-11-01 00:00:00,9369,,,1998-12-01 00:00:00,14213,,,1999-01-01 00:00:00,16544,,,1999-02-01 00:00:00,19755,,,1999-03-01 00:00:00,11127,,1999-04-01 00:00:00,15377,,,1999-05-01 00:00:00,9071,,,1999-06-01 00:00:00,8491,,,1999-07-01 00:00:00,5884,,,1999-08-01 00:00:00,6129,,,1999-09-01 00:00:00,7259,,,1999-10-01 00:00:00,6845,,,1999-11-01 00:00:00,8607,,,1999-12-01 00:00:00,14836,,,2000-01-01 00:00:00,14613,,,2000-02-01 00:00:00,11440,,,2000-03-01 00:00:00,14858,,,2000-04-01 00:00:00,7174,,,2000-05-01 00:00:00,8167,,,2000-06-01 00:00:00,6461,,,2000-07-01 00:00:00,5864,,,2000-08-01 00:00:00,5281,,,2000-09-01 00:00:00,7778,,,2000-10-01 00:00:00,5570,,,2000-11-01 00:00:00,12409,,,2000-12-01 00:00:00,16592,,,2001-01-01 00:00:00,16797,,,2001-02-01 00:00:00,18096,,,2001-03-01 00:00:00,15115,,,2001-04-01 00:00:00,8713.302,,,2001-05-01 00:00:00,7388.1849999999995,,,2001-06-01 00:00:00,5521.960999999999,,,2001-07-01 00:00:00,5118.608
1997-07-02 00:00:00,6166,,,1997-08-02 00:00:00,5685,,,1997-09-02 00:00:00,6044,,,1997-10-02 00:00:00,6514,,,1997-11-02 00:00:00,7012,,,1997-12-02 00:00:00,16473,,,1998-01-02 00:00:00,12589,,,1998-02-02 00:00:00,13036,,,1998-03-02 00:00:00,12520,,,1998-04-02 00:00:00,12571,,,1998-05-02 00:00:00,8054,,,1998-06-02 00:00:00,7928,,,1998-07-02 00:00:00,7914,,,1998-08-02 00:00:00,5329,,,1998-09-02 00:00:00,5908,,,1998-10-02 00:00:00,8045,,,1998-11-02 00:00:00,11786,,,1998-12-02 00:00:00,13591,,,1999-01-02 00:00:00,16682,,,1999-02-02 00:00:00,19110,,,1999-03-02 00:00:00,13491,,1999-04-02 00:00:00,13698,,,1999-05-02 00:00:00,10698,,,1999-06-02 00:00:00,10274,,,1999-07-02 00:00:00,6748,,,1999-08-02 00:00:00,6138,,,1999-09-02 00:00:00,6928,,,1999-10-02 00:00:00,6935,,,1999-11-02 00:00:00,9162,,,1999-12-02 00:00:00,16536,,,2000-01-02 00:00:00,17375,,,2000-02-02 00:00:00,12361,,,2000-03-02 00:00:00,14878,,,2000-04-02 00:00:00,6496,,,2000-05-02 00:00:00,7747,,,2000-06-02 00:00:00,6992,,,2000-07-02 00:00:00,6035,,,2000-08-02 00:00:00,5232,,,2000-09-02 00:00:00,6708,,,2000-10-02 00:00:00,6257,,,2000-11-02 00:00:00,11001,,,2000-12-02 00:00:00,16266,,,2001-01-02 00:00:00,17463,,,2001-02-02 00:00:00,16154,,,2001-03-02 00:00:00,14035,,,2001-04-02 00:00:00,12426.57,,,2001-05-02 00:00:00,7498.82,,,2001-06-02 00:00:00,5972.3589999999995,,,2001-07-02 00:00:00,5113.528
1997-07-03 00:00:00,5797,,,1997-08-03 00:00:00,5488,,,1997-09-03 00:00:00,5845,,,1997-10-03 00:00:00,6589,,,1997-11-03 00:00:00,7454,,,1997-12-03 00:00:00,13298,,,1998-01-03 00:00:00,13384,,,1998-02-03 00:00:00,14562,,,1998-03-03 00:00:00,13203,,,1998-04-03 00:00:00,14483,,,1998-05-03 00:00:00,7842,,,1998-06-03 00:00:00,8289,,,1998-07-03 00:00:00,7196,,,1998-08-03 00:00:00,5343,,,1998-09-03 00:00:00,5792,,,1998-10-03 00:00:00,8220,,,1998-11-03 00:00:00,11642,,,1998-12-03 00:00:00,14226,,,1999-01-03 00:00:00,15092,,,1999-02-03 00:00:00,16868,,,1999-03-03 00:00:00,13463,,1999-04-03 00:00:00,14501,,,1999-05-03 00:00:00,11184,,,1999-06-03 00:00:00,11013,,,1999-07-03 00:00:00,6790,,,1999-08-03 00:00:00,6230,,,1999-09-03 00:00:00,6888,,,1999-10-03 00:00:00,6818,,,1999-11-03 00:00:00,9597,,,1999-12-03 00:00:00,16928,,,2000-01-03 00:00:00,18553,,,2000-02-03 00:00:00,14526,,,2000-03-03 00:00:00,13186,,,2000-04-03 00:00:00,7310,,,2000-05-03 00:00:00,8232,,,2000-06-03 00:00:00,7239,,,2000-07-03 00:00:00,6835,,,2000-08-03 00:00:00,5424,,,2000-09-03 00:00:00,7103,,,2000-10-03 00:00:00,6971,,,2000-11-03 00:00:00,9734,,,2000-12-03 00:00:00,16119,,,2001-01-03 00:00:00,17170,,,2001-02-03 00:00:00,12732,,,2001-03-03 00:00:00,15700,,,2001-04-03 00:00:00,13817.778,,,2001-05-03 00:00:00,6655.355,,,2001-06-03 00:00:00,6211.824,,,2001-07-03 00:00:00,4693.92
1997-07-04 00:00:00,5722,,,1997-08-04 00:00:00,5564,,,1997-09-04 00:00:00,5478,,,1997-10-04 00:00:00,6012,,,1997-11-04 00:00:00,7124,,,1997-12-04 00:00:00,12472,,,1998-01-04 00:00:00,14972,,,1998-02-04 00:00:00,14496,,,1998-03-04 00:00:00,15612,,,1998-04-04 00:00:00,13072,,,1998-05-04 00:00:00,7793,,,1998-06-04 00:00:00,8997,,,1998-07-04 00:00:00,6309,,,1998-08-04 00:00:00,5050,,,1998-09-04 00:00:00,5665,,,1998-10-04 00:00:00,8123,,,1998-11-04 00:00:00,9902,,,1998-12-04 00:00:00,20470,,,1999-01-04 00:00:00,18998,,,1999-02-04 00:00:00,15490,,,1999-03-04 00:00:00,16338,,1999-04-04 00:00:00,13874,,,1999-05-04 00:00:00,11574,,,1999-06-04 00:00:00,9454,,,1999-07-04 00:00:00,6110,,,1999-08-04 00:00:00,6685,,,1999-09-04 00:00:00,6606,,,1999-10-04 00:00:00,7365,,,1999-11-04 00:00:00,10006,,,1999-12-04 00:00:00,16996,,,2000-01-04 00:00:00,18003,,,2000-02-04 00:00:00,13869,,,2000-03-04 00:00:00,12723,,,2000-04-04 00:00:00,8330,,,2000-05-04 00:00:00,8351,,,2000-06-04 00:00:00,7278,,,2000-07-04 00:00:00,6485,,,2000-08-04 00:00:00,5687,,,2000-09-04 00:00:00,7451,,,2000-10-04 00:00:00,7039,,,2000-11-04 00:00:00,10087,,,2000-12-04 00:00:00,15443,,,2001-01-04 00:00:00,17206,,,2001-02-04 00:00:00,9835,,,2001-03-04 00:00:00,13395,,,2001-04-04 00:00:00,13646.412,,,2001-05-04 00:00:00,6724.374999999999,,,2001-06-04 00:00:00,6482.878,,,2001-07-04 00:00:00,4704.08
