,,,,,,,,,,
Physical/,Financial,Financial,Physical,Physical,Physical,Physical,Physical,Physical,Physical,Grand Total: 
Delivery,FINANCIAL DEAL-R1E Western HUB,Financial Deal - R1B,CINERGY (Into) System,DLC System Border,ERCOT System,NEPOOL PTF,North 2001,PJM-Western Hub,SP-15,
10/1/2001 Total,0,114234.3,3837,0,32046.79,-24149.58,0,-239732.09,-32495.06,-146258.64
11/1/2001 Total,-35752.11,276285.26,14253.18,-1126.74,26726.18,-37640.14,0,-512706.14,-104635.61,-374596.09
12/1/2001 Total,-49972.56,206888.37,26102.61,7680.86,1987.58,-35776.41,-12363.78,-175814.74,-83325.65,-114593.69
1/1/2002 Total,0,0,180401.92,0,516726.23,-17457,0,38109.58,0,717780.76
2/1/2002 Total,0,0,169347.58,0,468946.44,-15842.79,0,33667.55,0,656118.78
3/1/2002 Total,0,0,0,0,293862.1,0,0,-18160.53,0,275701.56
4/1/2002 Total,0,0,0,0,302052,0,0,-21160.18,0,280891.82
5/1/2002 Total,0,0,0,0,341277.1,0,0,4645.88,0,345923
6/1/2002 Total,0,0,0,0,362240.81,-47146.32,0,252036.35,0,567130.84
7/1/2002 Total,0,0,-435523.81,0,547604.29,107796.13,0,445491.99,0,665368.59
8/1/2002 Total,0,0,-434456.46,0,546296.71,107538.73,0,444428.23,0,663807.21
9/1/2002 Total,0,0,0,0,324552.6,0,0,-64559.44,0,259993.15
10/1/2002 Total,0,0,0,0,364188.8,0,0,-67104.46,0,297084.33
11/1/2002 Total,0,0,0,0,300312.16,0,0,-46585.41,0,253726.76
12/1/2002 Total,0,0,0,0,320896.38,0,0,-26773.08,0,294123.3
1/1/2003 Total,0,0,0,0,281686.89,0,0,0,0,281686.89
2/1/2003 Total,0,0,0,0,255342.83,0,0,0,0,255342.83
3/1/2003 Total,0,0,0,0,267234,0,0,0,0,267234
4/1/2003 Total,0,0,0,0,279049.17,0,0,0,0,279049.17
5/1/2003 Total,0,0,0,0,265443,0,0,0,0,265443
6/1/2003 Total,0,0,0,0,264526.91,0,0,0,0,264526.91
7/1/2003 Total,0,0,0,0,276106.85,0,0,0,0,276106.85
8/1/2003 Total,0,0,0,0,262565.91,0,0,0,0,262565.91
9/1/2003 Total,0,0,0,0,261591.46,0,0,0,0,261591.46
10/1/2003 Total,0,0,0,0,285381,0,0,0,0,285381
11/1/2003 Total,0,0,0,0,234834.55,0,0,0,0,234834.55
12/1/2003 Total,0,0,0,0,270801.44,0,0,0,0,270801.44
Grand Total,-85724.67,597407.93,-476037.98,6554.12,7954280.18,37322.62,-12363.78,45783.51,-220456.32,7846765.6899999995
