Item ,Description,3/31/00 value,Requested by,New Owner,Location
,Antiques ,,,,
1.01,Antique Sickle,100,fcn111,,fcn111
1.02,Pocket Watch,300,jcn,,fcn111
1.03,Mantel Clock,200,fcn111,,fcn111
1.04,Mahogany Straight Chair,200,twn,,D-19
1.05,Oval Mahogany Table,75,,,D-41
1.06,Rosewood End Table,75,,,D-41
1.07,Rocking Chair,75,fcn111,,fcn111
1.08,Wing Back Chairs (2),100,,,D-19
1.09,High Top Desk,250,wwn,,D-41
1.10.,Straight Chairs,200,fcn111,,fcn111
1.10a,Chest,,fcn111,,D-19
1.10b,Mirror,,fcn111,,fcn111
1.11,Cherry Bed,250,wwn,,D-41
1.12,Rosewood Dresser,275,,,D-19
1.13,Cherry Chest,150,,,D-19
1.14,Painted Chest,125,,donated,
1.15,Round Table w/ marble top,25,fcn111,,fcn111
1.16,Drop Leaf Cherry Table,85,,,D-41
1.17,Captains Chairs (3),350,wwn ,,D-19/D-41
1.18,Children's Rocking Chair,,jcn,,jcn
,,,,,
,Non Antiques,,,,
2.01,Kitchen Table/Chairs,50,,donated,
2.02,Dining Room table/6 chairs,350,,,D-19
2.03,Spindle Back Chairs (2),75,,,D-19/D-41
2.03,Desk ,,,donated,
2.03a,FootStools (2),,fcn111(1) twn (1),,fcn111
2.04,not used,,,,
2.05,Bedside Table-1,40,wwn,,D-19
2.06,T.V. Cabinet,45,,donated,
2.07,Chest of Drawers,25,,donated,
2.08,Sewing Table,25,fcn111,,D-19
2.09,Twin Beds,140,,donated,
2.09a,Bedside Table 2,,fcn111,,D-19
2.10.,Desk ,45,,donated,
2.10a,Chair,,fcn111,,fcn111
2.11,Living Room Couch,75,,,D-19
2.12,Buffet,200,,,D-19
2.13,Den Couch,75,,donated,
2.14,Den Chair #1 (antique),150,,,
2.14a,Den Chair #2 (non antique),,,donated,
2.15,Den Coffee Table,25,,,D-41
2..6,Lamps (5),50,fcn111 ,donated (1),fcn111(5)
2.17,VCR,75,wwn ,,wwn
2.18,Fax Machine,50,,,D-41
2.19,Washer,50,,donated,
2.20.,Dryer,50,,donated,
2.21,Refrigerator,25,,,D-41
2.22,Freezer,75,fcn111,,D-41
2.23,TV,75,fcn111,,fcn111
2.24,TV Stand,10,,donated,
,,,,,
3.01,Coin Collection,500,wwn,wf bank,fcn111
,,,,,
TOTAL,,5115,,,
,,,,,
,Miscellaneous Items,,,,
,,,,,
1,Den Area Rug,,,,D-41
2,Bedspreads,,,,D-41
3,File Cabinet (1),,,,D-41
4,Breakfast Room Rug,,,,D-41
5,Magazine Rack,,,,D-41
6,TV Trays,,,,D-41
7,Waste Basket,,,,D-41
8,Books and Nick Nacks ( 10-15 boxes),,fcn111,,D-41
,,,,,
,Notes:,,,,
,1. Donations went to flood victims,,,,
,2. D-19 & D-4 are Public Storage units,,,,
