Tissue Index,,,,,,,,
,,,,,,,,
,Tissue,NBSK,%chg Tissue,%chg NBSK,,,,
1991-01-01 00:00:00,140.3,690,0.0007125044832955,-0.02941388520629334,,,,
1991-02-01 00:00:00,140.4,670,0.0014234877848537057,-0.030305349495328922,,,Correl,correl of chg
1991-03-01 00:00:00,140.6,650,0,-0.0472528848505455,,,0.5406943654025406,0.15604544098531603
1991-04-01 00:00:00,140.6,620,-0.009289098590804411,-0.04959694113937206,,,,
1991-05-01 00:00:00,139.3,590,0.005726572557201138,-0.03448617607116932,,,,
1991-06-01 00:00:00,140.1,570,-0.0035752630146892108,-0.03571808260207923,,,,
1991-07-01 00:00:00,139.6,550,-0.0064678630074862355,-0.04652001563489282,,,,
1991-08-01 00:00:00,138.7,525,-0.0014430016933926033,-0.048790164169432056,,,,
1991-09-01 00:00:00,138.5,500,-0.007246408520767198,-0.040821994520255166,,,,
1991-10-01 00:00:00,137.5,480,-0.009499523391214031,0.010362787035546658,,,,
1991-11-01 00:00:00,136.2,485,0.0007339449870750548,0.010256500167189061,,,,
1991-12-01 00:00:00,136.3,490,-0.005148963196191893,0.02020270731751947,,,,
1992-01-01 00:00:00,135.6,500,-0.00295421189743152,0.02955880224154443,,,,
1992-02-01 00:00:00,135.2,515,0.008103175093623337,0.02871010588243136,,,,
1992-03-01 00:00:00,136.3,530,-0.0007339449870751193,0.018692133012152546,,,,
1992-04-01 00:00:00,136.2,540,-0.003677826874588563,0.018349138668196617,,,,
1992-05-01 00:00:00,135.7,550,0.004411771861663586,0.018018505502678212,,,,
1992-06-01 00:00:00,136.3,560,0.002198608434202636,0.06899287148695142,,,,
1992-07-01 00:00:00,136.6,600,0.0014630580517605368,-0.01680711831638129,,,,
1992-08-01 00:00:00,136.8,590,-0.0007312614585463425,-0.017094433359300068,,,,
1992-09-01 00:00:00,136.7,580,-0.0036643500144918676,-0.01739174271186922,,,,
1992-10-01 00:00:00,136.2,570,-0.0007344840579916098,-0.026668247082161294,,,,
1992-11-01 00:00:00,136.1,555,0.005130095531029842,-0.055569851154810765,,,,
1992-12-01 00:00:00,136.8,525,-0.00733679006385432,-0.058840500022933465,,,,
1993-01-01 00:00:00,135.8,495,-0.0014738396183006637,-0.041242958534049134,,,,
1993-02-01 00:00:00,135.6,475,0.008079368223608602,-0.03208831455150051,,,,
1993-03-01 00:00:00,136.7,460,0.009464941427300793,0,,,,
1993-04-01 00:00:00,138,460,0.0028943580263645565,0,,,,
1993-05-01 00:00:00,138.4,460,-0.001446131849999738,0,,,,
1993-06-01 00:00:00,138.2,460,-0.00945117903916616,-0.02197890671877523,,,,
1993-07-01 00:00:00,136.9,450,-0.013975953855973828,-0.03390155167568134,,,,
1993-08-01 00:00:00,135,435,-0.0037105793965356015,-0.03509131981127006,,,,
1993-09-01 00:00:00,134.5,420,0,-0.02409755157906053,,,,
1993-10-01 00:00:00,134.5,410,0.006669161436280821,0,,,,
1993-11-01 00:00:00,135.4,410,-0.0036995972644644575,0,,,,
1993-12-01 00:00:00,134.9,410,-0.0014836797973920234,0.07061756721395342,,,,
1994-01-01 00:00:00,134.7,440,0.0014836797973919443,0.022472855852058576,,,,
1994-02-01 00:00:00,134.9,450,-0.002969564171816432,0.011049836186584935,,,,
1994-03-01 00:00:00,134.5,455,0.0037105793965355534,0.07410797215372183,,,,
1994-04-01 00:00:00,135,490,-0.02778999712967886,0.040005334613699206,,,,
1994-05-01 00:00:00,131.3,510,0,0.09352605801082355,,,,
1994-06-01 00:00:00,131.3,560,-0.005345564466419915,0,,,,
