EOL Deals,From: 5/1/2001   To: 5/8/2001,From: 5/1/2001   To: 5/8/2001,,EnPower Deals,From: 5/1/2001   To: 5/8/2001,From: 5/1/2001   To: 5/8/2001,,,,,,,,,,
Desk,Total MWH,    Total Deals,,Desk,Total MWH,    Total Deals,,,,,,,,External Code,External Name,External ID
,,,,,,,,,,,,,,,,
EPMI Long Term California,543600,27,,EPMI Long Term California,795725,21,,,,,,,,,,
EPMI Long Term Northwest,455600,21,,EPMI Long Term Northwest,5060400,64,,,,,,,,,,
EPMI Long Term Southwest,804250,67,,EPMI Long Term Southwest,2218300,49,,,,,,,,,,
EPMI Short Term California,403880,414,,EPMI Short Term California,364062,202,,,,,,,,,,
EPMI Short Term Northwest,123160,205,,EPMI Short Term Northwest,145672,105,,,,,,,,,,
EPMI Short Term Southwest,359864,370,,EPMI Short Term Southwest,481200,151,,,,,,,,,,
,,,,EPMI Short Term West Hourly,4050,13,,,,,,,,,,
    Grand Total,2690354,1104,,,,,,,,,,,,,,
,,,,    Grand Total,9069409,605,,,,,,,,,,
EOL Deals,From: 5/8/2001   To: 5/8/2001,From: 5/8/2001   To: 5/8/2001,,,,,,,,,,,,,,
Desk,Total MWH,    Total Deals,,EnPower Deals,From: 5/8/2001   To: 5/8/2001,From: 5/8/2001   To: 5/8/2001,,,,,,,,,,
,,,,Desk,Total MWH,    Total Deals,,,,,,,,,,
EPMI Long Term California,154000,5,,,,,,,,,,,,,,
EPMI Long Term Northwest,110800,5,,EPMI Long Term California,84825,3,,,,,,,,,,
EPMI Long Term Southwest,54800,6,,EPMI Long Term Northwest,2532400,28,,,,,,,,,,
EPMI Short Term California,14472,57,,EPMI Long Term Southwest,359200,8,,,,,,,,,,
EPMI Short Term Northwest,8000,23,,EPMI Short Term California,28160,24,,,,,,,,,,
EPMI Short Term Southwest,36080,68,,EPMI Short Term Northwest,28200,20,,,,,,,,,,
,,,,EPMI Short Term Southwest,41000,19,,,,,,,,,,
    Grand Total,378152,164,,,,,,,,,,,,,,
,,,,    Grand Total,3073785,102,,,,,,,,,,
,,,,,,,,,,,,,,,,
ICE VOLUMES,From: 5/8/2001   To: 5/8/2001,From: 5/8/2001   To: 5/8/2001,,,,,,,,,,,,,,
Delivery Point,Total MWH,EPMI MWH,Price,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Palo Verde (Next Day),1600,0,459.5,,,,,,,,,,,,,
SP-15 (Next Day),2000,0,432,,,,,,,,,,,,,
SP-15 (Jun-01),10400,0,315,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grand Total,14000,,,,,,,,,,,,,,,
