 Nov 00,,,,,,,,,,,,,,,,
,,,,,,Week 1,,,,,,,,,,
,,30,31,1,2,3,4,5,,,,,,,,
,Hour,Monday ,Tuesday ,Wednesday,Thursday,Friday,Saturday,Sunday,,Day AVG,,WE Avg.,Hour,DayChange ,WeChange,
,1,548,609,600,633,605,616,601,,599,,608.5,1,-45.200000000000045,-17.5,
,2,534,584,592,596,604,605,577,,582,,591,2,-17,-18,
,3,544,566,583,591,585,594,552,,573.8,,573,3,-8.200000000000045,-13.5,
,4,539,561,565,596,594,564,555,,571,,559.5,4,-2.7999999999999545,25.5,
,5,544,591,566,589,635,606,564,,585,,585,5,14,18,
,6,614,641,629,654,718,626,580,,651.2,,603,6,66.20000000000005,-6.5,655.0
,7,698,720,712,745,773,623,570,,729.6,,596.5,7,78.39999999999998,22,677.0
,8,736,764,758,762,791,662,575,,762.2,,618.5,8,32.60000000000002,41,718.0
,9,762,778,785,771,824,709,610,,784,,659.5,9,21.799999999999955,50.5,768.5
,10,779,792,792,774,871,731,689,,801.6,,710,10,17.600000000000023,23,791.5
,11,793,802,806,780,871,771,695,,810.4,,733,11,8.799999999999955,0,791.5
,12,803,815,801,775,882,762,704,,815.2,,733,12,4.800000000000068,20,811.5
,13,804,811,786,773,882,778,728,,811.2,,753,13,-4,-0.5,811.0
,14,819,813,815,776,889,776,729,,822.4,,752.5,14,11.199999999999932,-18,793.0
,15,815,824,794,768,881,760,709,,816.4,,734.5,15,-6,11.5,804.5
,16,796,793,781,754,871,760,732,,799,,746,16,-17.399999999999977,-16,788.5
,17,785,796,766,755,843,752,708,,789,,730,17,-10,32.5,821.0
,18,862,837,800,773,817,780,745,,817.8,,762.5,18,28.799999999999955,62,883.0
,19,871,812,876,833,868,827,822,,852,,824.5,19,34.200000000000045,-29.5,853.5
,20,854,807,873,819,841,793,797,,838.8,,795,20,-13.200000000000045,-11.5,842.0
,21,831,793,857,798,792,788,779,,814.2,,783.5,21,-24.59999999999991,-70.5,771.5
,22,800,780,790,770,760,737,689,,780,,713,22,-34.200000000000045,-87,684.5
,23,707,707,722,676,693,635,617,,701,,626,23,-79,-13,671.5
,24,659,646,650,623,643,628,598,,644.2,,613,24,-56.799999999999955,-4.5,
