RC,Type,Driver,Name,Source_Reference_Number,Destination_Reference_Number,Destination_Name,Actual_Driver_Quantity,Destination_Module,Source_Module,Period
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,APE1631.03,Performance Feedback,2,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMTSXX.01-IR,Ad Hoc Reqs,35,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMDCXX.01-IR,Input/Preparation of Deals,70,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMCBXX.01-IR,Curve Validation,9,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMCBXX.02-IR,Curve Setup,12,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMCBXX.03-IR,Calc Books- S,44,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMCBXX.04-IR,Calc Books - M,26,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMGPXX.01-IR,Daily/Monthly Reporting,18,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMGPXX.04-IR,Rho & Drift Reprting,9,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMGPXX.05-IR,Analyze Changes,53,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMMRXX.05-IR,Recon & Report for Bus Analysis & Report,18,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMMRXX.01-IR,Value@Risk Report,4,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMMRXX.02-IR,Benchmark Reporting,7,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMMRXX.06-IR,Liquid Reporting/Recon,12,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMMRXX.07-IR,Max Exposure Report,5,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMMRXX.03-EQ,Process Consolidated DPR,2,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ABD1631.06,Customer Service,9,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ADCCFXX.01-IR,Deal Entry Accuracy/TAGG,11,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ADCCFXX.02-IR,Template Maint.,2,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ADCCFXX.03-IR,Identify Discrpncs,4,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ADCCFXX.05-IR,Generate Confirm,32,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ADCCFXX.06-IR,Review Confirm,16,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ADCCFXX.09-IR,FolU Unexecut confirm,2,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ADCCFXX.14-IR,Counterparty Verbal Check-out,11,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ASTSTXX.05-IR,Process/Apply Cash Receipts,9,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ADCCFXX.08-IR,Rcv 3rd party Paper,7,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,APE1631.01,Dvlp Employee Careers,2,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,APE1631.02,Provide Mentoring,2,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ASTSTXX.14-IR,Settle Financial Transactions,53,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ASTSTXX.08-IR,Reconciling,18,Activity,Resource,2000 May
1631,unique,Hours,Senior Specialist,R413-1631-SNRSP,ARMCBXX.05-EQ,Calc Sheets,5,Activity,Resource,2000 May
1631,unique,Hours,Specialist,R413-1631-SP,ATR1631.01,Participate in Training,0,Activity,Resource,2000 May
1631,unique,Hours,Specialist,R413-1631-SP,APE1631.03,Performance Feedback,4,Activity,Resource,2000 May
1631,unique,Hours,Specialist,R413-1631-SP,ARMTSXX.01-IR,Ad Hoc Reqs,76,Activity,Resource,2000 May
1631,unique,Hours,Specialist,R413-1631-SP,ARMDCXX.01-IR,Input/Preparation of Deals,152,Activity,Resource,2000 May
1631,unique,Hours,Specialist,R413-1631-SP,ARMCBXX.01-IR,Curve Validation,19,Activity,Resource,2000 May
