,,,,,,,,,,,
DWR Billing Determinants,DWR Billing Determinants,DWR Billing Determinants,DWR Billing Determinants,DWR Billing Determinants,DWR Billing Determinants,DWR Billing Determinants,DWR Billing Determinants,DWR Billing Determinants,DWR Billing Determinants,,
"Update July 22, 2001","Update July 22, 2001","Update July 22, 2001","Update July 22, 2001","Update July 22, 2001","Update July 22, 2001","Update July 22, 2001","Update July 22, 2001","Update July 22, 2001","Update July 22, 2001",,
,,,,,,,,,,,
,System,System,System,SB 43 Customers,SB 43 Customers,SB 43 Customers,AB 265 Customers,AB 265 Customers,AB 265 Customers,,
Period ,GWh,Current Rate,Revenues,Sales ,Current Rate,Revenues,Sales,Current Rate,Revenues,,
"Q1,2001",1096,6.5,71240,562.9400765892728,6.5,36591.10497830274,533.0599234107272,6.5,34648.89502169726,71240.0,0.0
"Q2,2001",1919,6.5,124735,985.6587654879695,6.5,64067.81975671802,933.3412345120304,6.5,60667.180243281975,124735.0,0.0
"Q3,2001",2443,6.5,158795,1254.801648820797,6.5,81562.1071733518,1188.198351179203,6.5,77232.8928266482,158795.0,0.0
"Q4,2001",2348,6.5,152620,1206.0066604303036,6.5,78390.43292796973,1141.9933395696964,6.5,74229.56707203027,152620.0,0.0
"Q1,2002",2514,6.5,163410,1291.2694822494816,6.5,83932.5163462163,1222.7305177505182,6.5,79477.48365378368,163410.0,0.0
"Q2,2002",2662,6.5,173030,1367.286937847303,6.5,88873.65096007471,1294.7130621526967,6.5,84156.34903992528,173030.0,0.0
"Q3,2002",2994,6.5,194610,1537.8125814856596,6.5,99957.81779656786,1456.1874185143404,6.5,94652.18220343214,194610.0,0.0
"Q4,2002",2655,6.5,172575,1363.6915176501088,6.5,88639.94864725709,1291.308482349891,6.5,83935.0513527429,172575.0,0.0
Jan01-Dec02,18631,6.5,1211015,9569.467670560898, ,622015.3985864582,9061.532329439104, ,588999.6014135417,1211015.0,0.0
Oct01-Dec02,13173, ,,6766.067179662857,,,6406.932820337143, ,,,
Mar27-Dec02,17638.396226415094,,,,,,,,,,
