,Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Normal Daily Demand
,2001-04-21 00:00:00,2001-04-22 00:00:00,2001-04-23 00:00:00,2001-04-24 00:00:00,2001-04-25 00:00:00,2001-04-26 00:00:00,2001-04-27 00:00:00,Apr 21-Apr 27
,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat - Fri
NEPOOL,11897.992809804253,11394.28331529125,13526.073291406601,13486.807455284874,13293.477650312574,13358.8008676643,13340.48696557182,12819.523477622464
NYPP East,8723.970174809998,8530.552747167003,10046.4653942246,10044.497276354201,9893.306963531199,9733.969745823404,9564.712852699406,9273.997078812718
NYPP West,6433.581525672401,6132.734384836403,7712.9486121193,7724.933861955202,7652.035875229902,7686.636826968002,7674.156872831902,7313.296310329587
PJM East,12406.069071675001,12112.179210093753,14873.823693531253,14771.303790432252,14230.78273979775,14040.36076958175,13957.465876723749,13364.629194385998
PJM West,12203.218957648249,11624.171195777497,14331.821833224,14336.388141684001,13950.018898536,13878.7674764695,13928.867316442,13320.605638775141
FRCC,17982.636307500004,18238.114970349998,21627.507111450017,22738.072993899994,22472.51113795001,21613.7552677,21094.47342665,20177.52847574286
SERC Ent,14691.045817085,14442.492726995297,15300.328310236204,15053.748141324206,14323.884556853302,14290.587261965302,14558.3640559423,14360.26069775189
SERC Southern,19289.397175641996,19606.25920275,22846.895061463005,23028.518103107,21231.679099334004,20665.865774928003,21122.35012103701,20431.433962034862
SERC TVA,15700.184293200004,15500.874314761002,17703.908997313003,17091.088625314005,16652.578487611005,16378.613453048001,16551.112226385005,15809.321806477568
SERC VACAR,26178.584057648004,26255.456968598002,31674.255152782018,32100.351884425014,30416.375582351,29086.275635615,28626.809096226003,27484.862791331005
ECAR Michigan,10054.125453262,9483.407812758,11964.840808245597,11779.964034599201,11562.812467880301,11511.717913637704,11561.082724237202,10941.019317127428
ECAR East,25799.991585775006,24735.464705611,29435.966177893,28514.997120664997,28236.573051687003,28589.103172036004,28437.507956439997,27297.549087826283
ECAR West,17997.096146806485,17603.45404293199,20350.977225802,19302.02970149049,18663.777227656494,18581.411372459497,18800.58419319599,17984.08193181464
MAIN,24187.61729151495,22176.320426009406,25642.44054352156,25162.285348675658,24959.6189523828,24863.52288249271,25122.242846862,23878.758576809254
MAPP,17230.0354724905,15880.928285651007,18213.131482656005,17962.750543574108,17880.5071228476,17952.849932795805,18191.5243981801,17350.621378724547
SPP North,5896.370733528,5335.600052992002,6015.4012907824,5930.402073222001,5891.634549464401,5983.4081818588,6123.5615383382,5741.390539600571
SPP South,2169.3326662992877,2191.5489966843006,2300.6246165144,2265.9084160293614,2183.007362630599,2157.4701269351995,2188.2365939190618,2196.9484987976416
SPP West,11132.8218456928,10642.177483995203,11595.617519838002,11189.03466846,11254.607943216,11530.153258491999,11718.095417886001,11141.215201479317
Total EAST,259974.07138605398,251886.02084325306,295163.0271230029,292483.08218049654,284749.18966927193,281903.26992047095,282561.63447956776,270887.04396544374
,,,,,,,,
ERCOT,31911.117095448,30913.920402742806,32323.749867552004,30779.6664608976,30147.924185202,30975.9189365508,31493.432909348398,30597.03110969263
,,,,,,,,
NP15,9768.918293579498,9295.3888191065,11039.491717154997,11617.274196715001,11732.658844115002,11437.870534557507,11100.855677395004,10494.590354357995
SP15,13223.31748700051,12411.303428903502,15199.978116740998,15427.433721820995,15513.744954994,15463.333728298505,15404.995581096,14468.322750229858
CAISO,22992.235780580006,21706.692248010004,26239.469833895993,27044.707918535998,27246.403799109,26901.204262856012,26505.851258491006,24962.913104587853
LADWP,2861.613500680001,2644.86590687,3454.144384349999,3481.678530549999,3502.8414280199986,3497.2486182699995,3497.38654012,3246.4220461514274
AZ/NM/NV,10088.447775032644,9505.868679420244,10979.91420471132,11428.055358114487,11974.54099362972,12275.632753386964,11920.180454646956,10847.69249441582
RMPA,5248.391230867201,5045.025678868801,5666.131859328001,5646.892300379999,5699.419091956799,5751.131617560001,5760.149390215201,5497.542821202171
Pacific NW,17820.3535171725,17311.125872670003,18826.417378334994,18553.0952763975,18441.711493274997,18496.125495434997,18748.906211595,18551.66927775
Inland NW,7741.329596876401,7416.4060755606515,8090.51076706061,8121.7122964031605,8124.96687511936,8147.756874706716,8084.101442240704,7867.31067226265
Total WSCC,66752.37140120876,63629.9844613997,73256.58842768092,74276.14168038114,74989.88368110987,75069.09962221468,74516.57529730887,70973.55041636992
