"The following are the inputs to the programs (in the order of enumeration in the sheet ""Assumptions and Methodology"")",,,,,,,,,,,,,,,,,,
Swap Portfolio Strike Value,,,,,,,,,,,,,,,,,,
,ENE,PUBR1,PRIVR1,Hanover,BRASR2,NPW,,,,,WhiteWing Assets and Liabilities,,,Years from t = 0,,,,
,,,,,,,,,,,# of ENE on WW,,50000000,,,,,
Price,81,,,37.88,,10,,,,,Debt on WW,,2500000000,,,,,
Drift,0.113,0.096,0.1,0.10600000000000001,0.14100000000000001,0.228,,,,,Closure Date,2003-01-15 00:00:00,,-15.66027397260274,,,,
Dividend Yield,0,0,0,0,0,0,,,,,, ,,,,,,
Portfolio Value,81,83111757.1867,189464090.16998416,37.88,221404000,10,,,,,,,Max ENE ,Years,Maximum,,,
Volatility,0.3,0.34,0.34,0.35,0.37,0.4,,,,,,Closing ,Shares,since the ,LMJ ,Notes,,
Portfolio Strike Price,,233020515.5199159,245752765.78,,460000000,,,,,,Raptor Charactieristics,Date,from WW,Last Closing,Payoff,Due,,
,,,,,,,,,,,Raptor1,2003-04-18 00:00:00,3876755,0.2547945205479452,36000000,443000000,,
Riskless Rate,0.05,0.05,0.05,0.05,0.05,0.05,,,,,Raptor2,2003-06-29 00:00:00,7809790,0.19726027397260273,31100000,375000000,,
,,,,,,,,,,,Raptor3,2003-09-27 00:00:00,0,0.2465753424657534,30000000,299000000,259000000.0,40000000.0
Correlation Matrix,,,,,,,,,,,Raptor4,2003-09-11 00:00:00,6326045,-0.043835616438356165,30000000,350000000,,
ENE,1,,,,,,,,,,,,,,,,,
PUBR1,0.06213353778015577,1,,,,,,,,,Today's Date ,2018-09-09 00:00:00,,,,,,
PRIVR1,0.25797531633824744,0.15532633438677035,1,,,,,,,,Divisor,365,,,,,,
Hanover,0.21410829046488672,0.1202943048378464,0.201431247864051,1,,,,,,,,,,,,,,
BRASR2,0.0633452584293176,0.015325810633801598,0.2432201670399814,0.0510087771263512,1,,,,,,ENE Price Points for the pay-off of each Raptor from the Waterfall,,,,,,,
TNPC,0.21986195876427173,0.283576465840696,0.2654714946679398,0.13971079008132944,0.20063144702592658,1,,,,,Beg. of R1 payout,,50,,,,,
,,,,,,,,,,,Beg. of R2 payout,,54.20260434841477,,,,,
Cholesky Factorization,,,,,,,,,,,Beg. of R4 payout,,65.25122832174755,,,,,
,,,,,,,,,,,Complete R4 payout,,78.1557494026556,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ENE Shares,,,,,,,
,,,,,,,,,,,Raptor 1,3739175,,,,,,
,,,,,,,,,,,,,,,,,,
Discount Rate (Risky),0.12,,,,,,,,,,,,,,,,,
Discounting Rate choice (risky = 0),1,1,1,1,1,1,,,,,NPW Shares,,,,,,,
Compounding Rate choice (risky = 0),0,0,0,0,0,0,,,,,Raptor 3,24117800,,,,,,
Random Shock Main (to WW),1.2789234065440818,-0.508603393036743,-0.8075074832321737,-2.4394425206028845,1.219057863877312,0.2651949176356605,,,,,No. of NPW in TRS,19000000,at,21,per share,,,
Random Shock 1 (to R1),-0.870281737742237,0.7931030097681565,0.7027590923692115,0.6722208493439796,-0.4462354619356382,-0.5671561429313657,,,,,,,,,,,,
Random Shock 2 (to R2),-0.9365026590275953,0.8417470325812518,0.10255177068879825,-0.5722515016040653,-0.4480180029584141,-1.582635731886774,,,,,,,,,,,,
Random Shock 3 (to R4),1.4041388965927324,0.4625188996071436,1.2125499200437437,0.29418761333683036,0.6704395788508518,0.567790477483493,,,,,,,,,,,,
Random Shock 4 (to R3),-1.3078836125532969,1.0207208703673751,0.963953417055375,-0.7295865215596941,-1.283179829810758,-0.15788264879814246,,,,,Collars,,Units equal shares held and maximum from Waterfall,,,,,
Correlated Random Shock (Main),,,,,,,,,,,Raptor 1 Call Price,116,,,,,,
Correlated Random Shock 1 (to R1),,,,,,,,,,,Raptor 1 Put Price,81,,,,,,
Correlated Random Shock 2 (to R2),,,,,,,,,,,Raptor 2 Call Price,111.8633,Raptor 4 Call Price,112.418,,,,
Correlated Random Shock 3 (to R4),,,,,,,,,,,Raptor 2 Put Price,78.875,Raptor 4 Put Price,83,,,,
Correlated Random Shock 4 (to R3),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Compunding Rate Chosen,0.113,0.096,0.1,0.10600000000000001,0.14100000000000001,0.228,,,,,,,,,,,,
Discount Rate Chosen,0.05,0.05,0.05,0.05,0.05,0.05,,,,,Waterfall Structure,,Number of Shares,Residual,,,,
,,,,,,,,,,,,,Paid,after paying,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,WhiteWing,,,,,,,
,,,,,,,,,Interim Period,,,,,,,,,
,ENE Stock Price,PUBR1,PRIVR1,Hanover,BRASR2,NPW Stock Price,,Closing Date,(Years),,Raptor 1,,,,,,,
Asset Values (Today),81,83111757.1867,189464090.16998416,37.88,221404000,10,,,,,Raptor 2,,,,,,,
Asset Values at the close of WW,,,,,,,,2003-01-15 00:00:00,-15.66027397260274,,Raptor 3,,,,,,,
Asset Values at the close of Raptor 1,,,,,,,,2003-04-18 00:00:00,0.2547945205479452,,Raptor 4,,,,,,,
Asset Values at the close of Raptor 2,,,,,,,,2003-06-29 00:00:00,0.19726027397260273,,,,,,,,,
Asset Values at the close of Raptor 4,,,,,,,,2003-09-11 00:00:00,0.20273972602739726,,,,,,,,,
Asset Values at the close of Raptor 3,,,,,,,,2003-09-27 00:00:00,0.043835616438356165,,Carryforward rate,0.07,,,,,,
,,,,,,,,,,,for Raptor Gains/Losses,,,,,,,
,,,,,,,,,,,,,,,,,,
Raptor 1 Closing Value,,,,,,,,,,,,,,,,,,
Value of ENE Stocks (Held+Waterfall),,,,,,,,,,,Drift Term Calculation:,,,,,,,
Collar Gains/Losses,,,,,,,,,,,,,,,,,,
Public Swap Gains/Losses,,,,,,,,,,,Rm =,0.16,,,,,,
Private Swap Gains/Losses,,,,,,,,,,,Rf =,0.06,,,,,,
Merlin,0,,,,,,,,,,,,,,,,,
Note Resolution,-443000000,,,,,,,,,,Asset,beta,drift,,,,,
Assets minus Liabilities,,,,,,,,,,,ENE,0.53,0.113,,,,,
LJM's Payoff (R1),,,PV,,,,,,,,NPW,1.68,0.228,,,,,
,,,,,,,,,,,BRAZIL,0.81,0.14100000000000001,,,,,
Raptor 2 Closing Value,,,,,,,,,,,pubr1,0.36,0.096,,,,,
Value of ENE Stocks (Waterfall),,,,,,,,,,,Hanover Compressor,0.46,0.10600000000000001,,,,,
Collar Gains/Losses,,,,,,,,,,,,,,,,,,
Brazilian Swap Gains/Losses,,,,,,,,,,,Hawaii Structure,,,,,,,
Hanover Gains/Losses,,,,,,,,,,,Maturity Date,2003-09-27 00:00:00,,,Value at,float minus,,
Note Resolution,-375000000,,,,,,,,,,,NPW Shares,Debt,Equity,21,fixed,,
Assets minus Liabilities,,,,,,,,,,,Series A,6766400,18122379.965277776,1996835.9375,140097564.0625,,,
