,Bayhurst 1537,Bayhurst 2 1538,Herbert 1617,Liebenthal 1643,Richmound 1709,Steelman 1796,Success Rcpt 1800,Suffield 2 2330,Welwyn Receipt 1834,Dawn Union 2808,Emerson 2  1597,Iroquois exports 1620,Kirkwall Union 1633,Niagara Falls 1669,Parkway Belt 2809,SS Marie 1723,St Clair 1724,Centra Manitoba MDA 1566,Centra Manitoba SSDA 1567,Centra Ontario CDA 1568,Centra Ontario EDA 1569,Centra Ontario NDA 1570,Centra Ontario SSMDA 1571,Centra Ontario WDA 1572,Centra Trans MDA 1573,Chippawa 1574,Consumers CDA 1579,Consumers EDA 1580,Consumers SWDA 1581,,Cornwall 1584,Emerson 1 1596,Emerson 2 1597,Empress 1598,Gladstone MDA 3582,GMi EDA 1603,GMi NDA 1606,Iroquois Exports 1620,Kingston 1629,Napierville 1666,Niagara Falls 1669,Parkway Belt 2809,Phillipsburg 1689,Sabrevois 1712,Spruce 1721,St Clair  1724,TCPL NDA 3157,TCPL WDA 1806,Transgas SSDA 1816,Union CDA 1822,Union SWDA 1823
2001-02-01,189164,42982,101811,14301,5900,2500,57867,179683,16764,466369,0,0,1327187,0,416801,61622,1230241,362239,5825,25587,215733,201775,74577,102463,29878,447847,891548,387722,0,,36718,511878,1780861,7357,300,790135,20000,911890,14000,60917,860013,0,32733,0,20599,0,6452,6002,11729,521942,1696611
2001-02-02,194164,41982,101811,14301,5900,2500,58008,179683,16764,437537,0,0,1286209,42558,368239,61622,1260972,341631,5465,23700,196227,213109,66029,108947,32372,460455,851630,390932,0,,36697,500203,1888309,7357,300,776400,21000,932676,14000,59335,830267,0,34133,0,17961,928,6481,6002,11729,469969,1697717
2001-02-03,209449,49982,101811,14301,5900,2500,58219,179683,16874,418646,20000,0,1341423,21145,332978,61622,1580739,341752,6665,20738,166844,192986,63255,107721,25140,457244,827924,366557,0,,35926,477579,1991754,7357,400,760000,210000,905274,15500,60914,819369,0,37296,0,21126,0,6481,6002,11729,494526,2009314
2001-02-04,209574,49982,101811,14301,5900,2500,58219,179683,16874,409403,0,0,1309831,0,338539,61622,1506877,321616,6665,22738,160483,191477,59481,105947,24350,417515,828498,366557,0,,37056,477575,2034942,7357,400,760000,21000,905274,15500,60914,819277,0,36296,0,21126,0,6481,6002,11729,517048,1966281
2001-02-05,209574,49982,101811,14301,5900,2500,58219,179683,16874,403068,0,0,1303278,0,394223,61622,1571167,322755,6665,18738,168059,190590,57368,108947,26237,418254,834498,386557,0,,35926,478005,2101324,7357,400,820000,21000,905274,15500,60914,819323,0,35296,0,21126,0,6481,6002,11729,504318,1943491
2001-02-06,202722,57982,101811,14301,5900,2500,57647,185683,16453,344514,10000,0,1252606,58575,355119,61622,1272900,357751,5315,22077,188767,225330,55662,116438,28081,418143,799263,366782,0,,34232,484558,1744471,7357,400,820000,21000,918843,16500,60906,820720,0,27796,0,22709,0,7536,6502,11729,521620,1633658
2001-02-07,193427,57982,101811,14301,5900,2500,57421,185683,16252,281667,106000,0,1185689,33439,347085,61922,1265495,367249,5315,23058,185113,205091,57849,113438,28872,417538,790733,372672,0,,34063,451971,1648294,7357,375,820000,21000,891869,15500,60917,824782,0,33296,0,21599,0,6481,6502,11729,474091,1491213
2001-02-08,190422,57982,101811,14301,5900,2500,57522,185683,16353,238777,63000,0,1245714,71417,304090,61622,1402003,375836,6815,17170,163102,185472,59736,108721,26237,413967,772695,346035,0,,34063,412349,1693703,7357,375,785000,20000,851055,12000,59851,811429,0,31296,0,22126,0,6481,6502,11729,512503,1670364
2001-02-09,200107,57982,101811,14301,5900,2500,63482,185683,16353,245417,75000,0,1097026,0,284709,61622,1467740,373098,6075,19813,145167,180136,58746,124986,26569,347057,707745,296035,0,,34063,460376,1862329,7357,375,780000,20000,799793,12000,57731,615749,0,26796,0,24819,0,3316,6502,11729,551393,1764064
2001-02-10,202622,57982,101811,14301,5900,2500,64209,185683,16878,337511,125000,0,1271062,14301,324162,61622,1137632,687404,5875,23210,142888,161886,57803,119269,28124,438891,882323,403857,0,,37874,490092,1580366,7357,475,760000,20000,903343,14500,59872,726607,0,37796,0,24819,19100,6481,6502,11729,463692,1474906
2001-02-11,202622,57982,101811,14301,5900,2500,64209,185683,16878,336570,126500,0,1228435,5232,438222,61622,1093350,387404,7375,23210,158127,175238,61246,121156,28124,470476,855947,430233,0,,41643,488476,1529245,7357,475,848900,20000,903342,16500,59883,726607,0,44096,0,24819,13825,0,6481,11729,429474,1427405
2001-02-12,202622,57982,101811,14301,5900,2500,64209,185683,16878,332795,115000,0,1169267,0,481318,61622,1102835,378414,5875,23398,172750,183401,57472,116495,26629,418205,804899,403857,0,,39695,488067,1571993,7357,475,898900,20000,903342,17500,59862,726607,0,42796,0,24819,13825,6481,6502,11729,438758,1448014
2001-02-13,222532,52982,101811,14301,5900,2500,64235,185683,16878,317432,34000,0,1194434,0,454224,61622,1557881,350414,6375,24302,189935,219012,57085,106164,28429,415413,762697,330131,0,,34168,434051,1939968,7357,500,929925,21000,848775,17500,59745,738943,0,40602,0,25874,15005,5953,6502,11729,455926,1886173
2001-02-14,221422,52982,100950,14301,5900,2500,67771,185683,16878,332463,38000,0,1309573,0,309554,61622,1245233,359459,6525,22794,182470,191122,59856,107185,29269,413766,819572,365681,0,,33999,461319,1502056,7357,500,810000,21000,867731,17500,60273,741954,0,36543,0,21126,16248,6481,6002,11615,525964,1586480
2001-02-15,218576,49982,100684,14301,5900,2500,67771,185683,16878,332896,56000,0,1227577,3294,382831,61622,1220666,349703,7025,21435,196898,195646,57893,112790,24523,428274,856947,393306,0,,33999,446100,1586823,7357,500,819163,21000,869160,15000,60284,720691,0,37602,0,25874,5275,7008,6502,11615,465206,1518974
2001-02-16,221476,49982,100950,14301,5900,2500,67771,185683,16653,371440,81000,0,1169641,2882,296197,61622,1084691,389708,7525,20832,158599,201053,65479,107834,24350,399209,803247,332411,0,,33999,462946,1620358,7357,500,740000,21000,871201,15000,60284,724655,0,36202,0,24291,0,7008,6002,11840,500740,1448916
2001-02-17,221461,41982,97461,14301,5900,2500,69869,185683,16653,354093,79000,0,1387910,5275,463279,61622,1333141,410390,7025,27362,163395,213457,58572,127655,29001,511802,850947,380724,0,,37749,455904,1738836,7357,500,818000,26300,892024,16500,61349,824651,0,42896,0,24819,0,7008,6002,10038,477399,1710625
2001-02-18,221461,41982,97461,14301,5900,2500,69869,185683,16653,351945,43000,0,1437700,0,320635,61622,1422841,374390,7025,24154,166824,191616,54636,114257,31068,474869,763332,329664,0,,36544,455904,1848322,7357,500,791000,22000,892025,16500,61339,824353,0,42396,0,24819,0,7008,6002,10038,520316,1795888
