,,,,,,,,,,,,,,,,,2018-07-18 00:00:00,, 
"MARINER ENERGY, INC.",,,,,,,,,,,,,,,,,,,
APPENDIX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WEEKLY DRILLING AND COMPLETION SUMMARY,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,PRESENT,,PROPOSED,,,,
,,,PROSPECT,,AREA,,WELL,,E/D,,WI%,,DEPTH,,TD,,COMMENT,,
,,,,,,,,,,,,,,,,,,,
,I.,,WELLS CURRENTLY DRILLING,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Green Canyon 136,,Deepwater,,OCS-G 4508 #8,,D,,0.25,,"7,600'",,"7,600'",,TA'd.  Demob rig.,,
,,,(Shasta),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,South Timbalier 316,,Deepwater,,OCS-G #1,,E,,0.2,,"12,829'",,"13,500'",,TA'd.  Evaluating.,,
,,,(Roaring Fork),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,II.,,"WELLS REACHING TOTAL DEPTH, TESTING, OR TURNED TO SALES THIS WEEK",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,None to report.,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,III.,,WELLS ANTICIPATED TO SPUD WITHIN 90 DAYS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Viosca Knoll 962,,Deepwater,,OCS-G #1,,E,,0.15,,,,"4,478'",,Towing rig to well.,,
,,,(Swordfish),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Visoca Knoll 962,,Deepwater,,OCS-G #2,,E,,0.15,,,,"3,835'",,Expected spud date  mid December 2001.,,
,,,(Swordfish),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Mississippi Canyon 205,,Deepwater,,OCS-G #1,,E,,0.25,,,,"3,500'",,Expected spud date mid December 2001.,,
,,,(Piston),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,IV.,,OTHER,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,None to report.,,,,,,,,,,,,,,,,
