Physical Index Deals ,Excluding ,Transport
,,
2002-07-01 00:00:00,,
Pub Code,PV,Cntr. Eqv.
DJ/BASIN/CIG,0,0
IF-CIG/RKYMTN,0.00010000000474974513,0
IF-CIG/WIC,0,0
IF-CIG/WINDRVR,0,0
IF-ELPO/PERMIAN,-4796282.9273,-479.62829272999994
IF-ELPO/SJ,8012061.552599995,801.2061552599995
IF-KERN/RIVER,154794.2198,15.47942198
IF-NTHWST/CANBR,154979.9729,15.497997289999999
IF-NWPL_ROCKY_M,25439346.4724,2543.93464724
IF-QUESTAR,118417.5782,11.84175782
IF-TW/PERMIAN,309588.4397,30.95884397
IF-WAHA-TX,1238353.7588000002,123.83537588000002
NGI-MALIN,-1384993.8212000004,-138.49938212000004
NGI-PGE/CG,-2394166.2240999993,-239.41662240999992
NGI-SOBDR-PG&E,-310436.58249999955,-31.043658249999954
NGI-SOBDR-SOCAL,-2483594.3742,-248.35943742
NGI-SOCAL,-2322482.7307999996,-232.24827307999996
NGI-SOCAL(KRS),-30958.844,-3.0958844
NW STANF/1ST-GD,154794.2198,15.47942198
Grand Total,21859420.71019999,2185.942071019999
