,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,unit - new & clean data,,,,,,special adjustments,,plant data new & clean,,
,,kW,Btu/kWhr LHV,,delta kW%,delta HR%,,kW,Btu/kWhr,kW,Btu/kWhr LHV,
E Sprint with chilling,,48000,8570,,,,,0,,177540,10492,
E Sprint without chilling,,40500,8957,,-0.15625,0.04515752625437573,,0,,149799.375,10965.79276546091,ignore this line just to calc the next line!!!!
,,,,,,,,6000,,155799.375,10543.488397469926,this is the CTG adjusted with the chilling kW added back in.
Sprint without chilling,HP Sprint only,34500,9189,,-0.14814814814814814,0.025901529529976555,,0,,127606.875,10816.580873545958,
no Sprint no chilling,,28500,9400,,-0.17391304347826086,0.022962237457830013,,0,,105414.375,11064.953772046143,
,,,,,,,,,,,,
,,,,,,,,,,44385,,
,,,,,,,,,,37449.84375,,
,,,,,,,,,,38949.84375,,
,,,,,,,,,,31901.71875,,
,,,,,,,,,,26353.59375,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Altitude,CIT,Wet Bulb,RH,output,heat rate,,,,,,
,ft asl,F,F,%,kW,Btu/kWhr LHV,,,,,,
S&S Guar, -   ,50,,0.95,48580,8570,,,,,,
ElectriCities,150,50,,0.95,48316,8570,,,,,,
,40,96,,0.48,40559,8957,,,,,,
, -   ,50,,0.95,48580,8570,,,,,,
, -   ,50,,0.95,48580,8570,,,,,,
, -   ,50,,0.95,48580,8570,,,,,,
, -   ,50,,0.95,48580,8570,,,,,,
, -   ,50,,0.95,48580,8570,,,,,,
