Proposed Storage Points,,,,,,
,,,,,,
,,,,Primary Firm,Primary Firm,
Location,POI Number,Capacity (MMBtu),,Sold (MMBtu),Available (MMBtu),Comments
,,,,,,
TW/NNG Gray,Rec 60667,60000,Rec.,20000,40000,"Will be Bi-Directional Nov. 1, 2001"
,Del 60668,,Del.,,,
,,,,,,
Transok Arapahoe,35111,55000,Rec.,29325,25675,Bi-Directional
,,55000,Del.,0,55000,
,,,,,,
ANR Greensburg,179,52137,Rec.,52137,0,Bi-Directional
,,80000,Del.,0,80000,
,,,,,,
Enogex Custer,1907,55000,Rec.,0,55000,Bi-Directional
,,55000,Del.,0,55000,
,,,,,,
Westar Seagraves,1504,100000,Rec.,8008,91992,Bi-Directional
,,60000,Del.,0,60000,
,,,,,,
Valero Sprayberry,229,62000,Rec.,56000,6000,"Can be Bi-Directional, but"
,,0,Del.,0,,very labor intensive
,,,,,,
El Paso Dumas,186,154782,Rec.,0,154782,Receipt Pt. Only
,,,,,,
,,,,,,
Llano Lea,200,50000,Rec.,20000,30000,Bi-Directional
,,50000,Del.,0,50000,
,,,,,,
El Paso Keystone,169,50000,Del.,50000,0,Delivery Pt. Only
,,0,,,,
,,,,,,
PEPL Mullinville,173,0,Rec.,,,Bi-Directional
,,150000,Del.,,150000,
,,,,,,
Pony Express,71214,80000,Rec.,80000,0,Bi-Directional
,,0,Del.,,,
