,,,,,,,,,,,
Inside FERC's Gas Market Report monthly bidweek price file.  ,,,,,,,,,,,
"When done, e-mail to Lkuch@mh.com",,,,,,,,,,,
"or fax to 202-383-2109, attention: Liane Kucher",,,,,,,,,,,
Prices must be sent to INSIDE FERC by 3:30 pm EASTERN TIME on the last business day of the month or,,,,,,,,,,,
"they might not be included.  If you have problems, call 202-383-2147 (Liane Kucher)",,,,,,,,,,,
,,,,,,,,,,,
SURVEY / WORKBOOK  NOTES:,,,,,,,,,,,
"* The essential fields to fill out below are the price, volume, date and price source fields.",,,,,,,,,,,
* Add the specific pipeline names and delivery points in column A as you go.,,,,,,,,,,,
"* We round the volumes to the nearest thousand, and truncate the last three zeros,",,,,,,,,,,,
"  ie, 15,320 MMBtu/day is entered as 15; 3,000 MMBtu/day, as 3, etc.",,,,,,,,,,,
"* Only report FIXED-PRICED,  BASELOAD DEALS negotiated during BIDWEEK. NO EFPs please.",,,,,,,,,,,
"* In the last two columns on the right, please report a low and a high for BASIS DEALS during BIDWEEK ",,,,,,,,,,,
  at each pricing point. The basis should be reported as plus or minus values to the last day NYMEX ,,,,,,,,,,,
"  Henry Hub Settlement price, ie., minus a half cents is -0.05, etc.",,,,,,,,,,,
"* Please do not change the format of the file, and do not put formulas in the cells, just values.",,,,,,,,,,,
"Thank you very much for participating, Kelley Doolan.",,,,,,,,,,,
,,,,,,,,,,,
,Price,Volume,,,Date,Price Source,IF Reporter,Comments,Bidweek Basis Low,Bidweek Basis High,
 ,,,,,,,,,,,
TRANSCO 65,9.72,5,0.02304147465437788,0.223963133640553,2000-12-26 00:00:00,ENA, , , , ,
,9.78,5,0.02304147465437788,0.22534562211981565,2000-12-26 00:00:00,ENA,,,,,
,9.84,10,0.04608294930875576,0.4534562211981567,2000-12-26 00:00:00,ENA,,,,,
,9.92,12,0.055299539170506916,0.5485714285714286,2000-12-26 00:00:00,ENA,,,,,
,9.98,15,0.06912442396313365,0.6898617511520738,2000-12-26 00:00:00,ENA,,,,,
,10.01,10,0.04608294930875576,0.4612903225806452,2000-12-26 00:00:00,ENA,,,,,
,9.97,15,0.06912442396313365,0.6891705069124425,2000-12-27 00:00:00,ENA,,,,,
,9.89,10,0.04608294930875576,0.45576036866359454,2000-12-27 00:00:00,ENA,,,,,
,9.82,5,0.02304147465437788,0.2262672811059908,2000-12-27 00:00:00,ENA,,,,,
,9.788,10,0.04608294930875576,0.45105990783410144,2000-12-27 00:00:00,ENA,,,,,
,9.83,10,0.04608294930875576,0.45299539170506914,2000-12-27 00:00:00,ENA,,,,,
,9.96,10,0.04608294930875576,0.45898617511520745,2000-12-27 00:00:00,ENA,,,,,
,9.99,10,0.04608294930875576,0.4603686635944701,2000-12-27 00:00:00,ENA,,,,,
,10.02,20,0.09216589861751152,0.9235023041474655,2000-12-27 00:00:00,ENA,,,,,
,10.01,10,0.04608294930875576,0.4612903225806452,2000-12-27 00:00:00,ENA,,,,,
,9.98,20,0.09216589861751152,0.9198156682027651,2000-12-28 00:00:00,ENA,,,,,
,9.96,20,0.09216589861751152,0.9179723502304149,2000-12-28 00:00:00,ENA, , ,,,
,9.94,20,0.09216589861751152,0.9161290322580645,2000-12-28 00:00:00,ENA, ,,,,
,,217,1.0000000000000002,9.935806451612903,,,,,,,
,Price,Volume,, ,Date,Price Source,IF Reporter,Comments,Bidweek Basis Low,Bidweek Basis High,
,,,,,,,,,,,
TRANSCO 45,9.7,5,0.06666666666666667,0.6466666666666666,2000-12-26 00:00:00,ENA,,,,,
,9.79,5,0.06666666666666667,0.6526666666666666,2000-12-26 00:00:00,ENA,,,,,
,9.9,3,0.04,0.396,2000-12-26 00:00:00,ENA,,,,,
,9.89,5,0.06666666666666667,0.6593333333333333,2000-12-27 00:00:00,ENA,,,,,
,9.82,8,0.10666666666666667,1.0474666666666668,2000-12-27 00:00:00,ENA,,,,,
,9.91,10,0.13333333333333333,1.3213333333333332,2000-12-27 00:00:00,ENA,,,,,
,9.82,10,0.13333333333333333,1.3093333333333335,2000-12-27 00:00:00,ENA,,,,,
,9.78,10,0.13333333333333333,1.3039999999999998,2000-12-27 00:00:00,ENA,,,,,
,9.86,5,0.06666666666666667,0.6573333333333333,2000-12-27 00:00:00,ENA,,,,,
,9.9,4,0.05333333333333334,0.528,2000-12-27 00:00:00,ENA,,,,,
,9.89,5,0.06666666666666667,0.6593333333333333,2000-12-28 00:00:00,ENA,,,,,
,9.84,5,0.06666666666666667,0.656,2000-12-28 00:00:00,ENA,,,,,
,,75,0.9999999999999999,9.837466666666668,,,,,,,
,,,,,,,,,,,
,Price,Volume,, ,Date,Price Source,IF Reporter,Comments,Bidweek Basis Low,Bidweek Basis High,#VALUE!
,,,,,,,,,,,
TRANSCO 30,9.65,3,0.045454545454545456,0.43863636363636366,2000-12-26 00:00:00,ENA,,,,,
,9.7,5,0.07575757575757576,0.7348484848484849,2000-12-26 00:00:00,ENA,,,,,
,9.79,5,0.07575757575757576,0.7416666666666666,2000-12-27 00:00:00,ENA,,,,,
,9.85,10,0.15151515151515152,1.4924242424242424,2000-12-27 00:00:00,ENA,,,,,
,9.82,5,0.07575757575757576,0.743939393939394,2000-12-27 00:00:00,ENA,,,,,
,9.72,5,0.07575757575757576,0.7363636363636364,2000-12-27 00:00:00,ENA,,,,,
,9.78,5,0.07575757575757576,0.7409090909090909,2000-12-27 00:00:00,ENA,,,,,
,9.81,8,0.12121212121212122,1.1890909090909092,2000-12-27 00:00:00,ENA,,,,,
,9.84,10,0.15151515151515152,1.490909090909091,2000-12-27 00:00:00,ENA,,,,,
,9.8,5,0.07575757575757576,0.7424242424242425,2000-12-27 00:00:00,ENA,,,,,
,9.79,5,0.07575757575757576,0.7416666666666666,2000-12-28 00:00:00,ENA,,,,,
,,66,1.0,9.792878787878788,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
