,,,,,,
,,,,,,
,Calendar Year   ,2002.0,2003.0,2004.0,2005.0,2006.0
,,,,,,
,Volume / Day   ,100000.0,100000.0,100000.0,100000.0,100000.0
,Days/Year    ,365.0,365.0,365.0,365.0,151.0
,Demand Charge/MMbtu    ,0.35648,0.35648,0.29908,0.29908,0.29908
,Gas Research Institute (GRI)    ,0.00197,0.00164,0.0,0.0,0.0
, ,,,,,
,Total Calendar Demand Charge   ,-13083425.000000002,-13071380.0,-10916420.0,-10916420.0,-4516108.0
,,,,,,
,,,,,,
,,,,,,
,ENA Payment Structure,,,,,
,(1) Lump Sum  Payment or ,12000000.0,,,,
,(2) Annuity Payment,2400000.0,2400000.0,2400000.0,2400000.0,2400000.0
,,,,,,
,Adjusted Calendar Year Demand Charge (1),-1083425.0000000019,-13071380.0,-10916420.0,-10916420.0,-4516108.0
,Adjusted Calendar Year Demand Charge (2),-10683425.000000002,-10671380.0,-8516420.0,-8516420.0,-2116108.0
