Actual and forecasted load,Jan,Feb,Mar,April,May,June,July,August,Sep,Oct,Nov,Dec,Total
2001,19720000,18498000,19726000,18917000,20773000,22441000,22786000,24039000,21420000,20191000,19380000,20165000,248056000
2002,20231000,18977000,20237000,19407000,21311000,23022000,23376000,24662000,21975000,20714000,19882000,20687000,254481000
2003,20755000,19468000,20762000,19910000,21863000,23619000,23982000,25300000,22544000,21250000,20397000,21223000,261073000
2004,21293000,19973000,21299000,20425000,22430000,24230000,24603000,25956000,23128000,21801000,20925000,21773000,267836000
2005,21844000,20490000,21851000,20954000,23011000,24858000,25240000,26628000,23727000,22365000,21467000,22337000,274772000
2006,22410000,21021000,22417000,21497000,23607000,25502000,25894000,27318000,24342000,22945000,22023000,22915000,281891000
2007,22990000,21565000,22997000,22054000,24218000,26162000,26564000,28025000,24972000,23539000,22594000,23509000,289189000
2008,23586000,22123000,23593000,22625000,24845000,26840000,27252000,28751000,25619000,24149000,23179000,24118000,296680000
2009,24197000,22696000,24204000,23211000,25489000,27535000,27958000,29496000,26283000,24774000,23779000,24742000,304364000
2010,24823000,23284000,24831000,23812000,26149000,28248000,28682000,30260000,26963000,25416000,24395000,25383000,312246000
,,,,,,,,,,,,,
RPS Requirement,Year,Load,% in MWH,MW w/ 30% cf,,,,,,,,,
0.01,2003,261073000,2610730,89.40856164383561,,,,,,,,,
0.02,2005,274772000,5495440,188.2,,,,,,,,,
0.05,2007,289189000,14459450,495.18664383561645,,,,,,,,,
0.08,2009,304364000,24349120,833.8739726027397,,,,,,,,,
0.1,2010,312246000,31224600,1069.335616438356,,,,,,,,,
