Budget Worksheet - 2001 - 2002,,,,,,,
,,,,,,,
,,,2001 Plan,,,,2002 Plan
,Inside,Outside,Total,,Inside,Outside,Total
,,,,,,,
EWS*,18947969,22873102,41821071,,22825782,31000000,53825782
Enron Canada-Keohane,0,713134,713134,,1020844,151000,1171844
Enron Europe-Evans,,,,,,,
EES-Sharp,7113388,14984877,22098265,,10450837,12000000,22450837
Global Finance-Mintz,2427132,129080,2556212,,2538579,100066,2638645
M&A-Mordaunt,0,0,0,,1294669,8000000,9294669
,,,,,,,
Total,28488489,38700193,67188682,,38130711,51251066,89381777
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
*Excludes Global Assets (Lundstrom) and South America (Novak),,,,,,,
