"ETS Planned And Unplanned Outages - November 1, 2001 Through December 31, 2001",,,,,,,,,,,,,,,,,,,,
NNG & TW REGIONS  - Sorted By Region/Location,,,,,,,,,,,,,,,,,,,,
"The information provided is tentative and may be changed without further notice.  Northern Natural Gas, Transwestern Pipeline and Florida Gas Transmission are not responsible for any reliance on this information.",,,,,,,,,,,,,,,,,,,,
"Data Extracted November 13, 2001",,,,,,,,,,,,Est. Flow,Est. Vol.,,Act.,Act. ,Act.,,,
No.,ID#,Region,Location,Units,Title,EstStart,EstComp,Duration,Line,Proj. Mgr,W.O. #,Affected,Affected,DescOfWork,Start,Compl.,Flow Aff.,P/U,Pub,Ver
,,,,,,,,,,,,(Mmcfd),,,,,mmcf/d,,,
,,,,,,,,,,,,,,,,,,,,
1,17756,ALB,ARTESIA,AGAVE I/C,HOT TAP,2001-11-27 08:00:00,2001-11-27 17:00:00,0.4,,OPS,        ,0,0,"Doing a hot tap on the 24"" loop line. Max pressure at needed during the work is 712#.",,,0,P,N,N
2,17090,ALB,STATION 2,MAINLINE,RED ROCK TIE-IN,2001-11-12 08:00:00,2001-11-15 16:00:00,3.3,,OPS,        ,130,433.3,New block and side valve assemblies for new compressor and scrubbers will be installed on the suction side main and loop lines at each station. The tie-in will entail isolating a line segment within the plant yard.,,,0,P,N,N
3,17091,ALB,STATION 2,LOOP LINE,RED ROCK TIE-IN,2001-11-15 08:00:00,2001-11-19 16:00:00,4.3,,OPS,        ,130,563.3,New block and side valve assemblies for new compressor and scrubbers will be installed on the sucton side main and loop lines at each station. The tie-in will entail isolating a line segment within the plant yard.,,,0,P,N,N
,,,,,,,,,,,,,,,,,,,,
1,17740,AMA,BEAVER 5,4,ELMWOOD PLANT,2001-10-17 11:00:00,2001-11-18 16:00:00,32.2,,OPS,        ,0,0,"Unit down due to Elmwood Plant commoned southeast 24"" and 8"". Unit will not be able to buck high discharge pressure. Unit will be down as long as Elmwood Plant is operating this way.(Station down until further Notice).",2001-10-17 11:00:00,,0,U,N,N
2,17768,AMA,P3,GRAY CO. I/C,GRAY CO. TIE-IN,2001-11-29 08:00:00,2001-12-01 16:00:00,2.3,,OPS,        ,200,466.7,There will be an outage at P3 to do the tie-ins for the Gray Co. I/C. They need to move and tie-in the I/C.,,,0,P,N,N
3,17723,AMA,PAMPA,A LINE,A LINE LEAKS,2001-11-26 07:00:00,2001-11-30 16:00:00,4.4,TXG89001,OPS,        ,0,0,Repair three leaks on A line.  This will necessitate shutting in OneOK's Cargray plant (2.2 m 2/d) as well as Skellytown TBS (50 mcf/d) and Crawford Plant Fuel which is used only as an emergency back up.,,,0,P,N,N
,,,,,,,,,,,,,,,,,,,,
1,17497,BEA,BUSHTON,CONTROLLER #5,CHECK VALVE,2001-11-14 08:00:00,2001-11-14 13:00:00,0.2,BURDETT,OPS,        ,130,27.1,Remove check valve flapper from controller 5 check valve. (This outage and this date has been approved).,,,0,P,N,N
