,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,
Desk,Counterparty,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPMI-ERCOT-MGMT,CONSTELLPOWSOU,-418754,,,,13046218.06,857253.76,,,-2181485.23,682798.15,,,-1619446.68,1609552.71,,,-468329.2,-481936.8,,,,,,,,,11025870.76
EPMI-ERCOT-OFF,CONSTELLPOWSOU,-45225.43,68286.81,,,-363086.83,381380.1,,,,,,,,,,,,,,,,,,,,,41354.66
EPMI-LT-CALI,CONSTELLPOWSOU,1441510.83,531245.3,,,1244574.87,,,,,,,,,,,,,,,,,,,,,,3217331
EPMI-LT-ERCOT,CONSTELLPOWSOU,26122.27,,,,640674.6,,,,393957,,,,562903.15,837802.52,,,-991399.1,,,,,,,,,,1470060.47
EPMI-LT-MGMT,CONSTELLPOWSOU,2999,,,,-171590.08,,,,260574.48,,,,,,,,,,,,,,,,,,91983.38
EPMI-LT-NEMGMT,CONSTELLPOWSOU,-144129.36,,,,-352860.13,,,,-3761833.52,,,,-1855523,,,,-1499346.87,,,,-962057.33,,,,,,-8575750.21
EPMI-LT-NENG,CONSTELLPOWSOU,-955979.62,731032.84,,,-28434273.51,-7162002.69,,,-4721630.52,592743.2,,,,,,,,,,,,,,,,,-39950110.3
EPMI-LT-NW,CONSTELLPOWSOU,-735699,578.28,,,47963872.27,2448716.72,85043.3,,2871313.33,-1181784.4,,,1361430.69,-552190.05,,,445560.29,-489022.79,,,455949.91,-438918.77,,,,,52234849.81
EPMI-LT-NW,PUBSERCOLORADO,1100704.89,-1603279.5,,,7094766.29,,,,,,,,,,,,,,,,,,,,,,6592191.68
EPMI-LT-NY,CONSTELLPOWSOU,312098.82,,,,-4156766.11,,,,,,,,,,,,,,,,,,,,,,-3844667.29
EPMI-LT-OPTION,CONSTELLPOWSOU,-260805.14,,,,2481032.72,,,,2050073,,,,2277580,,,,,,,,,,,,,,6547880.51
EPMI-LT-OPTIONA,CONSTELLPOWSOU,,,,,1025879,,,,1230043.78,,,,,,,,,,,,,,,,,,2255922.81
EPMI-LT-OPTIONB,CONSTELLPOWSOU,,,,,4950575.88,,,,,,,,,,,,,,,,,,,,,,4950575.88
EPMI-LT-OPTZ,CONSTELLPOWSOU,-112621.9,,,,-212173.9,,,,,,,,,,,,,,,,,,,,,,-324795.81
EPMI-LT-PJM,CONSTELLPOWSOU,632668.48,-96572.65,,,7709855.75,1034287.84,,,3935887.26,-2292225.92,,,241059.13,-3833359.16,,,-1776661.16,-1438936.25,,,-371410.86,-1305205.65,,,67553.24,-1152254.41,1354685.64
EPMI-LT-PJM,PUBSERCOLORADO,,,,,-618287.21,,,,,,,,,,,,,,,,,,,,,,-618287.21
EPMI-LT-SERC,CONSTELLPOWSOU,315918.47,,,,-35388.33,,16825.28,,,,,,,,,,,,,,,,,,,,297355.41
EPMI-LT-SPP,CONSTELLPOWSOU,83750.8,,,,-5650366.33,,,,-451515.72,,,,,,,,,,,,,,,,,,-6018131.25
EPMI-LT-SPP,PUBSERCOLORADO,,,,,626642.44,,,,,,,,,,,,,,,,,,,,,,626642.44
EPMI-LT-SW,CONSTELLPOWSOU,240644,54936.54,-11601.48,-2891.4,20500718.64,,,,2639178.64,-1324859.48,,,-190508,-1242955.19,,,,,,,,,,,,,20662662.21
EPMI-LT-SW,PUBSERCOLORADO,3576817.3,-1122266.73,,,-469930.25,-194174.45,100800,,,,,,,,,,,,,,,,,,,,1891245.9
EPMI-LT-WESTMGM,CONSTELLPOWSOU,2615338.15,,,,,,,,,,,,,,,,,,,,,,,,,,2615338.15
EPMI-MIDWEST,CONSTELLPOWSOU,4506920.73,126854.59,,,-8364478.13,-391947.11,,,1803103.32,,,,-1174167.64,,,,-802789.51,,,,-381354.59,,,,,,-4677858.33
EPMI-MIDWEST,ENERGYAUT,,,,,623243.62,,,,,,,,,,,,,,,,,,,,,,623243.62
EPMI-MIDWEST,PUBSERCOLORADO,291366.62,,,,846650.39,,,,,,,,,,,,,,,,,,,,,,1138017
EPMI-SOUTHEAST,CONSTELLPOWSOU,1236321.37,,,,5208591.92,,,,,,,,,,,,,,,,,,,,,,6444913.29
EPMI-ST-CA,CONSTELLPOWSOU,6963.28,,,,,,,,,,,,,,,,,,,,,,,,,,6963.28
EPMI-ST-ECAR,CONSTELLPOWSOU,-322711,,,,,,,,,,,,,,,,,,,,,,,,,,-322711
EPMI-ST-ECAR,PUBSERCOLORADO,7743.39,,,,,,,,,,,,,,,,,,,,,,,,,,7743.39
EPMI-ST-ERCOT,CONSTELLPOWSOU,48854.63,,,,,,,,,,,,,,,,,,,,,,,,,,48854.63
EPMI-ST-NENG,CONSTELLPOWSOU,-1410543.68,-101799.1,,,864579.21,633088.9,,,-997753.33,502594.66,,,,,,,,,,,,,,,,,-509833.34
EPMI-ST-NY,CONSTELLPOWSOU,-1362833.43,,,,-3764872.89,,,,-974309.66,,,,,,,,,,,,,,,,,,-6102016
EPMI-ST-PJM,CONSTELLPOWSOU,443742.43,,,,1015643.13,,,,,,,,,,,,,,,,,,,,,,1459385.55
EPMI-ST-PJM-OFF,CONSTELLPOWSOU,,,,,,,,,208488.84,-897925.86,,,,,,,,,,,,,,,,,-689437
EPMI-ST-PLT,CONSTELLPOWSOU,3689,10698.17,,,180708.89,203017.74,,,207863.67,225002.1,,,,,,,,,,,,,,,,,830979.59
EPMI-ST-SW,CONSTELLPOWSOU,,,,,-104613.62,,,,,,,,,,,,,,,,,,,,,,-104613.62
EPMI-ST-SW,PUBSERCOLORADO,-224232.8,-7078.94,,,-40211.91,,,,,,,,,,,,,,,,,,,,,,-271523.65
Grand Total: ,,10900639.08,-1407364.39,-11601.48,-2891.4,63285328.49,-2190379.18,202668.6,,2511955.31,-3693657.56,,,-396672.41,-3181149.17,,,-5092965.54,-2409895.85,,,-1258872.87,-1744124.42,,,67553.24,-1152254.41,54426316
