COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
"Calpine Energy Services, L.P.",2001-01-25 08:59:01,2001-02-01 00:00:00,MALIN,-5000,-140000,10.635,,140000,10.635,1488900
PanCanadian Energy Services Inc.,2001-01-25 10:44:32,2001-02-01 00:00:00,MALIN,-5000,-140000,10.38,,140000,10.38,1453200
Coast Energy Group,2001-01-25 11:55:00,2001-02-01 00:00:00,MALIN,3430,96040,10.6,,96040,10.6,1018024
"Calpine Energy Services, L.P.",2001-01-25 13:10:56,2001-02-01 00:00:00,MALIN,-5000,-140000,10.77,,140000,10.77,1507800
"TransCanada Gas Services, a division of TransCanada Energy Ltd.",2001-01-25 14:24:04,2001-02-01 00:00:00,MALIN,778,21784,10.25,,21784,10.25,223286
"Calpine Energy Services, L.P.",2001-01-26 08:51:44,2001-02-01 00:00:00,MALIN,-5000,-140000,10.51,,140000,10.51,1471400
BP Energy Company,2001-01-26 08:53:31,2001-02-01 00:00:00,MALIN,5000,140000,10.365,,140000,10.365,1451100
"Enron Energy Services, Inc.",2001-01-26 12:33:14,2001-02-01 00:00:00,MALIN,-5000,-140000,10.67,,140000,10.67,1493800
Coast Energy Group,2001-01-26 12:35:14,2001-02-01 00:00:00,MALIN,1547,43316,9.45,,43316,9.45,409336.2
Barrett Resources,2001-01-26 12:39:14,2001-02-01 00:00:00,MALIN,-4376,-122528,9.65,,122528,9.65,1182395.2
Dynegy Marketing and Trade,2001-01-26 12:40:14,2001-02-01 00:00:00,MALIN,4376,122528,9.6,,122528,9.6,1176268.8
"Calpine Energy Services, L.P.",2001-01-29 10:12:12,2001-02-01 00:00:00,MALIN,-5000,-140000,10.13,,140000,10.13,1418200
Aquila Energy Marketing Corporation,2001-01-29 11:55:21,2001-02-01 00:00:00,MALIN,5000,140000,9.815,,140000,9.815,1374100
"Coral Energy Resources, L.P.",2001-01-29 13:36:32,2001-02-01 00:00:00,MALIN,-5000,-140000,10.095,,140000,10.095,1413300
Dynegy Marketing and Trade,2001-01-30 12:11:14,2001-02-01 00:00:00,MALIN,10000,280000,8.75,,280000,8.75,2450000
Aquila Energy Marketing Corporation,2001-01-30 12:31:14,2001-02-01 00:00:00,MALIN,675,18900,8.8,,18900,8.8,166320
"Coral Energy Resources, L.P.",2001-01-30 12:33:14,2001-02-01 00:00:00,MALIN,-3917,-109676,9.3,,109676,9.3,1019986.8
WACOG,9.985394539737378,,,,-349636,,,2074772,,20717417
,,,,,,,,,,
"USGT/Aquila, L.P.",2001-01-25 10:14:38,2001-02-01 00:00:00,PERMIAN,5000,140000,7.19,,140000,7.19,1006600
"USGT/Aquila, L.P.",2001-01-25 10:18:07,2001-02-01 00:00:00,PERMIAN,5000,140000,7.17,,140000,7.17,1003800
Arizona Public Service Company,2001-01-25 10:27:38,2001-02-01 00:00:00,PERMIAN,5000,140000,7.19,,140000,7.19,1006600
Highland Energy Company,2001-01-25 11:30:00,2001-02-01 00:00:00,PERMIAN,2000,56000,7.18,,56000,7.18,402080
"USGT/Aquila, L.P.",2001-01-26 08:48:30,2001-02-01 00:00:00,PERMIAN,5000,140000,7.02,,140000,7.02,982800
"Western Gas Resources, Inc.",2001-01-26 09:15:10,2001-02-01 00:00:00,PERMIAN,5000,140000,7,,140000,7,980000
