CES Trades that have not been paid,,,,,,,,,,,,,
,,,,,,,,,,,,,
Basis Trades,,,,,,,,,,,,,
,,,,,,,,,,,,,
Deal # ,2000-12-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00,2001-08-01 00:00:00,2001-09-01 00:00:00,2001-10-01 00:00:00,2001-11-01 00:00:00,,Total,,Deal Expiration
N92407.1,X,X,X,X,,,,,,,2365.4100000000003,,2001-06-30 00:00:00
N92407.2,,,,,X,X,X,X,X,,154.62999999999994,,2002-06-30 00:00:00
NE1787.3,,X,X,X,X,X,X,X,X,,4835.720000000001,,2002-03-31 00:00:00
NE1787.4,X,,,,,,,,,,2580.39,,2001-03-31 00:00:00
NV5435.1,X,X,X,X,X,X,X,X,X,,6615.82,,2002-06-30 00:00:00
NW7628.1,X,X,X,X,X,X,X,X,X,,18096.69,,2003-10-31 00:00:00
Exposure,9675.17,2777.81,2286.26,1904.41,1764.13,1792.89,1925.47,2362.71,10159.81,,34648.66,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nymex Trades,,,,,,,,,,,,,
,,,,,,,,,,,,,
Deal # ,2000-12-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00,2001-08-01 00:00:00,2001-09-01 00:00:00,2001-10-01 00:00:00,2001-11-01 00:00:00,,Total,,
N91852.1,,,,,,X,X,X,X,,3692.7299999999996,,2002-06-30 00:00:00
NW7721.1,,,,,X,X,X,X,X,,99611.16,,2002-03-31 00:00:00
NE1116.1,,,,,,X,X,X,X,,7.269999999999527,,2002-07-31 00:00:00
,,,,,,,,,,,,,
Exposure,,,,,1161.92,11271.63,17236.08,27254.54,46386.990000000005,,103311.16,,
,,,,,,,,,,,,,
Total Exposure,9675.17,2777.81,2286.26,1904.41,2926.05,13064.519999999999,19161.550000000003,29617.25,56546.8,,137959.82,,
