,,,,,
,,,,,
,,,,,
,S&P,Moody's,Split Rating?,,
El Paso,BBB+,Baa2,split,,
Williams,BBB+,Baa2,split,,
Dynegy,BBB+ ,Baa3,split,,
Aquila,BBB,Baa2,,,
Enron,BBB-,Baa3 ,,,
WGR,BB+,Ba1,,,Investment Grade
CMS Energy,BB,Ba3,split,,Speculative
,,,,,
,,,,,
,,,,,
,,,,,
Below is the equivalency table between S&P and Moody's:,,,,,
S&P,Moody's,,,,
AAA,Aaa,,,,
AA+/AA,Aa1/Aa2,,,,
AA-,Aa3,,,,
A+,A1,,,,
A,A2,,,,
A-,A3,,,,
BBB+,Baa1,,,,
BBB,Baa2,,,,
BBB-,Baa3,,Investment Grade,,
BB+,Ba1,,Speculative,,
BB,Ba2,,,,
BB-,Ba3,,,,
B+,B1,,,,
B,B2,,,,
B-,B3,,,,
