Transwestern Open Season (01/22/2002),,,,
,,,,
Shipper,Bid,Term,Receipt,Delivery
PG&E Energy Trading,0.205,Feb-Oct 2002,San Juan,"Needles 10000, Topock 10000"
Sempra Energy Trading,0.181,Feb-Oct 2002,San Juan,"Needles 10000, Topock/Calpine/SWGas 10000"
BPAmoco,0.18,Feb-Oct 2002,San Juan,"Needles 10000, Topock 10000"
Reliant,0.151,Feb-Oct 2002,San Juan,"Needles 10000, Topock 10000"
Duke Energy Trading & Marketing,0.151,Feb-Oct 2002,San Juan,Needles 10000
Aquila Dallas Marketing (USGT),0.1126,Feb-Oct 2002,San Juan,"Needles 10000, Topock 10000"
Conoco Inc.,0.11,Feb-Oct 2002,San Juan,Needles 10000
"Western Gas Resources, Inc.",0.095,Feb-Oct 2002,San Juan,"Needles 10000, Topock 10000"
Astra Power LLC,0.0756,Feb-Oct 2002,San Juan,"Needles 10000, Topock 10000"
Conoco Inc.,*,Feb-Oct 2002,San Juan,Needles 10000
,,,,
,,,,
,,,,
*NGI SoCal minus .01 less IF El Paso SJ less fuel,,,,
