Region,,Strip Term Start Date,Strip Term End Date,,,Close Price,,,,Region Code,Region Description
CIN,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,24,,,,CIN,Cinergy
CIN,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,26.795,,,,COM,Comed
CIN,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,25.205,,,,ENT,Entergy
CIN,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,26.95,,,,ERC,ERCOT
CIN,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,36.205,,,,NEP,NEPOOL
CIN,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,46.51,,,,NYA,NY Zone A
CIN,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,25.4,,,,NYG,NY Zone G
CIN,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,25.85,,,,NYJ,NY Zone J
CIN,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,28.13,,,,PJM,PJM
CIN,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,26.95,,,,TVA,TVA
CIN,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,28.45,,,,FRC,FRCC
CIN,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,36.345,,,,MAP,MAPP
CIN,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,45.25,,,,SMP,S. MAPP
CIN,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,26.9,,,,ALG,ALGONQUIN
CIN,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,27.4,,,,TM3,IF-TETCO/M3
ent,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,22.649995803833,,,,Z6,IF-TRANSCO/Z6
ent,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,23.65,,,,NG,NG
ent,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,22.7,,,,CHC,NGI/CHI. GATE
ent,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,25.1,,,,SRC,SERC
ent,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,32.2,,,,SFL,SERC Florida
ent,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,41.002,,,,Z6N,TRANSCO/Z6NONNY
ent,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,22.75,,,,PJE,PJM Eastern Hub
ent,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,24,,,,HPL,IF-HPL/SHPCHAN
ent,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,26.951,,,,BOS,Boston
ent,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,25.551,,,,WMA,West Massachusetts
ent,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,27.251,,,,ME,Maine
ent,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,36.201,,,,FEN,First Energy
ent,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,40.001,,,,VEP,VEPCO
ent,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,25.551,,,,NSP,NSP
ent,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,27.151,,,,AEP,AEP
tva,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,22.600004196167,,,,MTB,Manitoba
tva,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,26.545,,,,GTC,GTC
tva,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,24.805,,,,AST,Associated
tva,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,26.8,,,,DUK,Duke
tva,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,35.255,,,,N61,61NY
tva,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,45.46,,,,G61,61GC
tva,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,24.75,,,,TXV,Texas Valley
tva,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,25.35,,,,MXB,Mexico Border
tva,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,27.28,,,,AME,Ameren
tva,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,26.45,,,,NGP,IF-NGPL/LA
tva,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,27.7,,,,CGT,IF-CGT/APPALAC
tva,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,35.345,,,,FGT,IF-FGT/CTYGATE
tva,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,44.25,,,,DWN,CGPR-DAWN
