,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes From ENA Group Expenses Meeting:,,,,,,2001 plan,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ENA,,
,A) Energy Operations:,,,Beck,,,,,,,,,,,,Total ,ENA,Target,Net,Savings
,,,,,,,,,,,,,,,,Budget,Budget,Savings,ENA,Percentage
,Total ,ENA ,Target,,,,,,,,,,Energy Operations,,,48.3,43.4,4.5,38.9,0.10368663594470047
,Budget,Budget,Savings,,,,,,,,,,Legal,,,40,24.4,2.5,21.9,0.10245901639344263
,48.3,43.4,4.5,0.10368663594470047,,,,,,,,,BA&R,,,11.5,10.8,1.1,9.700000000000001,0.10185185185185186
,,,,,,,,,,,,,HR,,,7.5,5,5,0,1
,Notes:,* total and net ENA plus saving target reported on P/L,,,,,,,,,,,Tax,,,5.4,4.2,0.4,3.8000000000000003,0.09523809523809523
,,* non ENA charges allocated to other wholesale groups,,,,,,,,,,,Transaction Support,,,3.9,2.4,0.25,2.15,0.10416666666666667
,,* ENA charges not allocated to the ENA business units,,,,,,,,,,,PR,,,2.4,2.4,2,0.3999999999999999,0.8333333333333334
,,* does not include HPL savings ($6M),,,,,,,,,,,Research,,,10.5,2.2,1.05,1.1500000000000001,0.47727272727272724
,,* does not include and profit/savings from commodity logic,,,,,,,,,,,Competitive Analysis,,,0,0,0,0,
,,* margin on specific deals that add significant new energy ops resources will be charged to the deal,,,,,,,,,,,Technical,,,0,0,0,0,
,,subject to ENA OOC approval,,,,,,,,,,,Restructuring,,,0,0,0,0,
,,,,,,,,,,,,,,TOTAL,,129.5,94.80000000000001,16.8,78.00000000000001,0.1772151898734177
,B) Legal,,,Haedicke,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total,ENA,Target ,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,40,24.4,2.5,0.10245901639344263,,* further analysis to be done as discussed below,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,* total and net ENA plus savings target reported on P/L,,,,,,,,,,,,,,,,,,
,,* capacity charge to be calculated by wholesale business unit and allocated ,,,,,,,,,,,,,,,,,,
,,* sub ENA capacity charge not allocated inside ENA,,,,,,,,,,,,,,,,,,
,,* outside counsel allocated out to non-ENA budget and to specific margins on ENA deals based on deal origin,,,,,,,,,,,,,,,,,,
,,* ENA procedure:,,,,,,,,,,,,,,,,,,
,,,* business unit requests outside counsel;,,,,,,,,,,,,,,,,,
,,,* over $5K needs approval of OOC,,,,,,,,,,,,,,,,,
,,,* charged to business unit margin,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,C) BA&R,,,Colwell,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total ,ENA,Target,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,11.5,10.8,1.1,0.10185185185185186,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,* total and net ENA plus savings target reported on P/L,,,,,,,,,,,,,,,,,,
,,* non ENA charges allocated to other wholesale groups,,,,,,,,,,,,,,,,,,
,,* ENA charges not allocated to the business units,,,,,,,,,,,,,,,,,,
,,* does not include HPL savings,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,D) HR,,,Oxley,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total ,ENA,Target,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,7.5,5,5,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,* total and net ENA plus savings target reported on P/L,,,,,,,,,,,,,,,,,,
,,* non ENA charges allocated to other wholesale groups,,,,,,,,,,,,,,,,,,
,,* ENA charges not allocated to the business units,,,,,,,,,,,,,,,,,,
,,* headhunter & recruiting costs charged to business units,,,,,,,,,,,,,,,,,,
,,* savings number anticipates savings originated from HR P/L plus headhunter/recruiting expenses plus A&A reduction,,,,,,,,,,,,,,,,,,
,,that may be in commercial direct expense or corp. allocated expenses,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,E) Tax,,,Douglas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total ,ENA,Target ,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,5.4,4.2,0.4,0.09523809523809523,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,* total and net ENA plus saving target reported on P/L,,,,,,,,,,,,,,,,,,
,,* non ENA charges allocated to other wholesale groups,,,,,,,,,,,,,,,,,,
,,* ENA charges not allocated to the ENA business units except outside tax costs (see below),,,,,,,,,,,,,,,,,,
,,* margin on specific deals that require significant tax resources (primarily external costs) will be charged to the deal,,,,,,,,,,,,,,,,,,
,,subject to ENA OOC approval,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,F) Transaction Support,,,Colwell,,,,,,,,,,,,,,,,
