,,,           Sitara,,           TAGG,,,,,,,,
Sitara Deal IDs,TAGG ID,Month,Buy,Sell,Buy,Sell,Counterparty,location,price,Global K#,Type of K attached to deal,Requested from File Room,
,,,,,,,,,,,,,
340357,N42574.1,Nov,,10000,,10000,Aquila energy Marketing,,,96000574,Master Purchase Sale Firm,yes,
340362,,,,1,,,Midland Cogen,,,96001017,Single Transaction Sales Firm,yes,
340362,E22563.6,Nov,,8500,,6800,Midland Cogen,,,96001017,Single Transaction Sales Firm,yes,This contract has swing rights 6800-8500
340362,E22563.6,Dec,,8500,,5100,Midland Cogen,,,96001017,Single Transaction Sales Firm,yes,This contract has swing rights 6800-8500
340362,E22563.6,Jan,,8500,,5100,Midland Cogen,,,96001017,Single Transaction Sales Firm,yes,This contract has swing rights 6800-8500
340362,E22563.6,Feb,,8500,,5100,Midland Cogen,,,96001017,Single Transaction Sales Firm,yes,This contract has swing rights 6800-8500
340362,E22563.6,Mar,,8500,,6800,Midland Cogen,,,96001017,Single Transaction Sales Firm,yes,This contract has swing rights 6800-8500
356854,,,,0,,,Midland Cogen,,,96001017,Single Transaction Sales Firm,yes,This contract has swing rights 0-1700
340393,N54763.1,Nov-Mar,10000,,10000,,Reliant Energy Services,,,96001135,Master Purchase Sale Firm,yes,
340305,EA5467.2,,,4000,,4000,Midland Cogen,,,96001636,Single Transaction Sales Firm,yes,
340305,EA5467.3,Nov-Mar,,3000,,3000,Midland Cogen,,,96001636,Single Transaction Sales Firm,yes,
340305,EA5467.4,Nov-Mar,,3000,,3000,Midland Cogen,,,96001636,Single Transaction Sales Firm,yes,
340358,E22564.B,Nov-Mar,5000,,5000,,Oxy USA,,,96003352,Single Transaction Purchase Firm,yes,
75423,EV8671.1,Nov-Mar,,11000,,11000,Michigan Consolidated Gas,,,96018913,Master Sale Firm,yes,
340308,E38384.E,Nov-Mar,4000,,4000,,Duke Energy Fuels,,,96022779,GTC (no paper),no,
340308,E38384.D,Nov-Mar,3000,,3000,,Duke Energy Fuels,,,96022779,GTC (no paper),no,
340308,E38384.C,Nov-Mar,3000,,3000,,Duke energy fuels,,,96022779,GTC (no paper),no,
340398,N50534.3,Nov-Mar,10000,,10000,,Aquila Energy Marketing,ANR SE,I+.0075,96028824,GISB (should not have been used),yes,
340378,,,60,,,,Shoreline Gas,ANR SE,I flat,96029021,GISB (should not have been used),yes,
338129,,,426,,0,,Petsec,ANR SE,GDA,96029136,GISB (should not have been used),yes,
340350,ND4246.1,Nov-Mar,334,,782,,Petsec,ANR SE,I+.005,96029136,GISB (should not have been used),yes,
340388,N50616.3,Nov-Mar,40,,100,,J.P. Oil,TRKL WLA,I flat,96029445,Single Transaction Purchase Firm & Spot,yes,
340390,N58801.3,Nov-Mar,,2319,,2319,Tennessee Energy Acquisition,ANR SE,I +.0075,96030028,GISB (should not have been used),yes,
340338,N75151.1,Nov-Mar,9007,,15000,,Devon,HIOS,GDA,96030227,Master Purchase Firm & Interruptible,yes,
340400,N75151.1,Nov-Mar,7193,,,,Devon,HIOS,I+.01,96030227,Master Purchase Firm & Interruptible,yes,
340337,,Nov-Mar,0,,,,Devon,ANR SE,GDA,96030457,GTC (no paper),no,
340337,,Nov-Mar,0,,,,Devon Energy,ANR SE,GDA,96030457,GTC (no paper),no,
284650,NK7257.1,Nov-Mar,,5000,,5000,Utilicorp,,,96033084,Master Purchase Sale FIrm,yes,
340324,N50534.T,Nov-Mar,5000,,5000,,Amoco Energy Trading,ANR SE,I +.01,96035533,GTC (no paper),no,
340382,N75148.1,Nov-Mar,2357,,14000,,Devon,ANR SE,I+.01,96038381,GTC (no paper),no,
340382,N75148.1,Nov-Mar,10054,,,,Devon Energy,ANR SE,I+.01,96038381,GTC (no paper),no,
340320,N50534.R,Nov-Mar,5000,,5000,,CMS Marketing,ANR SE,I+.01,96039370,GTC (no paper),no,
340322,N50534.S,Nov-Mar,5000,,5000,,CMS Marketing,ANR SE,I+.01,96039371,GTC (no paper),no,
312107,NO4613.1,Nov-Mar,4000,,4000,,Riceland Petroleum,ANR SE,I+.01,96043012,GTC (no paper),no,
312114,NO4632.1,Nov-Mar,3240,,2200,,Ralaco Ventures,ANR SE,I+.01,96043013,GTC (no paper),no,
323534,NP7792.1,Nov-Mar,,20000,,20000,Consumers,TRKL ELA,3.95,96043432,GTC (no paper),no,
353756,,,,0-19000,,,Onondaga,ANR SE,GDA,96044860,GTC (no paper),no,
340339,N50534.Z,Nov-Mar,5000,,5000,,Torch Energy Marketing,ANR SE,I+.01,96044884,GTC (no paper),no,
363459,NU8862.1,Nov-Mar,,40000,,40000,EnergyUSA,TRKL ELA,I+.01,96045393,GTC (no paper),no,
362094,NU4909.1,Jan,,250000/M,,250000/M,Enron Midwest,TRKL ELA,4.335,96037261,,,
362094,NU4909.1,Feb,,250000/M,,250000/M,Enron Midwest,TRKL ELA,4.335,96037261,,,
391255,NX9542.1,Nov-Mar,10000,,10000,,Torch Energy marketing,ANR SE,I+.0125,96049419,GTC (no paper),no,
391609,NX9549.1,Nov-Mar,20000,,20000,,Dynegy,TRKL ELA,I+.0125,96001003,GTC (no paper),no,
363453,NU8854.1,Nov-Mar,,30000,,30000,EnergyUSA,ANR SE,I+.01,96045391,GTC (no paper),no,
,,,,,,,,,,,,,
,,TOTAL,121711,170820,121082,157219,,,,,,,
