CP NAME,TRADE CNT
"AEP Energy Services, Inc.",45073
"Reliant Energy Services, Inc.",44482
Aquila Energy Marketing Corporation,41471
"Duke Energy Trading and Marketing, L.L.C.",38011
"Mirant Americas Energy Marketing, L.P.",36882
Dynegy Marketing and Trade,35488
Sempra Energy Trading Corp.,32810
"El Paso Merchant Energy, L.P.",27942
Cook Inlet Energy Supply L.L.C.,26373
Williams Energy Marketing & Trading Company,23100
Aquila Risk Management Corporation,20569
"Entergy-Koch Trading, LP",19996
Texaco Natural Gas Inc.,15046
BP Energy Company,14958
"Calpine Energy Services, L.P.",13583
Coral Energy Holding L.P.,13432
MidAmerican Energy Company,12604
American Electric Power Service Corporation,11481
BP Corporation North America Inc.,11325
"TransCanada Energy Marketing USA, Inc.",11287
PG&E Energy Trading-Gas Corporation,11150
Tenaska Marketing Ventures,11033
"Cinergy Marketing & Trading, LLC",10288
"Constellation Power Source, Inc.",10279
"Coral Energy Resources, L.P.",10164
"Dynegy Power Marketing, Inc.",10015
"e prime, inc.",9877
"Enserco Energy, Inc.",9721
"CMS Marketing, Services and Trading Company",9474
"ONEOK Energy Marketing and Trading Company, L.P.",9183
"Conectiv Energy Supply, Inc.",9140
EnergyUSA-TPC Corp.,8600
Nexen Marketing,8508
Engage Energy Canada L.P.,7818
PanCanadian Energy Services Inc.,7706
TXU Energy Trading Company,7699
"Tractebel Energy Marketing, Inc.",7457
"Cargill Energy, a division of Cargill, Incorporate",7317
Utilicorp United Inc.,6889
Hess Energy Trading Company LLC,6864
J. Aron & Company,6672
"Aquila Dallas Marketing, L.P.",6577
"Virginia Power Energy Marketing, Inc.",6141
Dynegy Canada Inc.,6012
"OGE Energy Resources, Inc.",5984
"Koch Energy Trading, Inc.",5956
Coral Energy Canada Inc.,5909
Mieco Inc.,5843
"Allegheny Energy Supply Company, LLC",5745
"PG&E Energy Trading - Power, L.P.",5513
