Effective Dates,2001-01-01 00:00:00,2001-02-01 00:00:00,,Effective Dates,2002-01-01 00:00:00,2002-02-01 00:00:00,,Effective Dates,2003-01-01 00:00:00,2003-02-01 00:00:00,,Effective Dates,2004-01-01 00:00:00,2004-02-01 00:00:00,,Effective Dates,2005-01-01 00:00:00,2005-02-01 00:00:00,
9/1/2000 ,2.275,2.205,0.06999999999999984,9/1/2000 ,1.61,1.6,0.010000000000000009,9/1/2000 ,1.48,1.41,0.07000000000000006,9/1/2000 ,1.495,1.425,0.07000000000000006,9/1/2000 ,1.51,1.44,0.07000000000000006
9/5/2000 ,2.375,2.305,0.06999999999999984,9/5/2000 ,1.64,1.63,0.010000000000000009,9/5/2000 ,1.5,1.45,0.050000000000000044,9/5/2000 ,1.515,1.465,0.04999999999999982,9/5/2000 ,1.53,1.48,0.050000000000000044
9/6/2000 ,2.395,2.325,0.06999999999999984,9/6/2000 ,1.69,1.68,0.010000000000000009,9/6/2000 ,1.5,1.45,0.050000000000000044,9/6/2000 ,1.515,1.465,0.04999999999999982,9/6/2000 ,1.53,1.48,0.050000000000000044
9/7/2000 ,2.385,2.315,0.06999999999999984,9/7/2000 ,1.69,1.68,0.010000000000000009,9/7/2000 ,1.5,1.45,0.050000000000000044,9/7/2000 ,1.515,1.465,0.04999999999999982,9/7/2000 ,1.53,1.48,0.050000000000000044
9/8/2000 ,2.365,2.295,0.07000000000000028,9/8/2000 ,1.69,1.68,0.010000000000000009,9/8/2000 ,1.5,1.45,0.050000000000000044,9/8/2000 ,1.515,1.465,0.04999999999999982,9/8/2000 ,1.53,1.48,0.050000000000000044
9/11/2000 ,2.395,2.325,0.06999999999999984,9/11/2000 ,1.69,1.68,0.010000000000000009,9/11/2000 ,1.5,1.45,0.050000000000000044,9/11/2000 ,1.515,1.465,0.04999999999999982,9/11/2000 ,1.53,1.48,0.050000000000000044
9/12/2000 ,2.52,2.5,0.020000000000000018,9/12/2000 ,1.77,1.76,0.010000000000000009,9/12/2000 ,1.5,1.45,0.050000000000000044,9/12/2000 ,1.615,1.565,0.050000000000000044,9/12/2000 ,1.63,1.58,0.04999999999999982
9/13/2000 ,2.57,2.55,0.020000000000000018,9/13/2000 ,1.87,1.86,0.010000000000000009,9/13/2000 ,1.5,1.45,0.050000000000000044,9/13/2000 ,1.615,1.565,0.050000000000000044,9/13/2000 ,1.63,1.58,0.04999999999999982
9/14/2000 ,2.59,2.58,0.009999999999999787,9/14/2000 ,1.87,1.86,0.010000000000000009,9/14/2000 ,1.5,1.45,0.050000000000000044,9/14/2000 ,1.615,1.565,0.050000000000000044,9/14/2000 ,1.63,1.58,0.04999999999999982
9/15/2000 ,2.59,2.58,0.009999999999999787,9/15/2000 ,1.87,1.86,0.010000000000000009,9/15/2000 ,1.5,1.45,0.050000000000000044,9/15/2000 ,1.615,1.565,0.050000000000000044,9/15/2000 ,1.63,1.58,0.04999999999999982
9/18/2000 ,2.61,2.6,0.009999999999999787,9/18/2000 ,1.87,1.86,0.010000000000000009,9/18/2000 ,1.5,1.45,0.050000000000000044,9/18/2000 ,1.615,1.565,0.050000000000000044,9/18/2000 ,1.63,1.58,0.04999999999999982
9/19/2000 ,2.61,2.6,0.009999999999999787,9/19/2000 ,1.87,1.86,0.010000000000000009,9/19/2000 ,1.5,1.45,0.050000000000000044,9/19/2000 ,1.615,1.565,0.050000000000000044,9/19/2000 ,1.63,1.58,0.04999999999999982
9/20/2000 ,2.56,2.55,0.010000000000000231,9/20/2000 ,1.87,1.86,0.010000000000000009,9/20/2000 ,1.5,1.45,0.050000000000000044,9/20/2000 ,1.615,1.565,0.050000000000000044,9/20/2000 ,1.63,1.58,0.04999999999999982
9/21/2000 ,2.54,2.53,0.010000000000000231,9/21/2000 ,1.87,1.86,0.010000000000000009,9/21/2000 ,1.5,1.45,0.050000000000000044,9/21/2000 ,1.615,1.565,0.050000000000000044,9/21/2000 ,1.63,1.58,0.04999999999999982
9/22/2000 ,2.49,2.48,0.010000000000000231,9/22/2000 ,1.87,1.86,0.010000000000000009,9/22/2000 ,1.5,1.45,0.050000000000000044,9/22/2000 ,1.615,1.565,0.050000000000000044,9/22/2000 ,1.63,1.58,0.04999999999999982
9/25/2000 ,2.46,2.45,0.009999999999999787,9/25/2000 ,1.87,1.86,0.010000000000000009,9/25/2000 ,1.5,1.45,0.050000000000000044,9/25/2000 ,1.615,1.565,0.050000000000000044,9/25/2000 ,1.63,1.58,0.04999999999999982
9/26/2000 ,2.46,2.45,0.009999999999999787,9/26/2000 ,1.87,1.86,0.010000000000000009,9/26/2000 ,1.5,1.45,0.050000000000000044,9/26/2000 ,1.615,1.565,0.050000000000000044,9/26/2000 ,1.63,1.58,0.04999999999999982
9/27/2000 ,2.4,2.39,0.009999999999999787,9/27/2000 ,1.87,1.86,0.010000000000000009,9/27/2000 ,1.5,1.45,0.050000000000000044,9/27/2000 ,1.615,1.565,0.050000000000000044,9/27/2000 ,1.63,1.58,0.04999999999999982
9/28/2000 ,2.3,2.28,0.020000000000000018,9/28/2000 ,1.72,1.72,0.0,9/28/2000 ,1.5,1.45,0.050000000000000044,9/28/2000 ,1.615,1.565,0.050000000000000044,9/28/2000 ,1.63,1.58,0.04999999999999982
