,,
Phys Query,Tagg Query,Both
,,
QP7039.1,QP7039.1,QP7039.1
V64794.1,V64794.1,V64794.1
V67831.1,V67831.1,V67831.1
V70968.1,V70968.1,V70968.1
V92532.1,V92532.1,V92532.1
V98653.1,V98653.1,V98653.1
VB4050.1,VB4050.1,VB4050.1
VC5783.3,VC5783.3,VC5783.3
VD3558.1,VD3558.1,VD3558.1
VF2542.1,VF2542.1,VF2542.1
VG5955.1,VG5955.1,VG5955.1
VG9103.1,,VG9103.1
VH0021.1,VH0021.1,VH0021.1
VQ9540.1,VQ9540.1,VQ9540.1
VT2543.1,VT2543.1,VT2543.1
VT5299.1,,VT5299.1
Y46805.1,Y46805.1,Y46805.1
,Y52420.1,Y52420.1
Y52471.1,Y52471.1,Y52471.1
Y52491.1,,Y52491.1
Y81297.1,Y81297.1,Y81297.1
Y92833.1,Y92833.1,Y92833.1
YA7382.1,YA7382.1,YA7382.1
,YA7382.2,YA7382.2
YA7593.1,YA7593.1,YA7593.1
,YA7593.2,YA7593.2
YA8854.1,YA8854.2,YA8854.2
YC1650.1,YC1650.1,YC1650.1
YE3026.1,,YE3026.1
,YF5957.1,YF5957.1
,YF5957.2,YF5957.2
YF6426.1,,YF6426.1
