,,,,,,,,,,,
,,,, ,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Firm,Volume,Firm,Volume,Sunday & NERC,Volume,,,
,DATE,,On Peak,MWHS,Off Peak,MWHS,24 HOUR,MWHS,,,
,,,,,,,,,,,
,2001-02-21 00:00:00,,268.77,33504,198.68,16040,,,,,
,2001-02-20 00:00:00,,286.26,8880,216.91,3224,,,,,
,2001-02-19 00:00:00,,288.65,24912,233.15,15840,,,,,
,2001-02-18 00:00:00,,,,,,283.43,35232,,,
,2001-02-17 00:00:00,,326.1,15872,283.43,12024,,,,,
,2001-02-16 00:00:00,,437.9,29440,370.12,17208,,,,,
,2001-02-15 00:00:00,,437.9,29440,370.34,18008,,,,,
,2001-02-14 00:00:00,,319.81,40656,284.13,14112,,,,,
,2001-02-13 00:00:00,,284.75,33888,247.23,14448,,,,,
,2001-02-12 00:00:00,,252.44,33552,233.02,14640,,,,,
,2001-02-11 00:00:00,,,,,,233.02,43920,,,
,2001-02-10 00:00:00,,230.87,33120,229.16,17424,,,,,
,2001-02-09 00:00:00,,230.87,33120,229.16,17424,,,,,
,2001-02-08 00:00:00,,274.83,37456,223.07,17808,,,,,
,2001-02-07 00:00:00,,251,44352,218.57,14240,,,,,
,2001-02-06 00:00:00,,201.06,29952,192.99,12024,,,,,
,2001-02-05 00:00:00,,180.21,10352,164.84,1008,,,,,
,2001-02-04 00:00:00,,,,,,166.31,4200,,,
,2001-02-03 00:00:00,,211.99,15456,193.3,7832,,,,,
,2001-02-02 00:00:00,,215.28,26256,190.89,11032,,,,,
,2001-02-01 00:00:00,,280.34,28432,276.27,13400,,,,,
,2001-01-31 00:00:00,,333.27,24800,306.35,12400,,,,,
,2001-01-30 00:00:00,,314.59,22400,287.77,12784,,,,,
,2001-01-29 00:00:00,,286.67,15600,277.58,9504,,,,,
,2001-01-28 00:00:00,,,,,,278.94,33912,,,
,2001-01-27 00:00:00,,263.44,19760,211.66,6880,,,,,
,2001-01-26 00:00:00,,263.44,19760,211.66,6880,,,,,
,2001-01-25 00:00:00,,264,18800,197.99,8440,,,,,
,2001-01-24 00:00:00,,272.42,7920,181.28,4440,,,,,
,2001-01-23 00:00:00,,281.71,13600,186.9,3680,,,,,
,2001-01-22 00:00:00,,320.08,14960,201.71,5240,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
, ,,,,,,,,,,
, , , , , , , , , , , 
