Aged Payables Schedule - Legal,Aged Payables Schedule - Legal,Aged Payables Schedule - Legal,Aged Payables Schedule - Legal,Aged Payables Schedule - Legal,Aged Payables Schedule - Legal,Aged Payables Schedule - Legal
,,Days Past Due,Days Past Due,Days Past Due,Days Past Due,
Ecogas Corporation,,,,,,
,,,,,,
Vendor Name,Current,1 To 30,31 To 60,61 To 90,Over 90,Balance
,,,,,,
Andrews & Kurth LLP,0,0,0,0,2227.5,2227.5
Bracewell & Patterson,59174.54,150287.73,0,192550.85,78663.81,480676.93
Conley Rose & Tayon,0,1686.58,0,772.08,2002.28,4460.94
Davis Wright Tremaine LLP,0,0,0,0,1482.5,1482.5
Fulbright & Jaworski LLP,0,31073.37,15555.97,16540.03,0,63169.369999999995
Locke Liddell & Sapp LLP,40600.64,4556.35,87819.74,26522.98,185712.14,345211.85
"McElroy, Sullivan, Ryan & Miller",0,0,0,0,1408.1,1408.1
Micheal Best & Friedrich LLP,0,0,0,1290,0,1290
"Scott, Douglass & McConnico",0,0,7115.22,0,0,7115.22
Thelen Reid & Priest LLP,0,0,97.09,7581.54,0,7678.63
Vinson & Elkins,0,36534.32,0,0,0,36534.32
Ecogas Corp. Total,99775.18,224138.35,110588.02,245257.48,271496.32999999996,951255.3599999999
