Invoice #,Prod Month,Buyer,Seller,Start Date,End Date,P/L Pt Cd,Point Name,EOL #,SITARA #,PG&E #,P/L,,MMBTU,Price,Enron Sales,,PG&E Vol,PG&E Pr,PG&E Purch,,Vol Diff,Pr Diff,$  Diff,,Comments
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/25/01 00:00:00,1/25/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,3969,6.69,26552.61,,3969,6.69,26552.61,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/25/01 00:00:00,1/25/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,10000,6.7,67000,,10000,6.7,67000,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/27/01 00:00:00,1/29/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17393,ANR,,45887,6.9,316620.3,,45887,6.9,316620.3,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/24/01 00:00:00,1/24/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,11000,6.92,76120,,11000,6.92,76120,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/26/01 00:00:00,1/26/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,11000,7.15,78650,,11000,7.15,78650,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/19/01 00:00:00,1/19/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,3999,7.165,28652.835,,3999,7.165,28652.835,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/26/01 00:00:00,1/26/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,3000,7.165,21495,,3000,7.165,21495,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/20/01 00:00:00,1/22/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,5814,7.5,43605,,5814,7.5,43605,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/23/01 00:00:00,1/23/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,2500,7.52,18800,,2500,7.52,18800,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/23/01 00:00:00,1/23/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,5000,7.56,37800,,5000,7.56,37800,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/18/01 00:00:00,1/18/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,2912,7.655,22291.36,,2912,7.655,22291.36,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/18/01 00:00:00,1/18/01 00:00:00,103702,SW TRANSMISSION POOL,,571466,E17291,ANR,,10000,7.715,77150,,10000,7.71,77100,,0,0.004999999999999893,50,,Price diff - Immat
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,103702,SW TRANSMISSION POOL,OA727375,551646,E17291,ANR,,5000,8.775,43875,,5000,8.775,43875,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,103702,SW TRANSMISSION POOL,OA727399,551669,E17291,ANR,,5000,8.8,44000,,5000,8.8,44000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,277072,APLP/ANR ALLIANCE,OA727993,552068,E17291,ANR,,1187,8.87,10528.689999999999,,177,8.87,1569.9899999999998,,1010,0,8958.699999999999,,Actualized - Mel will send p/l
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,103702,SW TRANSMISSION POOL,OA728691,552538,E17291,ANR,,5000,8.985,44925,,5000,8.985,44925,,0,0,0,,support.    DN 2/22/01
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,103702,SW TRANSMISSION POOL,OA729280,552969,E17291,ANR,,5000,9.09,45450,,5000,9.09,45450,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,103702,SW TRANSMISSION POOL,OA734021,555296,E17291,ANR,,2785,9.165,25524.524999999998,,2785,9.165,25524.524999999998,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,103702,SW TRANSMISSION POOL,OA734112,555369,E17291,ANR,,5000,9.175,45875,,5000,9.175,45875,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,277072,APLP/ANR ALLIANCE,,556938,E17291,ANR,,6187,9.3,57539.100000000006,,6187,9.3,57539.100000000006,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/31/01 00:00:00,103702,SW TRANSMISSION POOL,OA723394,549434,E17393,ANR,,155000,9.9,1534500,,155000,9.9,1534500,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,103702,SW TRANSMISSION POOL,OA724294,549630,E17291,ANR,,4000,10.15,40600,,4000,10.15,40600,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,103702,SW TRANSMISSION POOL,OA724297,549633,E17291,ANR,,10000,10.225,102250,,10000,10.225,102250,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,103702,SW TRANSMISSION POOL,OA724315,549642,E17291,ANR,,10000,10.3,103000,,10000,10.3,103000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,103702,SW TRANSMISSION POOL,OA724326,549647,E17291,ANR,,3360,10.375,34860,,3342,10.375,34673.25,,18,0,186.75,,Actualized - Mel will send p/l
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,37051120,SE TRANSMISSION POOL,OA725150,550256,E17289,ANR,,15917,10.4,165536.80000000002,,15917,10.4,165536.80000000002,,0,0,0,,support.    DN 2/22/01
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,277072,APLP/ANR ALLIANCE,,550635,E17291,ANR,,3374,10.5,35427,,3374,10.5,35427,,0,0,0,,
,,,,,,,,,,,ANR Total,,351891,,3148628.2199999997,,350863,,3139432.7699999996,,1028,,9195.449999999999,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/31/01 00:00:00,1/31/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,593058,E17291,CEC,,5483,6.13,33610.79,,5483,6.13,33610.79,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/31/01 00:00:00,1/31/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,592864,E17291,CEC,,20000,6.16,123200,,20000,6.16,123200,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/30/01 00:00:00,1/30/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,590246,E17291,CEC,,10000,6.84,68400,,10000,6.84,68400,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/30/01 00:00:00,1/30/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,590581,E17291,CEC,,17483,6.86,119933.38,,17483,6.86,119933.38,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/25/01 00:00:00,1/25/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,582387,E17291,CEC,,15000,7.04,105600,,15000,7.04,105600,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/25/01 00:00:00,1/25/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,582586,E17291,CEC,,10483,7.1,74429.3,,10483,7.1,74429.3,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/25/01 00:00:00,1/25/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,582926,E17291,CEC,,5000,7.1075,35537.5,,5000,7.1075,35537.5,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/24/01 00:00:00,1/24/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,580441,E17291,CEC,,4574,7.2,32932.8,,4574,7.2,32932.8,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/27/01 00:00:00,1/29/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,587081,E17291,CEC,,15000,7.24,108600,,15000,7.24,108600,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/27/01 00:00:00,1/29/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,587081,E17291,CEC,,59022,7.26,428499.72,,59022,7.26,428499.72,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/24/01 00:00:00,1/24/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,579902,E17291,CEC,,5000,7.27,36350,,5000,7.27,36350,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/24/01 00:00:00,1/24/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,579902,E17291,CEC,,10000,7.29,72900,,10000,7.29,72900,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/19/01 00:00:00,1/19/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,573985,E17291,CEC,,5909,7.39,43667.509999999995,,5909,7.39,43667.509999999995,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/19/01 00:00:00,1/19/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,573705,E17291,CEC,,19574,7.425,145336.94999999998,,19574,7.425,145336.94999999998,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/26/01 00:00:00,1/26/01 00:00:00,?,?,,584754,E17291,CEC,,11755,7.53,88515.15000000001,,11755,7.53,88515.15000000001,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/26/01 00:00:00,1/26/01 00:00:00,?,?,,584754,E17291,CEC,,10000,7.55,75500,,10000,7.55,75500,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/20/01 00:00:00,1/22/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,576141,E17291,CEC,,64722,7.79,504184.38,,64722,7.79,504184.38,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/23/01 00:00:00,1/23/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,577390,E17291,CEC,,26489,7.98,211382.22,,26489,7.98,211382.22,,0,0,0,,
