Enron Direct Deal Sheet,,,,,,,,,,,,,January,9.0,September
,,,,,,,,,,,,,February,,
Counterparty Name:,Calgary Soccer Centre,,,,Deal Date:,2001-07-17 00:00:00,,,,,,,March,,
Originator:,Greg Frers,,,,Deal ID #:,,,,,,,,April,,
,,,,,,,,,,,,,May,,
Deal Start Date:,2001-09-01 00:00:00,,,,Unit of Measure:,GJ,,,,,,,June,,
Deal End Date:,,,,,Volume (Monthly/Daily):,Monthly,,,,,,,July,,
Term Duration (months):,-1221,,,,,,,,,,,,August,,
,,,,,Price:,,,,,,,,September,,
Fuel Rate %:,0.01561,,,,Buy/Sell:,,,,,,,,October,,
,,,,,,,,,,,,,November,,
,,,,,,,,,,,,,December,,
,Month,Rate 11 Volume,Rate 13 Volume,Combined Volume,Fuel,Total,,,,,,,,,
,,,,,,,,,,,,,,,
,January,640,1788,2428,37.9,2466,,,,,,,,,
,February,533,774,1307,20.4,1327,,,,,,,,,
,March,568,1439,2007,31.33,2038,,,,,,,,,
,April,402,845,1247,19.47,1266,,,,,,,,,
,May,306,590,896,13.99,910,,,,,,,,,
,June,169,375,544,8.49,552,,,,,,,,,
,July,130,299,429,6.7,436,,,,,,,,,
,August,141,212,353,5.51,359,,,,,,,,,
Start Month,September,345,616,961,15,976,,,,,,,,,
,October,466,1189,1655,25.83,1681,,,,,,,,,
,November,571,1773,2344,36.59,2381,,,,,,,,,
,December,646,1824,2470,38.56,2509,,,,,,,,,
,,,,,,,,,,,,,,,
,TOTAL:,4917,11724,16641,259.77,16901,,,,,,,,,
