,,,,,,,POWER VOLUME,2202400,31,TRANSACTIONS,,,,,,
,,,,,,,,,,,,,,,,
"'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }","'); } else { document.write(''); } } else { if (navigator.platform == ""Win32"") { document.write(''); } else { document.write(''); } }"
Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards,Commodity Type:   Power Swaps/Forwards
 Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All, Hub:  All
 Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01, Trade Dates:  Mar-5-01 thru Mar-5-01
,     Description,Strip,Low Price,High Price,Weighted,Last Price,Last Price Date,Volume,      ,,,,,,,
,     Description,Strip,Low Price,High Price,Average Price,Last Price,Last Price Date,Volume,      ,,,,,,,
,Firm-LD Peak,Firm-LD Peak,Firm-LD Peak,Firm-LD Peak,Firm-LD Peak,Firm-LD Peak,Firm-LD Peak,Firm-LD Peak,Firm-LD Peak,,,,,,,
,    Firm-LD Peak - COB - Apr01,Apr01,310,310,310,310,Mar-05-01 15:26 GMT,10000,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Next Day,Next Day,48.25,54.5,50.966,54.5,Mar-05-01 15:08 GMT,17600,MWhs,,,,,,,
