,,,,,,,,,,,,,,,,
,,,September 11th P&L Calc,,,,,,,,,,,,,
,,,,,,Ercot,,,,,,,,,,
,,,Ercot Imb.Sale,,Ercot MCP,revenue,TXU RT sale,TXU Price,TXU RT sale 2 ,TXU Price,Constell. Sale,Price,Stec,Price,Stec,Price
,HE 7,,210,,-243.81,-51200.1,,,,,,,,,,
,HE 8,,210,,7.28,1528.8,,,,,,,,,,
,HE 9 ,,210,,7.25,1522.5,,,,,,,,,,
,HE 10,,110,,10.35,1138.5,100,20,,,,,,,,
,HE 11,,60,,9.75,585,100,20,,,50,19,,,,
,HE 12,,45,,13.45,605.25,100,20,,,50,19,15,17,,
,HE 13,,45,,13.72,617.4,100,20,,,50,19,15,17,,
,HE 14,,5,,19.2,96,100,20,30,20,50,19,,,30,19
,HE 15,,5,,13.52,67.6,100,20,30,20,50,19,,,30,19
,HE 16,,5,,21.37,106.85000000000001,100,20,30,20,50,19,,,30,19
,HE 17,,5,,18.51,92.55000000000001,100,20,30,20,50,19,,,30,19
,HE 18,,5,,14.13,70.65,100,20,30,20,50,19,,,30,19
,HE 19,,5,,13.5,67.5,100,20,30,20,50,19,,,30,19
,HE 20,,5,,17.93,89.65,100,20,30,20,50,19,,,30,19
,HE 21,,5,,14.8,74,100,20,30,20,50,19,,,30,19
,HE 22,,5,,14.3,71.5,100,20,30,20,50,19,,,30,19
,,,,,-2.171875000000001,,1300,,270,,600,,30,,270,
,,,,,,,,,,,,,,,,
,,,,,,-44466.34999999999,,26000,,5400,,11400,,510,,5130
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Desk Loss Calc,,,,
,,,,,,,,,,,,Net Revenue for trading activities,,3973.6500000000087,,
,,,,,,,,,,,,Assumed Power expense,,72240,,
,Hours ending 14-22 originally booked to ST Ercot.   Changed to Ercot Mgmt (need to w/hold $736.20 from annuity),,,,,,,,,,,,,-68266.34999999999,,
,Dailies remained marked at $21.50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Annuity #774083 dated 9/12,   grants ST  Ercot $67530.15 from Ercot Mgmt book",,,,,,,,,,,Revenue if full Imbalance,,-7297.500000000003,,
,,,,,,,,,,,,Assumed Power expense,,72240,,
,,,,,,,,,,,,,,-79537.5,,
