,,,,,,,,,,,,,,,,,,,,,,
,,CURVES,CURVES,,,,,,,,,,,,,,,,,,,
,,Effective Date :,2001-10-29 00:00:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Curve Code,IF-HEHUB,NGI-PGE/CG,NGI-MALIN,NGI-SOCAL,IF-NWPL_ROCKY_M,NW-STANFIELD,IF-ELPO/SJ,IF-WAHA-TX,IF-NWPL/CNBR-US,CGPR-AECO/USIM,IF-CIG/RKYMTN,IF-NGPL/MIDCON,NGI-PGE/TOPOCK,IF-ELPO/PERMIAN,GDP-TRANSCO/Z2,GDP-TRANSCO/Z3,GDP-TRANSCO/Z4,GDP-CHI. GATE,GDP-HEHUB,GDP-DAWN
,,Curve Type,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,SP,SP,SP,SP,SP,SP
,,Book Code ,M,M,M,M,M,M,M,M,M,M,M,M,M,M,D,D,D,D,D,D
,,2001-10-01 00:00:00,1.835,1.91,1.585,1.875,1.4,1.465,1.53,1.6,1.375,1.6715274,1.32,1.65,1.71,1.625,2.98,3.1,3.115,3.13,3.055,3.23
,,2001-10-02 00:00:00,1.77,1.885,1.555,1.87,1.345,1.39,1.49,1.59,1.33,1.2424,1.35,1.595,1.695,1.565,2.98,3.1,3.115,3.13,3.055,3.23
,,2001-10-03 00:00:00,1.82,1.96,1.59,1.87,1.355,1.45,1.475,1.645,1.405,1.4385,1.32,1.65,1.805,1.595,2.98,3.1,3.115,3.13,3.055,3.23
,,2001-10-04 00:00:00,1.975,2.04,1.79,1.955,1.54,1.675,1.69,1.81,1.62,1.5515,1.57,1.855,1.93,1.8,,,,3.31,3.145,3.395
,,2001-10-05 00:00:00,2.13,2.13,1.955,2.125,1.715,1.855,1.85,1.98,1.775,1.816,1.695,2.005,2.03,1.965,,,,3.13,3.055,3.23
,,2001-10-06 00:00:00,2.115,1.915,1.795,2.02,1.645,1.72,1.695,1.855,1.62,1.628,1.61,1.94,1.785,1.82,,,,3.13,3.055,3.23
,,2001-10-07 00:00:00,2.115,1.915,1.795,2.02,1.645,1.72,1.695,1.855,1.62,1.628,1.61,1.94,1.785,1.82,,,,3.13,3.055,3.23
,,2001-10-08 00:00:00,2.115,1.915,1.795,2.02,1.645,1.72,1.695,1.855,1.62,1.628,1.61,1.94,1.785,1.82,,,,2.04,2.04,2.19
,,2001-10-09 00:00:00,2.035,1.905,1.775,1.915,1.555,1.7,1.585,1.76,1.615,1.63,1.525,1.79,1.815,1.72,,,,2.04,2.04,2.19
,,2001-10-10 00:00:00,2.115,1.89,1.66,1.86,1.48,1.7,1.62,1.805,1.6,1.6075,1.46,1.85,1.75,1.755,,,,2.04,2.04,2.19
,,2001-10-11 00:00:00,2.23,2.045,1.885,2.02,1.735,1.875,1.85,1.94,1.845,1.7713,1.73,2,1.925,1.91,,,,2.015,1.99,2.14
,,2001-10-12 00:00:00,2.405,2.34,2.205,2.31,2.075,2.155,2.15,2.22,2.115,1.9961,2.045,2.21,2.26,2.165,,,,1.97,1.945,2.16
,,2001-10-13 00:00:00,2.305,2.24,2.11,2.25,1.97,2.06,2.08,2.12,1.99,1.9363,1.94,2.15,2.12,2.08,,,,1.925,1.895,2.165
,,2001-10-14 00:00:00,2.305,2.24,2.11,2.25,1.97,2.06,2.08,2.12,1.99,1.9363,1.94,2.15,2.12,2.08,,,,1.925,1.895,2.175
,,2001-10-15 00:00:00,2.305,2.24,2.11,2.25,1.97,2.06,2.08,2.12,1.99,1.9363,1.94,2.15,2.12,2.08,,,,1.925,1.895,2.175
,,2001-10-16 00:00:00,2.26,2.235,2.005,2.24,1.785,1.965,1.975,2.055,1.885,1.9129,1.785,2.095,2.12,2.04,,,,1.925,1.895,2.175
,,2001-10-17 00:00:00,2.505,2.49,2.28,2.405,1.855,2.2,2.17,2.285,2.165,2.1531,1.84,2.32,2.375,2.255,,,,1.87,1.835,1.915
,,2001-10-18 00:00:00,2.65,2.675,2.49,2.6,2.225,2.43,2.355,2.48,2.375,2.2198,2.205,2.525,2.595,2.46,,,,1.765,1.77,1.855
,,2001-10-19 00:00:00,2.4,2.445,2.25,2.34,2.005,2.16,2.12,2.21,2.085,2.0199,1.995,2.255,2.35,2.195,,,,1.82,1.82,1.945
,,2001-10-20 00:00:00,2.335,2.08,1.985,2.17,1.825,2.095,1.92,2.1,2.06,2.1411,1.81,2.18,2.015,2.02,,,,2.05,1.975,2.145
,,2001-10-21 00:00:00,2.335,2.08,1.985,2.17,1.825,2.095,1.92,2.1,2.06,2.1411,1.81,2.18,2.015,2.02,,,,2.18,2.13,2.255
,,2001-10-22 00:00:00,2.335,2.08,1.985,2.17,1.825,2.095,1.92,2.1,2.06,2.1411,1.81,2.18,2.015,2.02,,,,2.165,2.115,2.185
,,2001-10-23 00:00:00,2.63,2.675,2.54,2.59,2.285,2.52,2.375,2.5,2.485,2.4503,2.285,2.52,2.515,2.445,,,,2.165,2.115,2.185
,,2001-10-24 00:00:00,2.83,2.98,2.845,2.895,2.575,2.81,2.665,2.735,2.78,2.5633,2.585,2.74,2.82,2.725,,,,2.165,2.115,2.185
,,2001-10-25 00:00:00,2.68,2.82,2.655,2.69,2.39,2.605,2.48,2.57,2.555,2.4652,2.405,2.6,2.625,2.545,,,,2.02,2.035,2.1
,,2001-10-26 00:00:00,3.145,3.215,2.94,3.07,2.83,2.97,2.87,3,2.92,2.8737,2.8,3.06,3.02,2.98,,,,2.09,2.115,2.2
,,2001-10-27 00:00:00,3.055,2.74,2.655,2.84,2.445,2.645,2.545,2.795,2.61,2.6153,2.38,2.885,2.625,2.72,,,,2.24,2.23,2.36
,,2001-10-28 00:00:00,3.055,2.74,2.655,2.84,2.445,2.645,2.545,2.795,2.61,2.6153,2.38,2.885,2.625,2.72,,,,2.405,2.405,2.495
