,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas Curves,,To Paste,,,,,,209,0.1,,,,0.41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,NG-PR-P,NGI-MALIN-PR-D,NGI-PGE/CG-PR-D,NGI-SOCAL-PR-D,IF-ELPO/SJ-PR-D,IF-CIG/RKYMTN-PR-D,,Date,"Malin +0,1 (Stanfield)",Malin,PG&E City Gate,SoCal,"SoCal + 0,41",San Juan,CIG/Rockies
,Enron West Power Structuring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-02-01 00:00:00,2.465,-0.155,0.06,-0.15,-0.37,-0.485,,2002-02-01 00:00:00,2.41,2.31,2.525,2.315,2.725,2.0949999999999998,1.98
,Weekly Price Sheet - Notional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03-01 00:00:00,2.4410000000000003,-0.175,0.03,-0.16,-0.39,-0.555,,2002-03-01 00:00:00,2.3660000000000005,2.2660000000000005,2.471,2.281,2.6910000000000003,2.051,1.8860000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-01 00:00:00,2.456,-0.155,0.05,-0.14,-0.37,-0.61,,2002-04-01 00:00:00,2.4010000000000002,2.301,2.506,2.316,2.726,2.086,1.846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-05-01 00:00:00,2.511,-0.155,0.05,-0.12,-0.37,-0.61,,2002-05-01 00:00:00,2.4560000000000004,2.3560000000000003,2.561,2.391,2.801,2.141,1.9010000000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-01 00:00:00,2.571,-0.155,0.05,-0.1,-0.37,-0.61,,2002-06-01 00:00:00,2.5160000000000005,2.4160000000000004,2.621,2.471,2.8810000000000002,2.201,1.9610000000000003
Report Date:,2002-01-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-07-01 00:00:00,2.621,-0.065,0.155,0.1,-0.36,-0.7,,2002-07-01 00:00:00,2.656,2.556,2.776,2.721,3.1310000000000002,2.261,1.921
Curve Date:,2002-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-08-01 00:00:00,2.6710000000000003,-0.065,0.155,0.11,-0.36,-0.7,,2002-08-01 00:00:00,2.7060000000000004,2.6060000000000003,2.826,2.781,3.1910000000000003,2.3110000000000004,1.9710000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,Last Week's Peak Power Prices,,,,,,,,,,This Week's Peak Power Prices,,,,,,,,,,,,2002-09-01 00:00:00,2.685,-0.065,0.155,0.1,-0.36,-0.7,,2002-09-01 00:00:00,2.72,2.62,2.84,2.785,3.1950000000000003,2.325,1.985
Power Prices - Peak Mid ($/MWh),,,,,,,,,,,,,,,,,,,,,,,,,Term,,,,,,,,,,Term,,,,,,,,,,,,2002-10-01 00:00:00,2.716,-0.045,0.115,0,-0.33,-0.63,,2002-10-01 00:00:00,2.7710000000000004,2.6710000000000003,2.8310000000000004,2.716,3.1260000000000003,2.386,2.0860000000000003
Delivery Pt,2002-02-01 00:00:00,Change,,Q3-2002,Change,,Q1-2003,Change,,Q3-2003,Change,,2003.0,Change,,2004-2008,Change,,2004-2013,Change,,2004-2018,Change,,Delivery Pt,2001-12-01 00:00:00,Q3-2002,Q1-2003,Q3-2003,2003.0,2004-2008,2004-2013,2004-2018,,Delivery Pt,2002-02-01 00:00:00,Q3-2002,Q1-2003,Q3-2003,2003.0,2004-2008,2004-2013,2004-2018,,,,2002-11-01 00:00:00,2.923,0.015,0.18,0.03,-0.235,-0.355,,2002-11-01 00:00:00,3.0380000000000003,2.938,3.103,2.953,3.363,2.688,2.568
