Florida Gas Transmission Company,,,,,,,,GD = Gas Daily,,,,,,,,,,,,,,,,,"October 19,2001"
Comparison of Various Prices with Monthly Imbalances,,,,,,,,NGW = Natural Gas Week,,,,,,,,,,,,,,,,,Positive Qty = due FGT
For the Period August 2000 through September 2001,,,,,,,,,,,,,,,,,,,,,,,,,Negative Qty = Customers
,,,,,,,,,,,,,,,,,,,,,,,,,Quantities are Net Qty after Trades(Bookouts)
,,,,,,,,,,,,,,,,,,,,,,,,,
,Weekly Weighted Averaged Prices,,,,,,,Spot Prices,,,,Bid Week Index Prices,,,,,,,Monthly Wtd Avg Prices,,,,Imbalance Quantities in Dths,,
Month/Week,Zone 1 GD  Weekly Wtd Avg Price,Zone 1 NGW Weekly Wtd Avg Price,Zone 2 GD Weekly Wtd Avg Price,Zone 2 NGW Weekly Wtd Avg Price,Zone 3 GD Weekly Wtd Avg Price,Zone 3 NGW Weekly Wtd Avg Price,,Zone 1 GD Spot  Price  Start/End of Month,Zone 2 GD  Spot  Price  Start/End of Month,Zone 3 GD  Spot  Price  Start/End of Month,,Zone 1 GD Bid Week Index,Zone 1 NGW Bid Week Index,Zone 2 GD Bid Week Index,Zone 2 NGW Bid Week Index,Zone 3 GD  Bid Week Index,Zone 3 NGW Bid Week Index,,Zone 1 NGW Monthly Wtd Avg ,Zone 2 NGW Monthly Wtd Avg ,Zone 3 NGW Monthly Wtd Avg ,,Monthly Majority Quantity/ Dollar Amt/ Price,Monthly Minority Quantity/ Dollar Amt/ Price,Monthly Net Imbalance Quantity/ Dollar Amt/ Price
,,,,,,,,,,,,,,,,,,,,,,,,,
August 2000,,,,,,,,3.73,3.76,3.73,,3.81,3.81,3.83,3.81,3.8,3.79,,,,,,,,
2000-08-07 00:00:00,3.9,3.89,3.91,3.9,3.92,3.87,,,,,,,,,,,,,,,,,,,
2000-08-14 00:00:00,4.32,4.41,4.35,4.44,4.33,4.42,,,,,,,,,,,,,,,,,,,
2000-08-21 00:00:00,4.34,4.28,4.37,4.32,4.36,4.3,,,,,,,,,,,,,,,,,,,
2000-08-28 00:00:00,4.54,4.58,4.55,4.59,4.55,4.59,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.72,4.76,4.73,,,,,,,,,4.22,4.21,4.15,,-396921,35275,-361646
,,,,,,,,,,,,,,,,,,,,,,,-1647222,148861,-1498361
,,,,,,,,,,,,,,,,,,,,,,,4.15,4.22,
,,,,,,,,,,,,,,,,,,,,,,,,,
September 2000,,,,,,,,4.65,4.7,4.65,,4.56,4.56,4.61,4.61,4.57,4.58,,,,,,,,
2000-09-05 00:00:00,4.56,4.6,4.6,4.63,4.59,4.6,,,,,,,,,,,,,,,,,,,
2000-09-11 00:00:00,4.72,4.79,4.76,4.82,4.73,4.8,,,,,,,,,,,,,,,,,,,
