,2001-02-01 00:00:00,2001-03-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00
,,,,,,
MW Need in CA,8800,9925,11375,12375,13900,15560
Avg Mkt Price ($/Mwh),150,157.5,165.375,173.64375,182.3259375,191.44223437500003
Funds from UDCs ($/Mwh),0,0,0,0,0,0
Shortfall ($/Mwh),-150,-157.5,-165.375,-173.64375,-182.3259375,-191.44223437500003
,,,,,,
Monthly Spending,-963600000,-1141126875,-1373232656.25,-1568654226.5625002,-1850061287.8125002,-2174554051.8187504
,,,,,,
Rolling Spending,-963600000,-2104726875,-3477959531.25,-5046613757.8125,-6896675045.625,-9071229097.44375
,,,,,,
,,,,,,
,,,,,,
The MW Need has been provided during Treasury Settlement discussions by SCE and PG&E.  ENE estimates that the MW need is larger.,,,,,,
,,,,,,
"PG&E, SCE, and SDG&E have estimated that the difference between retail revenues and wholesale costs from 1/16/01 - 3/31/01 is $3.2B.",,,,,,
