BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,BUYBACK/DEFICIENCY DEALS,,
2000-02-01 00:00:00,,,,,,,,,,,
,,,,,,,,,,,
Counterparty,Base Deal,,Swing Sale,,Buyback,,Term,,Meter,Comments,Comments
,,,,,,,,,,,
"Air Products, Inc.",120265,,122216,,132976,,2000-09-30 00:00:00,,1418,,
BASF Corp.,120266,,122310,,133000,,2001-10-31 00:00:00,,1437,,
Bayer Corp.,155322,,Tiered,,155328,,2000-02-29 00:00:00,,8056/1550,,
BMC Limited Ptr.,93199,,,,??,,2000-06-30 00:00:00,,1428,,
Brandywine,123440,,,,,,2000-03-31 00:00:00,,1505,,
Brandywine,,,140197,,140200,,2000-09-30 00:00:00,,1505,,
Chevron Chemical Co.,116494,,119166,,138614,,2000-03-31 00:00:00,,1024,,
EGP Fuels,139066,,139068,,139070,,2000-12-31 00:00:00,,8216,,
Enron Methanol,139055,,139057,,139058,,2000-12-31 00:00:00,,8291,,
Equistar,Several,,156337,,156342,,2001-01-31 00:00:00,,"1062,1384,1373,1552,1553,8084",,
Formosa Hydrocarbons,92872,,92876,,92881,,2000-07-31 00:00:00,,1000,,
Formosa Hydrocarbons,92880,,,,,,2000-04-30 00:00:00,,1000,,
Global Octanes,92886,,92887,,137991,,2000-08-31 00:00:00,,1528,,
Lyondell-Citgo,153757,,,,,,2000-12-31 00:00:00,,1063,Fixed vol. Through meter,
Lyondell-Citgo,147092,,Tiered,,147729,,2000-12-31 00:00:00,,1063,first,
Marathon Ashland Petroleum,119068,,Tiered,,93371,,2000-09-30 00:00:00,,1431,,
Petrofina Gas Pipeline,131348,,Tiered,,131356,,2000-03-31 00:00:00,,1484,,
"Rohm & Haas Texas, Inc.",156826,,Tiered,,156867,,2000-02-29 00:00:00,,1506,,
Shell Oil Co.,130133,,,,,,2000-06-30 00:00:00,,1060/1061/1095/1581,,
Shell Oil Co.,,,93180,,138086,,2000-07-31 00:00:00,,1060/1061/1095/1581,,
Union Carbide,15765,,34825,,63576,,2001-12-31 00:00:00,,1308,,
Union Carbide,15765,,34832,,63573,,2001-12-31 00:00:00,,1332,,
Valero ,148384,,148386,,148388,,2000-09-30 00:00:00,,1233,,
Valero ,148390,,148391,,148396,,2000-09-30 00:00:00,,1394,,
Valero ,148376,,148382,,148381,,2000-09-30 00:00:00,,8018,,
