,,
EOL Daily Index,,
"Gas Day June 14, 2000",4.31,
Physical ,Daily Index,Daily Basis
,,
Southeast,,
,,
Henry Hub,4.31,0
Columbia Gulf Onshore ,4.29,-0.019999999999999574
FGT Zone 2 ,4.315,0.005000000000000782
Tenn 500 ,4.24,-0.0699999999999994
Tenn 800 ,4.25,-0.05999999999999961
Tenn Zone 0,4.16,-0.14999999999999947
TETCO ELA ,4.23,-0.07999999999999918
TETCO STX ,4.15,-0.15999999999999925
TETCO WLA ,4.19,-0.11999999999999922
TGT Zone SL ,4.3,-0.009999999999999787
TRANSCO St. 65 ,4.3275,0.01750000000000007
,,
Northeast,,
,,
TETCO M3 ,4.645,0.33499999999999996
CNG Transmission South Point Title Transfer Tracking ,4.49,0.1800000000000006
"Columbia, Appalach ",4.225,-0.08499999999999996
TRCO/Z6 Unr (NY) ,4.64,0.33000000000000007
,,
Midwest / Mid-continent,,
,,
ANR Louisiana Gathered ,4.235,-0.07499999999999929
ANR Louisiana Transmission ,4.235,-0.07499999999999929
ANR SW Pool ,4.145,-0.16500000000000004
CHIC-PEOPLES ,4.39,0.08000000000000007
Consumers Power Co ,4.38,0.07000000000000028
Michcon ,4.385,0.07500000000000018
NGPL- LA Pool ,4.245,-0.0649999999999995
NGPL Midcontinent ,4.145,-0.16500000000000004
NGPL NICOR ,4.3875,0.07750000000000057
NGPL NIPSCO Citygate ,4.395,0.08499999999999996
NGPL South Texas Pool ,4.22,-0.08999999999999986
NGPL TexOk GC Pool ,4.25,-0.05999999999999961
NNG-Demarc ,4.21,-0.09999999999999964
Trunkline ELA TAB 1,4.25,-0.05999999999999961
,,
West,,
,,
EPNG Keystone Pool ,4.24,-0.0699999999999994
EPNG SoCal Topock ,4.845,0.5350000000000001
PG&E Ctygte Pool ,4.95,0.6400000000000006
,,
Texas,,
,,
WAHA,4.23,-0.07999999999999918
HPL Zone 15 - Katy,4.265,-0.04499999999999993
HPL/HSC East Pool ,4.285,-0.024999999999999467
HPL/HSC Pool ,4.275,-0.034999999999999254
,,
Canada,,
,,
AECO,,
Dawn,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Opal ,3.715,-0.5949999999999998
PEPL - Pool ,4.145,-0.16500000000000004
PGT Malin ,4.18,-0.1299999999999999
,,
,,
,,
Trunkline WLA TAB 1 ,4.29,-0.019999999999999574
,,
HPL Zone 15 - Katy ,4.28,-0.02999999999999936
NBPL - Nicor (Minooka) ,4.2775,-0.03249999999999975
Oklahoma Natural Gas Transmission Co. ,4.13,-0.17999999999999972
