"Prepared for Monika Causholli, Enron",,,,,,,,,,,,,,,,,,,,,,
Prepared by Peter Barynin,,,,,,,,,,,,,,,,,,,,,,
2001-07-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bleached Hardwood Sulphate Pulp,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"April 2001, Short-term Forecast",1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Africa,474.0,472.0,516.0,532.0,515.0,524.0,560.0,577.0,602.0,629.0,659.0,671.0,,,,,,,,,,
Brazil,3729.0,3760.0,4098.0,4333.0,4739.0,5092.0,5295.0,5177.0,5590.0,6109.0,6738.0,7162.0,,,,,,,,,,
Canada,2658.0,2692.0,2623.0,2739.0,2735.0,2980.0,2991.0,2919.0,2966.0,3060.0,3178.0,3203.0,,,,,,,,,,
E. Europe,695.0,804.0,739.0,850.0,884.0,1083.0,1227.0,1304.0,1397.0,1484.0,1589.0,1801.0,,,,,,,,,,
Finland,2326.0,2174.0,2261.0,2594.0,2641.0,2786.0,2897.0,2909.0,3007.0,3168.0,3258.0,3324.0,,,,,,,,,,
Japan,5781.0,6166.0,6207.0,6534.0,6301.0,6563.0,6881.0,6782.0,6821.0,6925.0,7068.0,7150.0,,,,,,,,,,
Rest of Latin America,472.0,551.0,549.0,590.0,705.0,661.0,745.0,772.0,798.0,825.0,856.0,1035.0,,,,,,,,,,
Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Norway,155.0,147.0,139.0,153.0,159.0,149.0,134.0,151.0,159.0,165.0,180.0,176.0,,,,,,,,,,
Oceania,205.0,195.0,200.0,200.0,202.0,185.0,191.0,190.0,191.0,196.0,202.0,206.0,,,,,,,,,,
