,,ENRON NORTH AMERICA,,,,,,
,,GOVERNMENT AFFAIRS REPORT,,,,,,
,,Support Type,Deal Name,Responsible  Person,$ Impact (MM),Key Issues,Updated,Strategies/Comments
,,Deal Support,Silveroak (fuel cells), Montovano/ Allegretti,$10m +,approval of state funding.,2001-07-27 00:00:00,"Meetings w/ Governor and DPUC have yeilded support.  Preliminary agreeements in place w/ Resource Recovery Authority and manufacturer.  Filings pending before DPUC.  Live hearings complete, briefs being filed."
,,,CMP Standard Offer,Allegretti,$10m,puc approval,2001-08-31 00:00:00,Contract exeuted and approved by DPUC.  Discussions with PUC in process to expand and extend.
,,,MECC/CES,Allegretti,$21m,retail access rules,2001-08-31 00:00:00,Obtained 2 advisory rulings from PUC.  Facilitated introductions with MECC and promoted customer relationship.
,,,CES NH,Allegretti,,retail access rules,2001-08-31 00:00:00,NH market slated to open in April.  EES has an affrinity agreement for joint marketing with CES.  Interest expressed in Standard Offer.  Monitoring legislative and regulatory changes affecting opportunity.
,,,National Grid,Allegretti,,Outsourcing opportunities,2001-08-31 00:00:00,Facilitated introductions between ENA and National Grid re: possible outsourcing oppportunities.  Prepared outsourcing proposal to Grid.  Discussing next steps.
,,,UI,Allegretti,,Outsourcing opportunities,2001-08-31 00:00:00,Discussions w/ UI re: accessing retail customers on a preferred basis.  Developing proposal.
,,,NU,Allegretti ,,Load and supply acquisition,2001-08-31 00:00:00,"Initial meetings w/ NU were favorable.  Confidentiality Agreement in place, discussions in progress"
,,,San Antonio,Allegretti/Frank,,C-branding Opportunities,2001-08-31 00:00:00,"Initial meeting to determine interest, was favorable.  Researching public procurement  requirements."
,,,Unitil,Allegretti,,Outsourcing opportunities,2001-08-31 00:00:00,Initial meeting and discussions as to interest
,,,TVA,Migden/Allegretti,,Co-branding Opportunities,2001-08-31 00:00:00,Met internally to review background material and develop strategy.  Meetings w/ TVA and member municipals schedule on hold.  Researching legal issues.
,,,CommEd,Migden/Allegretti,,Outsourcing opportunities,2001-08-31 00:00:00,Met internally to develop strategy.  Meeting w/ Comm Ed scheduled for June.
