,Physical/,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,
Counterparty,Financial,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Peak Prc PL,OPeak Prc PL,Peak Bas PL,OPeak Bas PL,Total
AESEASENE,Financial,-317112.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-317112.54
ALCOAPOWGEN,Physical,105100.37,,,,1098796.62,,,,1029358.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233255.49
AMERENAGENT,Physical,-969634.62,,,,3613151.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2643516.56
AUSTINCITY,Physical,366.24,,,,315975.68,,,,990427.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306769.8599999999
BECO,Physical,431958.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431958.21
CALPINEENESER,Physical,168059.33,-480543.92,,,-38531526.47,-11844293.56,,,-12528254.51,-9277354,,,308982,-3965257,,,1267973.29,-2620826.24,,,1431013.6,-2134541.38,,,458184.81,-318252.85,,,492689.27,-269979.12,,,526926.76,-225521.19,,,,,,,-77542521.17999998
CAND-PWR-PR,Financial,,,,,-2561729.17,,,,-1883619.65,,,,-1656236.34,,,,-1439809.85,,,,-2189935.19,,,,-995188.2,,,,-835224.59,,,,-684748.26,,,,-551833.88,,,,-12798325.129999999
CARGILLALLLLC,Physical,393472.82,1284.87,,,591968.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986726.5700000001
CAROLINA,Physical,538786.57,,,,1164753.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703540.1999999997
CASHV,Financial,,,,,,-15553143.54,,,,-14960789.94,,,,-14151292,,,,-13301432.75,,,,-12472305.29,,,,-35220.82,,,,,,,,,,,,,,,-70474184.33999999
CENTRALHUDSON,Financial,,,,,-2623.06,1444184.67,,,348781.35,600477.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390820.41
CENTRALMAINPOW,Physical,3986154.94,1337813.88,,,8803326.54,3111485.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17238781.11
CITIZENSCOMCOM,Physical,30449.12,23204.2,,,5666.58,17325.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76645.44
COAL-EAST-CASH,Physical,-406812.5,,,,-23216.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-430028.69
COAL-EAST-II,Physical,248687.5,,,,-2945729.62,,,,-8612227.92,,,,-733776.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12043046.36
CONNECTICUTLIGP,Physical,64397.49,102784,,,-672528.66,762312.62,,,-487809.16,693595.36,,,-259775.58,554756.68,,,-245473.5,489850.92,,,-355095.33,426573.83,,,-375325,339257.06,,,-454817.59,288617.58,,,-451474.64,213308.06,,,-496962.36,202829.38,,,339021.1599999999
CONNECTIRESREC,Physical,-64397.49,-102784,,,672528.66,-28843740.76,,,487809.16,-27683639.58,,,259775.58,-26074072.79,,,245473.5,-24475209.94,,,355095.33,-22915400.18,,,375325,-21412799.1,,,454817.59,-19997608.46,,,451474.64,-18647089.82,,,496962.36,-17435933.45,,,-203853413.74999997
CORALPOWLLC,Financial,,,,,492151.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492151.78
CORALPOWLLC,Physical,-1547247.09,,,,3741474.28,,,,-45244.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148982.9599999995
DTEENETRA,Physical,-157047.64,-137002.42,43103.73,41530.13,-303663.44,-229798.67,,,131003.78,-553331.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1165205.6800000002
DYNEGYMARAND,Financial,-3362147.37,-116175.21,,,-12814033.24,,,,-511146.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16803502.36
DYNEGYPOWMAR,Physical,-6740954.38,-164426.84,,,93656500.27,-3280645.75,83156.69,,4429808.66,920032.08,,,2806133,,,,2274862,,,,,,,,,,,,,,,,,,,,,,,,93984465.72999999
EASTTEXELE,Physical,3599.86,7036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10635.86
ECTCOA,Physical,,,,,,,,,-124924.2,-207307.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-332231.46
EDISONMISMAR,Financial,16383.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16383.79
ENRONENESERINC,Financial,3392934.2,169884.65,,,18943387.24,8861421.47,,,17052913.54,11764126.94,,,17766604.06,10357405.41,,,14897123.18,8350360.18,,,6260622.74,7389955.19,,,781757.55,5094003.15,,,845533.91,146372.7,,,399906.3,81205.16,,,46634.84,28603.3,,,132630755.71
ENRONENESERINC,Physical,3636355.7,1227317,,,30760803.91,22242956.33,,,9912572.4,14822731.62,,,1147191.55,10624353.6,,,-5908098.73,6151374.44,,,875516.15,1519741,,,1588418.7,2088813.37,,,-260847.74,2120889.05,,,4977918.73,1233045.1,,,3258047.64,1161154,,,113180253.82000001
ENTERGYSVC,Physical,,,,,1090680.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090680.8
FIRSTENESOL,Physical,239515.74,,,,840179,,,,292418.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372112.8399999999
