VISUPRO DATA STATUS MATRIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field,Meaning,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priority,Urgent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,High but not urgent,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upload Status,Processing Orig Files,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orig Files Complete,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Replace Files Complete,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Site >,Montfort,,,,Fenner,,,,,,,Mill Run,,,,,,Somerset,,,,,,,Klondike,,,,,,,Trent Mesa,,,,,,,,,,Clear Sky,,,,,,,,
Year,Download Week,Wedn Download (y or n)?,File,Prio-rity,Date For Upload Status ,Problem w/ Replace File,Comment,Prio-rity,Date For Upload Status ,Couldn't Rebuild,Requested Replace File,Replace  File on Network,Problem w/ Replace File,Comment,Prio-rity,Date For Upload Status ,Couldn't Rebuild,Requested Replace File,Replace  File on Network,Problem w/ Replace File,Prio-rity,Date For Upload Status ,Couldn't Rebuild,Requested Replace File,Replace  File on Network,Problem w/ Replace File,Comment,Prio-rity,Date For Upload Status ,Couldn't Rebuild,Requested Replace File,Replace  File on Network,Problem w/ Replace File,Comment,Prio-rity,Date For Upload Status ,Couldn't Rebuild,Requested Replace File,Replace  File on Network,Problem w/ Replace File,Comment,Replace  File on Network,Lost Data,Comment,Prio-rity,Date For Upload Status ,Couldn't Rebuild,Requested Replace File,Replace  File on Network,Problem w/ Replace File,Comment,Replace  File on Network,Lost Data
2002,2002-04-03 00:00:00,y,Minana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2002-04-03 00:00:00,,,,,,,,,2,2002-04-03 00:00:00,,,,,,,
,,y,Statdat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2002-04-03 00:00:00,,,,,,,,,2,2002-04-03 00:00:00,,,,,,,
,,y,Mon0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WTG 69-100 incompete,,,,,,,
,,y,Mon0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-03 00:00:00,,,,,,,,,1,2002-04-03 00:00:00,,,,,,,
,,y,Errdev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-03 00:00:00,,,,,,,,,,2002-04-03 00:00:00,,,,,,,
,,y,ZMET Mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,y,Open1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,y,Open2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-04-05 00:00:00,n,Minana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Statdat,,2002-04-05 00:00:00,,,,,,,,,,,2002-04-05 00:00:00,,,,,,2002-04-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,2,2002-04-05 00:00:00,,,,,,,
,,n,Mon0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Mon0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Errdev,,2002-04-05 00:00:00,,,,,,,,,,,2002-04-05 00:00:00,,,,,,2002-04-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,2002-04-05 00:00:00,,,,,,,
,,n,ZMET Mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Open1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Open2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010-04-08 00:00:00,n,Minana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
