,,,,,,,,
,,,,,,,,
,OLD CAS,,,Operational,,New CAS Name's,To Test,"Wish list
EBB"
,,,,,,,,
1.0,EAST FLOW FROM THOREAU PT.,D,5000000.0,Thoreau Flow East                       ,D,THOREAU EAST SYSTEM,,X
1.0,WEST FLOW TO THOREAU PT.,R,5000000.0,Thoreau Flow East                       ,R,,,
,,,,,,,,
2.0,EAST FLOW THRU COMP. STA. 9,D,5000001.0,Station 9 Flow                          ,D,STATION 9,,X
2.0,WEST FLOW THRU COMP. STA. 9,R,5000001.0,Station 9 Flow                          ,R,,,
,,,,,,,,
3.0,FROM COMP. STA. 9 EAST ON PH LAT.,D,5000002.0,Panhandle Lateral                       ,D,PANHANDLE LATERAL,,X
3.0,PANHANDLE FLOW WEST SYSTEM,R,5000002.0,Panhandle Lateral                       ,R,,,
,,,,,,,,
4.0,EAST FLOW THRU P-1 COMP. STA.,D,,,,P-1 COMP. STA.,,
4.0,PANHANDLE LAT. WEST TO COMP. STA. 9,R,,,,,,
,,,,,,,,
5.0,EAST FLOW THRU P-2 COMP. STA.,D,,,,P-2 COMP. STA.,,
5.0,WEST FLOW THRU P-2 COMP. STA.,R,,,,,,
,,,,,,,,
6.0,EAST FLOW THRU P-3 COMP. STA.,D,,,,P-3 COMP. STA.,,
6.0,WEST FLOW THRU P-3 COMP. STA.,R,,,,P-3 COMP. STA.,,
,,,,,,,,
7.0,GUYMON NORTH SYSTEM,D,5000019.0,Guyman Lateral                          ,D,GUYMAN LATERAL,,
7.0,GUYMON SOUTH SYSTEM,R,5000019.0,Guyman Lateral                          ,R,,,
,,,,,,,,
8.0,LEFORS SOUTH SYSTEM,D,5000020.0,Lefors Lateral                          ,D,LEFORS LATERAL     ,,
8.0,LEFORS NORTH SYSTEM,R,5000020.0,Lefors Lateral                          ,R,,,
,,,,,,,,
9.0,FELDMAN EAST SYSTEM,D,,,,FELDMAN SYSTEM,,
9.0,FELDMAN WEST SYSTEM,R,,,,FELDMAN SYSTEM,,
,,,,,,,,
10.0,LIPSCOMB NORTH SYSTEM,D,5000003.0,Lipscomb/Mocane Lateral                 ,D,LIPSCOMB/MOCANE LATERAL,,
