Commodity:,NG
Curve Type cd:,PR
Effective Dt:,Mar 26 2001
,
Ref Period dt,Curve Amt
1999-06-01 00:00:00,2.226
1999-07-01 00:00:00,2.262
1999-08-01 00:00:00,2.601
1999-09-01 00:00:00,2.912
1999-10-01 00:00:00,2.56
1999-11-01 00:00:00,3.092
1999-12-01 00:00:00,2.12
2000-01-01 00:00:00,2.344
2000-02-01 00:00:00,2.61
2000-03-01 00:00:00,2.603
2000-04-01 00:00:00,2.9
2000-05-01 00:00:00,3.089
2000-06-01 00:00:00,4.406
2000-07-01 00:00:00,4.369
2000-08-01 00:00:00,3.82
2000-09-01 00:00:00,4.618
2000-10-01 00:00:00,5.312
2000-11-01 00:00:00,4.541
2000-12-01 00:00:00,6.016
2001-01-01 00:00:00,9.98
2001-02-01 00:00:00,6.293
2001-03-01 00:00:00,4.998
2001-04-01 00:00:00,5.322
2001-04-01 00:00:00,5.322
2001-05-01 00:00:00,5.375
2001-05-01 00:00:00,5.375
2001-06-01 00:00:00,5.415
2001-06-01 00:00:00,5.415
2001-07-01 00:00:00,5.455
2001-07-01 00:00:00,5.455
2001-08-01 00:00:00,5.477
2001-08-01 00:00:00,5.477
2001-09-01 00:00:00,5.442
2001-09-01 00:00:00,5.442
2001-10-01 00:00:00,5.447
2001-10-01 00:00:00,5.447
2001-11-01 00:00:00,5.554
2001-11-01 00:00:00,5.554
2001-12-01 00:00:00,5.662
2001-12-01 00:00:00,5.662
2002-01-01 00:00:00,5.692
2002-01-01 00:00:00,5.692
2002-02-01 00:00:00,5.462
2002-02-01 00:00:00,5.462
2002-03-01 00:00:00,5.102
2002-03-01 00:00:00,5.102
2002-04-01 00:00:00,4.622
2002-04-01 00:00:00,4.622
2002-05-01 00:00:00,4.502
2002-05-01 00:00:00,4.502
2002-06-01 00:00:00,4.506
2002-06-01 00:00:00,4.506
2002-07-01 00:00:00,4.536
2002-07-01 00:00:00,4.536
2002-08-01 00:00:00,4.546
2002-08-01 00:00:00,4.546
2002-09-01 00:00:00,4.527
2002-09-01 00:00:00,4.527
2002-10-01 00:00:00,4.512
2002-10-01 00:00:00,4.512
2002-11-01 00:00:00,4.622
2002-11-01 00:00:00,4.622
2002-12-01 00:00:00,4.72
2002-12-01 00:00:00,4.72
2003-01-01 00:00:00,4.755
2003-01-01 00:00:00,4.755
2003-02-01 00:00:00,4.58
2003-02-01 00:00:00,4.58
2003-03-01 00:00:00,4.372
2003-03-01 00:00:00,4.372
2003-04-01 00:00:00,4.17
2003-04-01 00:00:00,4.17
2003-05-01 00:00:00,4.115
2003-05-01 00:00:00,4.115
2003-06-01 00:00:00,4.118
2003-06-01 00:00:00,4.118
2003-07-01 00:00:00,4.143
2003-07-01 00:00:00,4.143
2003-08-01 00:00:00,4.173
2003-08-01 00:00:00,4.173
2003-09-01 00:00:00,4.172
2003-09-01 00:00:00,4.172
2003-10-01 00:00:00,4.17
2003-10-01 00:00:00,4.17
2003-11-01 00:00:00,4.28
2003-11-01 00:00:00,4.28
2003-12-01 00:00:00,4.4
2003-12-01 00:00:00,4.4
2004-01-01 00:00:00,4.44
2004-01-01 00:00:00,4.44
2004-02-01 00:00:00,4.32
2004-02-01 00:00:00,4.32
2004-03-01 00:00:00,4.18
2004-03-01 00:00:00,4.18
2004-04-01 00:00:00,4.045
2004-05-01 00:00:00,4.08
2004-06-01 00:00:00,4.103
2004-07-01 00:00:00,4.148
2004-08-01 00:00:00,4.188
2004-09-01 00:00:00,4.202
2004-10-01 00:00:00,4.225
2004-11-01 00:00:00,4.335
2004-12-01 00:00:00,4.455
2005-01-01 00:00:00,4.445
2005-02-01 00:00:00,4.325
2005-03-01 00:00:00,4.185
2005-04-01 00:00:00,4.05
2005-05-01 00:00:00,4.085
2005-06-01 00:00:00,4.108
2005-07-01 00:00:00,4.153
2005-08-01 00:00:00,4.193
2005-09-01 00:00:00,4.207
2005-10-01 00:00:00,4.23
2005-11-01 00:00:00,4.34
2005-12-01 00:00:00,4.46
2006-01-01 00:00:00,4.48
2006-02-01 00:00:00,4.36
2006-03-01 00:00:00,4.22
2006-04-01 00:00:00,4.085
2006-05-01 00:00:00,4.12
2006-06-01 00:00:00,4.143
2006-07-01 00:00:00,4.188
2006-08-01 00:00:00,4.228
2006-09-01 00:00:00,4.242
2006-10-01 00:00:00,4.265
2006-11-01 00:00:00,4.375
2006-12-01 00:00:00,4.495
2007-01-01 00:00:00,4.53
2007-02-01 00:00:00,4.41
2007-03-01 00:00:00,4.27
2007-04-01 00:00:00,4.135
2007-05-01 00:00:00,4.17
2007-06-01 00:00:00,4.193
2007-07-01 00:00:00,4.238
2007-08-01 00:00:00,4.278
2007-09-01 00:00:00,4.292
2007-10-01 00:00:00,4.315
2007-11-01 00:00:00,4.425
2007-12-01 00:00:00,4.545
2008-01-01 00:00:00,4.595
2008-02-01 00:00:00,4.475
2008-03-01 00:00:00,4.335
2008-04-01 00:00:00,4.2
2008-05-01 00:00:00,4.235
2008-06-01 00:00:00,4.258
2008-07-01 00:00:00,4.303
2008-08-01 00:00:00,4.343
2008-09-01 00:00:00,4.357
2008-10-01 00:00:00,4.38
2008-11-01 00:00:00,4.49
2008-12-01 00:00:00,4.61
2009-01-01 00:00:00,4.67
2009-02-01 00:00:00,4.55
2009-03-01 00:00:00,4.41
2009-04-01 00:00:00,4.275
2009-05-01 00:00:00,4.31
2009-06-01 00:00:00,4.333
2009-07-01 00:00:00,4.378
2009-08-01 00:00:00,4.418
2009-09-01 00:00:00,4.432
2009-10-01 00:00:00,4.455
2009-11-01 00:00:00,4.565
2009-12-01 00:00:00,4.685
2010-01-01 00:00:00,4.755
2010-02-01 00:00:00,4.635
2010-03-01 00:00:00,4.495
2010-04-01 00:00:00,4.36
2010-05-01 00:00:00,4.395
2010-06-01 00:00:00,4.418
2010-07-01 00:00:00,4.463
2010-08-01 00:00:00,4.503
2010-09-01 00:00:00,4.517
2010-10-01 00:00:00,4.54
2010-11-01 00:00:00,4.65
2010-12-01 00:00:00,4.77
2011-01-01 00:00:00,4.845
2011-02-01 00:00:00,4.725
2011-03-01 00:00:00,4.585
2011-04-01 00:00:00,4.45
2011-05-01 00:00:00,4.485
2011-06-01 00:00:00,4.508
2011-07-01 00:00:00,4.553
2011-08-01 00:00:00,4.593
2011-09-01 00:00:00,4.607
2011-10-01 00:00:00,4.63
2011-11-01 00:00:00,4.74
2011-12-01 00:00:00,4.86
2012-01-01 00:00:00,4.94
2012-02-01 00:00:00,4.82
2012-03-01 00:00:00,4.68
2012-04-01 00:00:00,4.545
2012-05-01 00:00:00,4.58
2012-06-01 00:00:00,4.603
2012-07-01 00:00:00,4.648
2012-08-01 00:00:00,4.688
2012-09-01 00:00:00,4.702
2012-10-01 00:00:00,4.725
2012-11-01 00:00:00,4.835
2012-12-01 00:00:00,4.955
2013-01-01 00:00:00,5.04
2013-02-01 00:00:00,4.92
2013-03-01 00:00:00,4.78
2013-04-01 00:00:00,4.645
2013-05-01 00:00:00,4.68
2013-06-01 00:00:00,4.703
2013-07-01 00:00:00,4.748
2013-08-01 00:00:00,4.788
2013-09-01 00:00:00,4.802
2013-10-01 00:00:00,4.825
2013-11-01 00:00:00,4.935
2013-12-01 00:00:00,5.055
2014-01-01 00:00:00,5.14
2014-02-01 00:00:00,5.02
2014-03-01 00:00:00,4.88
2014-04-01 00:00:00,4.745
2014-05-01 00:00:00,4.78
2014-06-01 00:00:00,4.803
2014-07-01 00:00:00,4.848
2014-08-01 00:00:00,4.888
2014-09-01 00:00:00,4.902
2014-10-01 00:00:00,4.925
2014-11-01 00:00:00,5.035
2014-12-01 00:00:00,5.155
2015-01-01 00:00:00,5.24
2015-02-01 00:00:00,5.12
2015-03-01 00:00:00,4.98
2015-04-01 00:00:00,4.845
2015-05-01 00:00:00,4.88
2015-06-01 00:00:00,4.903
2015-07-01 00:00:00,4.948
2015-08-01 00:00:00,4.988
2015-09-01 00:00:00,5.002
2015-10-01 00:00:00,5.025
2015-11-01 00:00:00,5.135
2015-12-01 00:00:00,5.255
2016-01-01 00:00:00,5.34
2016-02-01 00:00:00,5.22
2016-03-01 00:00:00,5.08
2016-04-01 00:00:00,4.945
2016-05-01 00:00:00,4.98
2016-06-01 00:00:00,5.003
2016-07-01 00:00:00,5.048
2016-08-01 00:00:00,5.088
2016-09-01 00:00:00,5.102
2016-10-01 00:00:00,5.125
