,PEAK LOADS MWavg,,,,,,,,OFF PEAK LOADS MWavg,,,,,
,DSW,PNWUS,RM,CAISO,CA other,WSCC TOTAL,,,DSW,PNWUS,RM,CAISO,CA other,WSCC TOTAL
2000-01-01,,,,,,,,,9848.849609375,28303.7112630208,5017.6660970052,21744.5833333333,2650.829166,67565.6394687343
2000-01-02,,,,,,,,,10485.1231689453,28894.2648111979,5336.1059773763,22625.4583333333,2621.716666,69962.66895685278
2000-01-03,11879.0711669921,33969.2994384765,6853.6336364746,29148.5,3531.7125,85382.2167419432,,,9680.48156738281,26861.0078125,4948.70202636718,21287.875,2428.8875,65206.95390624999
2000-01-04,11932.1361083984,32095.9005126953,6962.86041259765,29657,3528.5,84176.39703369135,,,9839.76440429687,25740.4255371093,5088.45751953125,22049.75,2464.8,65183.19746093742
2000-01-05,12157.4893188476,33127.4146728515,6751.61978149414,29542.5,3543.6375,85122.66127319324,,,10011.4611816406,26745.2814941406,4934.36358642578,22006.75,2485.2875,66183.14376220698
2000-01-06,12446.6740112304,33532.2696533203,6967.18411254882,29373.8125,3534.98125,85854.92152709952,,,10374.0650634765,26879.8337402343,5093.56896972656,22132.875,2487.0125,66967.35527343737
2000-01-07,11889.6784667968,31648.4307861328,6699.23333740234,29010.25,3500.775,82748.36759033194,,,10034.1613769531,25672.412109375,4978.19232177734,22228.25,2497.8375,65410.85330810544
2000-01-08,11184.9600830078,30400.0394287109,5944.93780517578,25843.0625,3015.30625,76388.30606689447,,,9707.3984375,25122.7268066406,4836.51239013671,21472.875,2468.7875,63608.300134277306
2000-01-09,,,,,,,,,10258.0946858723,29468.500813802,5386.87644449869,23412.1666666666,2628.5375,71154.17611083959
2000-01-10,11764.8746948242,34106.9014892578,6742.57330322265,28982.1875,3531.7125,85128.24948730465,,,9587.42053222656,26969.8161621093,4868.51043701171,21469,2428.8875,65323.634631347566
2000-01-11,11740.908996582,34105.796508789,6735.1929321289,29564.5,3560.3875,85706.7859374999,,,9682.0703125,27352.3310546875,4922.078125,22160.875,2493.875,66611.2294921875
2000-01-12,11737.1556396484,34506.2603759765,6802.06735229492,29525.375,3533.63125,86104.48961791983,,,9665.32434082031,27858.4873046875,4971.23278808593,21993.25,2476.1875,66964.48193359375
2000-01-13,11526.8450317382,33427.4157714843,6914.4910583496,29607.5,3495.44375,84971.69561157211,,,9607.4052734375,26795.78125,5055.04614257812,21900.875,2450.925,65810.03266601561
2000-01-14,11317.8423461914,32442.4678955078,6618.14678955078,29039.0625,3431.88125,82849.40078124999,,,9551.56689453125,26316.5151367187,4917.93701171875,21902.375,2434.975,65123.3690429687
2000-01-15,10703.5006103515,32416.38671875,5893.15502929687,25704.3125,2902.71875,77620.07360839838,,,9289.54089355468,26789.0451660156,4794.38452148437,20799.125,2365.025,64037.12058105465
2000-01-16,,,,,,,,,9706.58589680989,28722.9106445312,5304.39650472005,23044.7916666666,2558.025,69336.70971272772
2000-01-17,11384.113708496,34035.6325683593,6653.5408630371,29048.0625,3471.75,84593.0996398924,,,9277.13122558593,26913.4604492187,4804.22412109375,20923.75,2374.2125,64292.77829589838
2000-01-18,11699.9082641601,34874.5909423828,6749.07165527343,29275.6875,3509.34375,86108.60211181632,,,9648.25903320312,27968.8933105468,4932.22076416015,21144,2437.825,66131.19810791007
2000-01-19,11574.2745361328,35136.2814941406,6771.21640014648,29201.3125,3499.8875,86182.97243041988,,,9531.19494628906,28367.1320800781,4948.68548583984,20987.625,2445.4,66280.037512207
2000-01-20,11530.6348876953,33649.6822509765,6855.2137145996,28880,3493.75625,84409.2871032714,,,9610.56372070312,26973.953125,5011.70959472656,21038.125,2449.3875,65083.73894042968
2000-01-21,11148.2855224609,32754.8585205078,6660.92016601562,28221.3125,3458.29375,82243.67045898431,,,9408.47143554687,26569.91796875,4949.72186279296,21111.125,2459.0875,64498.32376708983
2000-01-22,10452.8286132812,31544.3513183593,6018.97943115234,25298.625,2946.5875,76261.37186279283,,,9071.98352050781,26068.3913574218,4896.74908447265,20284.5,2406.0875,62727.71146240226
2000-01-23,,,,,,,,,9919.81441243489,29782.6480305989,5381.81687418619,23417.0416666666,2573.966666,71075.28764988657
2000-01-24,11101.0363159179,33978.0711669921,6850.86547851562,29361.625,3469.4,84760.9979614256,,,9046.44604492187,26867.9440917968,4946.70330810546,20497.25,2372.05,63730.393444824134
2000-01-25,11427.1185913085,33184.6614990234,7025.69506835937,29052.9375,3513.51875,84203.93140869126,,,9423.30480957031,26613.5952148437,5134.37701416015,20900.75,2451.15,64523.17703857416
2000-01-26,11346.7748413085,33588.482421875,6960.72756958007,28618.5,3517.38125,84031.86608276358,,,9343.85339355468,27117.5229492187,5087.18817138671,21045.5,2461.3375,65055.40201416009
2000-01-27,11789.5051269531,33659.5144042968,7066.7001953125,28898.9375,3534.98125,84949.6384765624,,,9826.32727050781,26981.8344726562,5166.32312011718,21372.5,2487.0125,65833.99736328119
2000-01-28,11794.7448120117,33556.5153808593,7009.69927978515,28826.875,3454.375,84642.20947265616,,,9954.04333496093,27220.2016601562,5208.89929199218,21550.625,2455.5,66389.26928710932
2000-01-29,11101.7028808593,32056.4208984375,6336.62026977539,25374.6875,2963.91875,77833.35029907219,,,9635.13989257812,26491.568359375,5155.16619873046,20501.25,2421.9,64205.02445068358
2000-01-30,,,,,,,,,9964.74405924479,29588.8548990885,5585.82421875,22959.0416666666,2603.05,70701.51484374989
2000-01-31,11493.368774414,33666.683227539,7048.18960571289,29049.5,3504.4,84762.14160766588,,,9366.1650390625,26621.7160644531,5089.18231201171,20390,2403.9625,63871.02591552731
2000-02-01,11661.3604736328,31135.3935546875,6884.45611572265,28759.375,3553.5375,81994.12264404295,,,9445.96813964843,25328.0766601562,5048.07843017578,21142.875,2460.575,63425.57322998041
