,,,,,,,
PIP Master List,,,,,,,
,,,,,Last updated:,2018-07-09 00:00:00,
,,,,,Updated by:,vgates,
,,,,,,,
,,,,,,,
PIwG Review Date,PIP Number,PIP Name,"Rec Doc
Status*",Criticality,Protocol X-REF,Proposed Delivery Schedule,Comments
2000-11-27 00:00:00,101,POLR Historical Usage,Complete,3 - Important,15.1.2.7,Phase 2,System was designed to send historical usage to POLR when customer sent to POLR.  The change to be implemented is that ERCOT will act as the transaction point and will receive the historical data and then send it to POLR upon POLR request.
2000-11-27 00:00:00,106,Direct Load Control,Complete,2 - Improvement,"18.7.2
6.3.2
18.2.10
18.2.1.(7)",Phase 3,Currently there is not a profile for DLC and the system cannot currently support the use of this type of profile.
2000-11-27 00:00:00,108,sub-QSE of same Legal Entity,Complete,"RUG
5 - Vital","16.2.1, 16.2.4.1, 16.2.5,16.2.6,16.2.7,16.2.8,16.2.9,16.2.10",Phase 2,"RMR units may not be included in a QSEs Portfolio that is being bid for Ancillary Services.  RMR units must be represented by a ""Sub QSE"". "
2000-11-27 00:00:00,175,MERGED w/ PIP 106,RESOLVED,PIP106,18.2.1.(7),,Current design does not allow for controllable loads or similar pricing schemes
2000-11-27 00:00:00,176,Load Profiling Models via the API,Complete,1 - Refinement,18.3.2,,Current design does not include Load Profiling Models to be available via the API
2000-11-27 00:00:00,177,Availability of Backcast Profiles,Complete,1 - Refinement,18.3.3,,Backcast profiles are sent to the data archive and available on the second day after the operating day
2000-11-27 00:00:00,178,Load Profile Assignment Table,Complete,1 - Refinement,18.4.1,,Current mapping does not reference all historical rate classes
2000-11-27 00:00:00,179,Load Profile Assignment Validation Tests,Complete,1 - Refinement,18.4.4.1,,Current design does not include validation tests; ERCOT will perform manual testing
2000-11-27 00:00:00,182,Treatment of nonmetered loads in IDR requirements reporting,RESOLVED,,18.6.1,,Current system design does not have a flag to exclude nonmetered load from IDR requirements reporting
2000-11-27 00:00:00,183,TOU schedule/period changes,Complete,1 - Refinement,18.7.1.4.(2),,ERCOT and TX SET should be included in the process for changing TOU schedules/periods.
2000-11-27 00:00:00,184,Notification to Current CR of Drop Due to Switch (without date),Complete,3 - Important (if required by PUC Rulemaking) ,15.1.1.5,,The TX SET transaction has not been developed to support this process; not included in current design
2000-11-27 00:00:00,188,Forwarding of meter read data,Complete,3 - Important,"15.1.10, 15.1.2.8, 15.1.5.6, 15.1.4.8, 15.3",,The timing in the current Protocol has not been guaranteed by vendor.  Previous versions of the Protocols stated the processing times would be posted on MIS.
2000-11-27 00:00:00,189,"Off-cycle meter read request dates, Rejection of switch request",Complete,5 - Vital,15.1.1.10,,Current design is based on the TDSP sending the first available on-cycle switch date if the CR requests an off-cycle date before the first available switch date
