,,,,,,,
,,1987 - 1991,1991.0,1990.0,1989.0,1988.0,1987
,,,,,,,
Operating,,,,,,,
,Cash Received,27646.199999999997,5697.2,5594.9,5153.7,5558.8,5641.6
,Interest Received,20.799999999999997,11.5,2.4,2.8,2.4,1.7
,Tax Refund,6.800000000000001,3.1,1.1,0.2,2.2,0.2
,Litigation,9,9.0,,,,
,Other,45.9,3.7,17.1,19.3,2.3,3.5
,,,,,,,
Cash Provided by operating,,27728.7,5724.5,5615.5,5176.0,5565.7,5647
,,,,,,,
,Paid to supp.,26112,4986.5,5220.6,4967.0,5302.7,5635.2
,Interest paid,495.09999999999997,85.0,97.1,122.1,150.2,40.7
,Litigation fines,27.2,10.2,17.0,,,
,Settlement,27.7,,,,,27.7
,Taxes Paid,76.2,31.8,13.6,8.0,13.1,9.7
,Other,6.6000000000000005,1.6,1.1,0.3,2.7,0.9
Cash Used by operating,,26744.800000000003,5115.1,5349.4000000000015,5097.400000000001,5468.7,5714.199999999999
,,,,,,,
Net Cash,,983.8999999999987,609.3999999999996,266.09999999999854,78.59999999999945,97.0,-67.19999999999891
,,,,,,,
,,,,,,,
Investing Activities,,,,,,,
,PP & E,-974,-117.4,-121.2,-186.8,-254.2,-294.4
,Proceeds from Sale,310.9,2.6,252.1,14.3,12.0,29.9
,Subs,68.39999999999999,,,1.1,67.3,
,Sales of Leases,21.9,,,21.9,,
,Dividends of Affil,20.9,0.1,0.1,,20.7, 
,Other,2.6000000000000005,-8.4,-2.3,4.8,6.2,2.3
Net Cash provided by Invest,,-549.3,-123.10000000000002,128.69999999999996,-144.7,-148.0,-262.2
,,,,,,,
Financing,,,,,,,
,Borrowing,3458.6,,750.0,783.0,971.0,954.6
,Repayments,-3558.5,,-920.0,-659.0,-1413.6,-565.9
,Issuance of Debt,551,,,,550.0,1
,Principle Payments,-405.2,-400.3,-0.3,-0.4,-1.4,-2.8
,Issuance of Stock,-0.5000000000000001,0.6,,,,-1.1
,Dividends,-281.7,-56.4,-56.3,-56.4,-56.4,-56.2
Net Cash provided by Finance,,-236.29999999999984,-456.09999999999997,-226.60000000000002,67.19999999999999,49.60000000000009,329.6
,,,,,,,
,,,,,,,
Total Net Cash,,198.29999999999876,30.199999999999648,168.19999999999845,1.0999999999994543,-1.3999999999999133,0.2000000000011255
