PLANT_CODE,PLANT_NAME,NAME_FRMER,ADDRESS,CITY,STATE_ABBR,ZIP_CODE,ZIP_CODE3,PHONE,AREA_CODE,PO_CITY,PO_STREET,PO_STATE,PO_ZIP,STATE_CODE,STCNTY_COD,COUNTY,PARENT_CO,CONTAC_COD,TITLE,CONTAC_NAM,DIVISION,INTEGRATED,CENSUS_COD,CENSUS_REG,NERC_REG,DUNS_NBR,ULT_DUNSNO,GAS_AVAIL,GAS_CONTAC,GAS_CTITLE,GAS_CPHONE,GAS_SPOT,G_SPOT_DES,GAS_MRKTC,G_CONTRACT,GAS_CDATE,G_COMMENTS,REQ_FIRM,COMM_AVAIL,COMM_TYPE,COMM_SOURC,COMM_DATE,LAT,LONG,CENSUS_DIV,DIV_NAME,SIC2,SIC2_NAME,SIC4,SIC4_NAME,PROD_DESC,EMPLOYEES,PROD_EMPS,PLNT_HOURS,ELEC_UTILC,ELEC_UTIL,GAS_UTILC,GAS_UTIL,SWITCH,CAPACITY,SHIPMENTS,STEAM_DRAW,STEAM_TEMP,STEAM_PRES,ELEC_USE,ELEC_DEM,ELEC_PRICE,GENERATE,GEN_USE,GEN_PERCNT,COG_ANS,BOILER_GRP,BOILERS,BOILER_CAP,NAME_PLATE,BOIL_MMBTU,FURN_MMBTU,FEED_MMBTU,GAS_MMBTU,GAS_MMCF,GASMMCFDAY,OIL_MMBTU,RESID_OIL,DIST_OIL,COAL_USE,TOTF_MMBTU,DIR_CONN,PLNT_INACT,RECTYPE
107912,BOC GROUP INC DELAWARE CORP,AIRCO INC,2535 DEL AMO BLVD,TORRANCE,CA,905031706,905,3105338394,310,TORRANCE,2535 DEL AMO BLVD,CA,90503,04,04037,LOS ANGELES,BOC GROUP INC A NEVADA CORP,28,CLERK,RENEE CUBIE,AIRCO INDUSTRIAL GASES,,4,WEST,WSCC,095135687,144636503,N,,,0,,,,,,,,N,,,,33.8483,118.344,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,CARBON DIOXIDE,24,20,8568,706806,SOUTHERN CALIFORNIA EDISON CO,000000,NONE,N,90,9855,0,0,0,12000,1400,0.0875,N,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,PLANT
121377,PRAXAIR INC,UNION CARBIDE CORP,2000 LOVERIDGE,PITTSBURG,CA,945654114,945,9254273900,925,PITTSBURG,2000 LOVERIDGE,CA,94565,04,04013,CONTRA COSTA,PRAXAIR INC,53,OPERATIONS MANAGER,STEWART BECKER,LINDE DIV 935,,4,WEST,WSCC,009122961,197154586,Y,JIM COLLINS,OPERATIONS,5104399171,,,,,,,,N,,,,38.0128,121.864,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,"Industrial gases, n.s.k.",53,24,8736,575006,PACIFIC GAS & ELECTRIC CO,575006,PACIFIC GAS & ELECTRIC CO,N,85,14500,0,0,0,131040,15000,0.0946,N,0,0,N,0,0,0,0,0,360000,0,360000,360,0.986,0,0,0,0,360000,N,,PLANT
121389,PRAXAIR,UNION CARBIDE CORP,2300 E PACIFIC HWY,WILMINGTON,CA,907442919,907,3109832100,562,WILMINGTON,2300 E PACIFIC WAY,CA,90744,04,04037,LOS ANGELES,UNION CARBIDE CORP,95,MAINTENANCE MANAGER,GARY KOLODZIEJ,LINDE DIVISION 861,,4,WEST,WSCC,043542109,001289008,Y,CORPORATE,,0,,,,,06/22/98,,,N,,,,33.7916,118.233,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,"Industrial gases, n.s.k.",35,20,8736,433506,LOS ANGELES DEPT WATER & PWR,707006,SOUTHERN CALIFORNIA GAS CO,N,90,18500,0,0,0,112000,12820,0.0547,Y,100800,90,N,0,0,0,0,0,1903720,0,1903720,1903.72,5.21,0,0,0,0,1903720,N,,PLANT
108491,SOUTHERN CALIFORNIA AIRGAS INC,PHOENIX DISTRUBUTORS INC,11711 S ALAMEDA ST,LOS ANGELES,CA,900592130,900,2135645711,213,LOS ANGELES,11711 SOUTH ALAMEDA STREET,CA,90670,04,04037,LOS ANGELES,AMERICAN CARBIDE & CARBON CORP,95,MAINTENANCE MANAGER,DENNIS FUCKLEMAN,SO CAL AIR GAS,,4,WEST,WSCC,026366021,024492860,N,,,0,,,,,,,,N,,,,33.9286,118.225,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,OXYGEN,53,26,4160,706806,SOUTHERN CALIFORNIA EDISON CO,707006,SOUTHERN CALIFORNIA GAS CO,N,50,13102,0,0,0,4160,1000,0.0888,N,0,0,N,0,0,0,0,0,32536.4,0,32536.4,32.536,0.089,0,0,0,0,32536.4,N,,PLANT
308220,LIQUID CARBONIC INDUS CORP,LIQUID CARBONIC CORP,331 E CHANNEL RD,BENICIA,CA,945101127,945,7077455414,707,BENICIA,331 E CHANNEL RD,CA,94510,04,04095,SOLANO,PRAXAIR INC,96,PLANT MANAGER,PAUL RYLANDER,,,4,WEST,WSCC,028224962,197154586,N,,,0,,,,,,,,N,,,,38.0778,122.133,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,CARBON DIOXIDE,15,13,8736,575006,PACIFIC GAS & ELECTRIC CO,575006,PACIFIC GAS & ELECTRIC CO,N,100,7911,0,0,0,12000,1373,0.0786,N,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,PLANT
427678,AGA GAS INC,LIQUID CARBONIC INDS CORP,871 EUBANKS DR,VACAVILLE,CA,956889360,956,7074475753,707,VACAVILLE,871 EUBANKS DR,CA,04095,04,04095,SOLANO,AGA GAS INC,96,PLANT MANAGER,MIKE IOVANELLI,VACAVILLE CRYOGENICS,,4,WEST,WSCC,626544241,157278631,,,,0,,,,,,,,N,,,,38.4008,121.959,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,"Industrial gases, n.s.k.",20,10,8736,575006,PACIFIC GAS & ELECTRIC CO,575006,PACIFIC GAS & ELECTRIC CO,N,80,6107,0,0,0,12685,1452,0.0946,N,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,PLANT
108339,AIR PRODUCTS AND CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC,1515 NORMAN AVE,SANTA CLARA,CA,950542029,950,4089886263,408,SANTA CLARA,1515 NORMAN AVE,CA,95054,04,04085,SANTA CLARA,AIR PRODUCTS AND CHEMICALS,96,PLANT MANAGER,CHRIS WAYT,,,4,WEST,WSCC,010941565,003001070,N,,,0,,,,,,,,N,,,,37.3862,121.953,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,OXYGEN,25,13,8736,669306,SANTA CLARA ELECTRIC DEPT,575006,PACIFIC GAS & ELECTRIC CO,N,85,7863,0,0,0,114702,13129,0.0467,N,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,PLANT
107895,BOC GROUP,AIRCO INC,731 W CUTTING BLVD,RICHMOND,CA,948042023,948,5102338911,510,RICHMOND,731 W CUTTING BLVD,CA,94804,04,04013,CONTRA COSTA,BOC GROUP INC A NEVADA CORP,96,PLANT MANAGER,JOE ROWLEY,AIRCO INDUSTRIAL GASES,,4,WEST,WSCC,083791079,144636503,N,,,0,,,,,,,,N,,,,37.9254,122.376,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,CARBON DIOXIDE,40,30,4368,575006,PACIFIC GAS & ELECTRIC CO,575006,PACIFIC GAS & ELECTRIC CO,N,75,15000,0,0,0,26200,5998,0.0777,N,0,0,N,0,0,0,0,0,38.156,0,38.263,0.038,0,0,0,0,0,38.156,N,,PLANT
107811,BOC GAS,AIRCO INC,660 BALDWIN PARK BLVD,CITY OF INDUSTRY,CA,917461501,917,8183692871,818,CITY OF INDUSTRY,6600 N BALDWIN PARK BLVD,CA,91749,04,04037,LOS ANGELES,BOC GROUP INC A NEVADA CORP,96,PLANT MANAGER,BILL TOLEN,AIRCO INDUSTRIAL GASES DIV,,4,WEST,WSCC,008371353,144636503,N,,,0,,,,,,,,N,,,,34.0588,117.99,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,"Industrial gases, n.s.k.",42,25,8736,706806,SOUTHERN CALIFORNIA EDISON CO,707006,SOUTHERN CALIFORNIA GAS CO,N,100,15200,0,0,0,99600,11401,0.0844,N,0,0,N,1,0,650,650,4960,1240,0,6200,6.2,0.017,0,0,0,0,6200,N,,PLANT
108408,PRAXAIR,UNION CARBIDE CORP,5735 AIRPORT DRIVE,ONTARIO,CA,91761,917,9099745133,909,ONTARIO,5735 AIRPORT DRIVE,CA,91761,04,04071,SAN BERNARDINO,UNION CARBIDE CORP,96,PLANT MANAGER,MIKE STENBURG,LINDE DIV,,4,WEST,WSCC,039049739,001289008,N,,,0,,,,,,,,N,,,,34.0647,117.523,PAC,PACIFIC,28,Chemicals and Allied Products,2813,Industrial Gases,"OTHER ELEMENTAL GASES AND COMPRESSED AND LIQUEFIED GASES, N.E.C.",51,30,8736,706806,SOUTHERN CALIFORNIA EDISON CO,707006,SOUTHERN CALIFORNIA GAS CO,N,70,15452,3022,384,191,131400,15041,0.0843,N,0,0,N,1,2,4400,2200,32996.8,0,0,32996.9,32.997,0.09,0,0,0,0,32996.8,N,,PLANT
