11/13/01 Gas Positions,,,,,
Basis,,,,,
,IF-HEHUB,IF-NTHWST/CANBR,NGI-SOCAL,NGI-PGE/CG,TOTAL
2001-11-01 00:00:00,,,60,0,60
2001-12-01 00:00:00,0,,,0,0
2002-01-01 00:00:00,,,,0,0
2002-02-01 00:00:00,,,,0,0
2002-03-01 00:00:00,,,,0,0
2002-04-01 00:00:00,,,-44.7,-14.9,-59.5
2002-05-01 00:00:00,,,-46.1,-15.4,-61.4
2002-06-01 00:00:00,,,-44.5,-14.8,-59.3
2002-07-01 00:00:00,,30.6,-45.9,-15.3,-30.6
2002-08-01 00:00:00,,30.6,-45.8,-15.3,-30.6
2002-09-01 00:00:00,,29.5,-44.3,-14.8,-29.5
2002-10-01 00:00:00,,,-45.6,-15.2,-60.9
,0,90.7,-256.9,-105.6,-271.8
,,,,,
Price,,,,,
,NX1,TOTAL,,,
2001-12-01 00:00:00,224.5,224.5,,,
2002-01-01 00:00:00,0,0,,,
2002-02-01 00:00:00,0,0,,,
2002-03-01 00:00:00,-285,-285,,,
2002-04-01 00:00:00,0,0,,,
2002-05-01 00:00:00,0,0,,,
2002-06-01 00:00:00,0,0,,,
2002-07-01 00:00:00,0,0,,,
2002-08-01 00:00:00,0,0,,,
,-60.5,-60.5,,,
