NP15,2001-01-28 00:00:00,,,,,SP15,,,,,,ZP26,,,,
Fixed Peak,292.25,Fixed Off Peak,287.25,,,Fixed Peak,235.75,Fixed Off Peak,192,,,Fixed Peak,235.75,Fixed Off Peak,,192
Index Peak,,Index Off Peak,,,,Index Peak,,Index Off Peak,,,,Index Peak,,Index Off Peak,,
,Fixed,PX Index,DJ Index,Load,,,Fixed,PX Index,DJ Index,Load,,,Fixed,PX Index,DJ Index,Load
1,398.76,59,17,474.76,,1,124.63999999999999,25,0,149.64,,1,20.89,0,0,20.89
2,409.75,37,17,463.75,,2,115.63999999999999,25,0,140.64,,2,20.4,0,0,20.4
3,413.9,28,17,458.9,,3,111.05000000000001,25,0,136.05,,3,20.18,0,0,20.18
4,416.76,22,17,455.76,,4,109,25,0,134,,4,20.05,0,0,20.05
5,410.89,32,17,459.89,,5,114.63999999999999,25,0,139.64,,5,20.25,0,0,20.25
6,395.52,60,17,472.52,,6,129,25,0,154,,6,20.86,0,0,20.86
7,423.44,50,17,490.44,,7,150.39,25,0,175.39,,7,21.77,0,0,21.77
8,415.26,66,17,498.26,,8,158.6,25,0,183.6,,8,22.13,0,0,22.13
9,402.57000000000005,96,17,515.57,,9,170.27,25,0,195.27,,9,22.82,0,0,22.82
10,389.98,111,17,517.98,,10,182.6,25,0,207.6,,10,22.98,0,0,22.98
11,378.87,129,17,524.87,,11,192.7,25,0,217.7,,11,23.28,0,0,23.28
12,373.29999999999995,137,17,527.3,,12,198.57,25,0,223.57,,12,23.38,0,0,23.38
13,369.86,144,17,530.86,,13,201.75,25,0,226.75,,13,23.54,0,0,23.54
14,367.22,148,17,532.22,,14,204.23,25,0,229.23,,14,23.61,0,0,23.61
15,368.77,143,17,528.77,,15,203.13,25,0,228.13,,15,23.47,0,0,23.47
16,371.30999999999995,137,17,525.31,,16,201.22,25,0,226.22,,16,23.31,0,0,23.31
17,367.15999999999997,142,17,526.16,,17,205.19,25,0,230.19,,17,23.34,0,0,23.34
18,351.53999999999996,170,17,538.54,,18,219.41,25,0,244.41,,18,23.92,0,0,23.92
19,354.44000000000005,168,17,539.44,,19,216.91,25,0,241.91,,19,23.95,0,0,23.95
20,363.53,146,17,526.53,,20,208.79,25,0,233.79,,20,23.38,0,0,23.38
21,375.52,130,17,522.52,,21,197.27,25,0,222.27,,21,23.17,0,0,23.17
22,392.15,102,17,511.15,,22,181.19,25,0,206.19,,22,22.65,0,0,22.65
23,363.75,118,17,498.75,,23,159.02,25,0,184.02,,23,22.06,0,0,22.06
24,383.08,88,17,488.08,,24,141.24,25,0,166.24,,24,21.51,0,0,21.51
,9257.329999999998,2463,408,12128.330000000002,,,4096.45,600,0,4696.45,,,536.9,0,0,536.9
