,,,,,,,,
PIP Master List,,,,,,,,
,,,,,,Last updated:,2018-07-06 00:00:00,
,,,,,,Updated by:,vgates,
,,,,,,,,
,,,,,,,,
PIwG Review Date,PIP Number,PIP Name,"Rec Doc
Status*",Criticality,Language Author,Protocol X-REF,Proposed Delivery Schedule,Comments
2000-11-27 00:00:00,101,POLR Historical Usage,Complete,3 - Important,C. Moseley,15.1.2.7,Phase 2,"System was designed to send historical usage to POLR when customer sent to POLR.  The change to be implemented is that ERCOT will act as the transaction point and will receive the historical data and then send it to POLR upon POLR request.
Language boxed regarding usage directly to POLR until system change is implemented"
2000-11-29 00:00:00,102,Voltage Support Compensation,Complete,2 - Improvement,V. Gates,"6.8.4
6.9.3(1)
6.1.7
6.5.7",Phase 3,System not designed to calculate compensation. J30
2000-12-06 00:00:00,103,Default QSE,Partial and BOARD guidance,"BOARD
2 - Improvement",C. Moseley,16.2.12 (New),Phase 1,"Larger implications when introducing the default QSE than we had currently considered.  Alternatives were presented to RUG.  No drafted process on backup process existed. The PIwG anticipates no effect on design and recommends that the attached language be included in the supplemental Protocols filing.  Should the vendor assessment return a system impact, the PIwG will re-evaluate. RUG modified the PIwG proposal and requested Board define details on QSE Selection criteria. 
In addition, Protocol Change Process should address:
Collection and Payment of Default QSE Fees will need to be addressed. (Settlement)
Concern regarding QSE’s ability to establish communications/telemetry with Resources, etc. in time.
Financial Security implications need to be addressed.
Needs to limit the liability of the Default QSE for scheduling activities"
2000-11-29 00:00:00,104,Black Start,Complete,2 - Improvement,B. Jones,"6.8.5
6.9.4.1
6.1.8",Phase 2,Current system design uses a simple capacity multiplied by a fee to determine payment.  The protocol has a more complex formula which uses a rolling unit availability factor. No Change to Protocols.  System Workaround required and offered to be supported by ERCOT.
2000-11-28 00:00:00,105,Generation Meter Splitting,Complete,3 - Important,R. Lozano,10.3.2.1.6,Phase 2,Multiple owners of a single unit want to be able to split the generation meter for load (auxiliary power).  Currently system does not accommodate split of generation meters.  Protocol allows for load splitting only when all channels of a split meter are scheduled through one REP. Reference to multiple CRs struck in current protocols and boxed language supporting splitting load drafted for implementation once the system supports.
2000-11-27 00:00:00,106,Direct Load Control,Complete,2 - Improvement,W. Reid,"18.7.2
6.3.2
18.2.10
18.2.1.(7)",Phase 3,"Currently there is not a profile for DLC and the system cannot currently support the use of this type of profile. 
All sections and comments related to DLC have been boxed in protocols and will be released when accomodated by the system.
A long lead time has been identified as a factor to implementation."
2000-12-06 00:00:00,107,Uninstructed Deviation Tolerance Limit and Zonal Application,Complete,3 - Important,J. Galvin,6.8.1.14,Already In Design,"System meets desired design, but not reflected in Protocols; Impact from BUL proposal boxed to be implemented when BUL is implemented"
2000-12-06 00:00:00,108,sub-QSE of same Legal Entity,Complete,3 - Important,"B. Helton; 
C. Moseley; 
W. Reid","16.2.1, 16.2.4.1, 16.2.9",Phase 1,"RMR units may not be included in a QSEs Portfolio that is being bid for Ancillary Services.  RMR units must be represented by a ""Sub QSE"". 
Concerns that Service Filing timeline is less viable with only 15 days notice prior to service.Outcome related to PIP149. ERCOT will perform a manual workaround until the system functionality to aggregate sub-QSEs for financial liability and invoicing purposes is implemented. RUG reviewed and changed status from Vital to Important."
2000-12-06 00:00:00,109,DC Tie (Oklaunion exclusion),Complete,3 - Important,R. Ross,4.4.18,Phase 3,"Exports from the Oklaunion Resources will not be treated as Load connected at transmission voltage, and thus not subject to DC Tie export fees. Supplemental Filing for Implementation Language, Workaround at Single Control Area implementation, and System Change in Phase 3"
2000-11-29 00:00:00,110,SCE Ramp Rate,Complete,5 - Vital,B. Jones,6.5.2(17),Phase 1,"Ramp should be considered part of instructions, even if outside the Settlement Interval. System cannot currently suppor this; Language including ramping outside the Settlement Interval has been struck in current protocols and a boxed for the future implementation has been drafted for incorporation once the system can support."
,111,Merged w/ PIP 107,Merged w/ PIP 107,See 107,J. Galvin,6.8.1.14,Merged with PIP 107,Merged with PIP 107
2000-12-01 00:00:00,112,Balancing Energy Up Load,Partial w/ 107,4 - Significant,,6.8.1.14.3,Phase 2,Not supported in current system design; System change required. Protocol language proposed and boxed until system supports design.
2000-11-29 00:00:00,113,"MERGED WITH PIP110.
SCE for Load Resources",Merged w/ PIP110,MERGED WITH PIP110,,6.10.4.3,MERGED WITH PIP110,Merged with PIP 110
,114,RMR (owners use of unit),RESOLVED,,,,RESOLVED,To be addressed by future change control group (PCP).
2000-12-06 00:00:00,115,Uncontrollable Resources (e.g wind) Deviations,Partial,3 - Important,,6.8.1.14,Phase 2,New wording has been added regarding treatment of deviations from uncontrollable renewable resources under section 6.8.1.14 (Uninstructed Deviations). No System gap analysis has been performed to date.
2000-11-28 00:00:00,116,Outage Scheduler GUI Inadequate,Complete,4 - Significant,"L. Caylor, R. Poston",8.1.4,Phase 1,"System Change: Revise and split GUI interface into two.
Manual Workaround: Must interpret comments field 
The comment field in the Outage Scheduler supports a maximum of 1000 characters. All the information boxed will need to be initially submitted in the comment field of the Outage Scheduler, until the GUI panel is built to support a specific field entry of the items boxed. Audience believes potential threat to Single Control Area.
No changes to protocols required, as information will be received in comments field for time being."
