,Peak,,Off-Peak,,
Region,Low,High,Low,High,
"Red numbers indicate flat, 24-hour products.",,,,,
,,,,,
NW/N. Rock,2002-01-29 00:00:00,18.8,22,17.25,18.5
NW/N. Rock,2002-01-30 00:00:00,18.9,19.5,17,19.0
NW/N. Rock,2002-01-31 00:00:00,18.9,20.5,17.75,18.75
NW/N. Rock,2002-02-01 00:00:00,19,21,17.5,19.0
NW/N. Rock,2002-02-02 00:00:00,19,21,17.5,19.0
NW/N. Rock,2002-02-03 00:00:00,18.75,19.75,18.75,19.75
NW/N. Rock,2002-02-04 00:00:00,19.75,20.75,18.75,19.75
Mid-Columbia,2002-01-29 00:00:00,18.8,22,17.25,18.5
Mid-Columbia,2002-01-30 00:00:00,18.9,19.5,17,19.0
Mid-Columbia,2002-01-31 00:00:00,18.9,20.5,17.75,18.75
Mid-Columbia,2002-02-01 00:00:00,19,21,17.5,19.0
Mid-Columbia,2002-02-02 00:00:00,19,21,17.5,19.0
Mid-Columbia,2002-02-03 00:00:00,18.75,19.75,18.75,19.75
Mid-Columbia,2002-02-04 00:00:00,19.75,20.75,18.75,19.75
COB,2002-01-29 00:00:00,21,22.25,17,18.0
COB,2002-01-30 00:00:00,21,22,17.75,18.75
COB,2002-01-31 00:00:00,21.25,22.95,18,19.5
COB,2002-02-01 00:00:00,21.75,24.5,18,19.25
COB,2002-02-02 00:00:00,21.75,24.5,18,19.25
COB,2002-02-03 00:00:00,20,21.25,20,21.25
COB,2002-02-04 00:00:00,23,23.5,20,21.25
N. California,2002-01-29 00:00:00,23.5,25,16.75,19.5
N. California,2002-01-30 00:00:00,23.5,24.25,18.25,19.75
N. California,2002-01-31 00:00:00,23.5,25.25,19,21.0
N. California,2002-02-01 00:00:00,23.5,27,20.25,22.5
N. California,2002-02-02 00:00:00,23.5,27,20.25,22.5
N. California,2002-02-03 00:00:00,21.5,23.75,21.5,23.75
N. California,2002-02-04 00:00:00,24,27,21.5,23.75
Midway/Sylmar,2002-01-29 00:00:00,,,,
Midway/Sylmar,2002-01-30 00:00:00,,,,
Midway/Sylmar,2002-01-31 00:00:00,,,,
Midway/Sylmar,2002-02-01 00:00:00,,,,
Midway/Sylmar,2002-02-02 00:00:00,,,,
Midway/Sylmar,2002-02-03 00:00:00,,,,
Midway/Sylmar,2002-02-04 00:00:00,,,,
S. California,2002-01-29 00:00:00,23,25,17,19.0
S. California,2002-01-30 00:00:00,23,25,17.75,20.5
S. California,2002-01-31 00:00:00,23.75,25.5,18.5,21.0
S. California,2002-02-01 00:00:00,24,27.45,20,22.75
S. California,2002-02-02 00:00:00,24,27.45,20,22.75
S. California,2002-02-03 00:00:00,20.25,24,20.25,24.0
S. California,2002-02-04 00:00:00,24,27.25,20.25,24.0
Mead,2002-01-29 00:00:00,22.75,25.75,17.5,19.5
Mead,2002-01-30 00:00:00,24.5,26.5,17,19.0
Mead,2002-01-31 00:00:00,25,26.25,18.25,21.0
Mead,2002-02-01 00:00:00,24,26.25,19.75,20.5
Mead,2002-02-02 00:00:00,24,26.25,19.75,20.5
Mead,2002-02-03 00:00:00,21,23,21,23.0
Mead,2002-02-04 00:00:00,25,26,21,23.0
Palo Verde,2002-01-29 00:00:00,22.75,25.75,14,16.5
Palo Verde,2002-01-30 00:00:00,23.5,25.5,14.75,16.5
Palo Verde,2002-01-31 00:00:00,23,26,14.75,17.0
Palo Verde,2002-02-01 00:00:00,23.5,26.5,16.75,19.5
Palo Verde,2002-02-02 00:00:00,23.5,26.5,16.75,19.5
Palo Verde,2002-02-03 00:00:00,17,20,17,20.0
Palo Verde,2002-02-04 00:00:00,23.75,25.5,17,20.0
Inland SW,2002-01-29 00:00:00,19.5,25.75,13.5,16.5
Inland SW,2002-01-30 00:00:00,23.5,26.5,14.75,19.0
Inland SW,2002-01-31 00:00:00,23,26.25,14.75,21.0
Inland SW,2002-02-01 00:00:00,23.5,27.25,16.75,20.5
Inland SW,2002-02-02 00:00:00,23.5,27.25,16.75,20.5
Inland SW,2002-02-03 00:00:00,17,23,17,23.0
Inland SW,2002-02-04 00:00:00,23.75,27.25,17,23.0
4-Corners,2002-01-29 00:00:00,23,24.5,14.5,16.5
4-Corners,2002-01-30 00:00:00,23,25.25,15,16.0
4-Corners,2002-01-31 00:00:00,23.75,26.75,15,17.0
4-Corners,2002-02-01 00:00:00,23.25,24.5,16.25,18.0
4-Corners,2002-02-02 00:00:00,23.25,24.5,16.25,18.0
4-Corners,2002-02-03 00:00:00,18,21,18,21.0
4-Corners,2002-02-04 00:00:00,23.5,26,18,21.0
Central Rockies,2002-01-29 00:00:00,22,26,11.5,13.5
Central Rockies,2002-01-30 00:00:00,20.5,23,12,13.75
Central Rockies,2002-01-31 00:00:00,20.75,23.5,13,14.5
Central Rockies,2002-02-01 00:00:00,21.5,23.75,14,16.0
Central Rockies,2002-02-02 00:00:00,21.5,23.75,14,16.0
Central Rockies,2002-02-03 00:00:00,15.75,18.25,15.75,18.25
Central Rockies,2002-02-04 00:00:00,21.75,24.25,15.75,18.25
