,,,,,,,SOUTHERN CALIFORNIA GAS COMPANY,,,,,,,,,,,,,,,,,PACIFIC GAS & ELECTRIC,,,,,,,,,,,,,EL PASO NORTH MAINLINE,,,,,,,,,EL PASO SOUTH MAINLINE,,,,,,,TRANSWESTERN,,,,,,,KERN/MOJAVE,,,,,,,,,
,System Sendout,Annual Growth,Sendout Adjustments,New Plant Demand,EPNG Topock,EPNG Ehrenberg,TW Needles,Elk Hills Wheeler,Kern Wheeler,PG&E KRS,Southern Trails,Storage Recovery,California Production,Total Receipts,Daily Storage,Storage Balance,On-System Demand,Annual Growth,Demand Adjustments,New Plant Demand,KRS,SWG,Total Demand,EPNG Topock,TW Topock,Kern Daggett,Total Baha,PGT Malin,California Production,Total Receipts,Daily Storage,Storage Balance,SJ Triangle,SJ West,Maricopa Crossover,New Generation,Hackberry,Havasu Croosover,SJ East,North EOCs,SoCal Topock,PG&E Topck,Mojave Topock,Keystone West,Waha West,Cornudas West,New Generation,Samalyuca,South EOCs,Total Crossovers,SoCal Ehrenberg,TW Needles,TW PG&E,TW Mojave,TW EOC's,New Generation,TOTAL DELIVERIES,NW Plant Receipts,NW Inter- connects,EPNG Topock,TW Topock,California Production,Total Supply,New Generation,UT/NV LDC's,Cali End Users,Fuel,PG&E Daggett,SoCal Wheeler
1997-05-01 00:00:00,2216129.0322580645,,,,529096.7741935484,708258.0645161291,556612.9032258064,,294870.96774193546,480774.1935483871,,,170967.74193548388,2740580.6451612907,,,,,,,480774.1935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-01 00:00:00,2185300,,,,515066.6666666667,697833.3333333334,533466.6666666666,,268533.3333333333,488700,,,207166.66666666666,2710766.6666666665,,,,,,,488700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-01 00:00:00,2460935.4838709678,,,,479129.03225806454,843290.3225806452,570645.1612903225,,196419.35483870967,406032.2580645161,,,192935.48387096773,2688451.6129032257,,,,,,,406032.2580645161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-01 00:00:00,2513838.709677419,,,,514032.2580645161,759774.1935483871,529806.4516129033,,195612.90322580645,438580.6451612903,,,187870.96774193548,2625677.419354839,,,,,,,438580.6451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-01 00:00:00,2709566.6666666665,,,,516633.3333333333,973200,446800,,248300,413000,,,186400,2784333.333333333,,,,,,,413000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-01 00:00:00,2319903.2258064514,,,,530000,726935.4838709678,444774.1935483871,,230967.74193548388,446483.87096774194,,,198064.51612903227,2577225.806451613,,,,,,,446483.87096774194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-11-01 00:00:00,2419633.3333333335,,,,494400,575733.3333333334,378333.3333333333,,231300,448633.3333333333,,,193266.66666666666,2321666.6666666665,,,,,,,448633.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-01 00:00:00,3118516.129032258,,,,386451.6129032258,538806.4516129033,313096.77419354836,,131903.2258064516,292774.1935483871,,,194516.12903225806,1857548.3870967743,,,,,,,292774.1935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01 00:00:00,2979709.6774193547,,,,418483.87096774194,700483.8709677419,648032.2580645161,,156161.29032258064,309838.70967741933,,,193580.64516129033,2426580.64516129,,,,,,,309838.70967741933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
